Kennziffer;Raumeinheit;Aggregat;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"03354012";"Karwitz";"Gemeinden";"58,29";"15,69";"24,51";"15,82";"-8,71";"-13,74";"-5,51";"23,97";"1,34"
"03354013";"Küsten";"Gemeinden";"-17,43";"8,52";"8,44";"0,00";"-7,17";"-23,99";"11,51";"8,94";"16,65"
"03354014";"Langendorf";"Gemeinden";"39,47";"19,61";"8,33";"-4,19";"-5,62";"5,67";"0,00";"8,65";"17,37"
"03354015";"Lemgow";"Gemeinden";"-17,53";"-3,27";"19,70";"-11,43";"-18,62";"10,02";"-5,86";"35,82";"-9,11"
"03354016";"Luckau (Wendland)";"Gemeinden";"5,10";"35,66";"15,70";"-44,41";"39,27";"4,67";"-103,07";"-21,90";"44,07"
"03354017";"Lübbow";"Gemeinden";"2,52";"17,90";"1,18";"-10,68";"15,74";"-14,49";"-27,19";"2,50";"16,89"
"03354018";"Lüchow (Wendland), Stadt";"Gemeinden";"5,49";"-1,84";"5,64";"4,95";"7,34";"-2,25";"11,34";"8,40";"6,60"
"03354019";"Neu Darchau";"Gemeinden";"4,60";"21,25";"3,28";"18,86";"8,75";"-22,61";"-4,38";"35,11";"21,62"
"03354020";"Prezelle";"Gemeinden";"26,46";"-16,70";"-16,25";"-5,61";"-39,50";"-17,51";"-6,99";"-14,29";"-2,40"
"03354021";"Schnackenburg, Stadt";"Gemeinden";"-17,27";"0,00";"-30,77";"-4,56";"3,28";"8,67";"32,03";"1,93";"23,26"
"03354022";"Schnega";"Gemeinden";"22,49";"-3,77";"0,00";"2,06";"5,71";"-31,47";"18,85";"0,77";"-1,64"
"03354023";"Trebel";"Gemeinden";"6,67";"8,54";"-10,77";"-29,14";"-12,97";"10,46";"-6,98";"0,00";"18,61"
"03354024";"Waddeweitz";"Gemeinden";"4,21";"21,85";"-27,89";"6,25";"1,09";"2,26";"4,50";"9,01";"29,99"
"03354025";"Woltersdorf";"Gemeinden";"32,16";"61,07";"-14,69";"14,35";"2,01";"-25,86";"0,00";"-5,66";"4,57"
"03354026";"Wustrow (Wendland), Stadt";"Gemeinden";"19,53";"-9,92";"-8,63";"-6,76";"-10,04";"-6,70";"-21,49";"3,25";"-9,35"
"03354027";"Zernien";"Gemeinden";"17,09";"-1,24";"22,22";"-5,43";"-10,61";"12,54";"10,48";"6,81";"10,07"
"03354501";"Gartow, gemfr. Gebiet";"Gemeinden";"0,00";"0,00";"0,00";"0,00";"0,00";;;;
"03354502";"Göhrde, gemfr. Gebiet";"Gemeinden";"0,00";"0,00";"0,00";"0,00";"0,00";;;;
"03355001";"Adendorf";"Gemeinden";"20,56";"12,31";"11,86";"7,34";"7,48";"14,98";"-3,34";"6,33";"12,28"
"03355002";"Amelinghausen";"Gemeinden";"33,54";"38,33";"18,94";"-13,00";"1,33";"18,58";"3,25";"1,75";"19,65"
"03355003";"Artlenburg, Flecken";"Gemeinden";"19,17";"40,06";"-2,48";"-3,62";"1,23";"14,29";"1,21";"17,40";"23,67"
"03355004";"Bardowick, Flecken";"Gemeinden";"20,42";"3,96";"31,31";"2,80";"10,17";"20,21";"3,15";"6,06";"8,01"
"03355005";"Barendorf";"Gemeinden";"86,35";"95,19";"23,88";"28,51";"-5,50";"10,24";"-9,70";"10,03";"-23,74"
"03355006";"Barnstedt";"Gemeinden";"-56,84";"42,88";"1,26";"6,23";"-33,78";"0,00";"9,43";"-10,74";"9,30"
"03355007";"Barum";"Gemeinden";"14,27";"-1,95";"35,69";"28,76";"4,83";"3,25";"15,90";"7,63";"4,47"
"03355008";"Betzendorf";"Gemeinden";"42,25";"-23,21";"19,30";"5,20";"15,64";"-7,07";"19,23";"-9,07";"-1,86"
"03355009";"Bleckede, Stadt";"Gemeinden";"23,34";"13,46";"12,26";"0,93";"6,32";"6,00";"3,83";"14,77";"13,73"
"03355010";"Boitze";"Gemeinden";"7,44";"17,90";"-27,71";"14,22";"-15,04";"-64,17";"-13,48";"-51,87";"8,80"
"03355011";"Brietlingen";"Gemeinden";"31,04";"45,75";"24,93";"23,30";"10,95";"7,41";"-0,29";"2,53";"-16,08"
"03355012";"Dahlem";"Gemeinden";"43,73";"-70,04";"3,72";"-9,45";"-3,94";"-17,24";"17,86";"34,11";"-4,18"
"03355013";"Dahlenburg, Flecken";"Gemeinden";"-9,61";"6,66";"-0,87";"-0,86";"-3,27";"9,39";"-3,01";"2,39";"26,97"
"03355014";"Deutsch Evern";"Gemeinden";"11,36";"8,26";"24,23";"-1,94";"9,71";"0,00";"5,58";"9,04";"5,24"
"03355015";"Echem";"Gemeinden";"13,13";"40,75";"15,70";"-15,76";"-19,59";"-23,14";"31,59";"-9,49";"-4,62"
"03355016";"Embsen";"Gemeinden";"7,95";"25,83";"18,30";"17,71";"-4,05";"-2,68";"33,25";"-1,07";"12,14"
"03355017";"Handorf";"Gemeinden";"106,29";"10,92";"17,07";"11,55";"3,46";"-1,52";"14,56";"1,89";"-9,03"
"03355018";"Hittbergen";"Gemeinden";"-1,30";"-11,64";"29,45";"36,45";"5,64";"3,23";"17,80";"8,60";"11,27"
"03355019";"Hohnstorf (Elbe)";"Gemeinden";"29,12";"41,67";"0,41";"-10,14";"-1,21";"0,42";"-17,41";"7,18";"-11,19"
"03355020";"Kirchgellersen";"Gemeinden";"25,61";"27,98";"-4,36";"5,81";"13,97";"24,79";"12,57";"10,38";"6,35"
"03355021";"Lüdersburg";"Gemeinden";"35,86";"25,00";"26,40";"-15,13";"6,20";"17,41";"-12,70";"6,19";"34,48"
"03355022";"Lüneburg, Hansestadt";"Gemeinden";"9,12";"8,41";"25,04";"8,32";"4,34";"8,94";"9,26";"5,37";"11,57"
"03355023";"Mechtersen";"Gemeinden";"33,08";"-9,26";"-26,23";"17,99";"0,00";"11,58";"-4,27";"1,46";"17,78"
"03355024";"Melbeck";"Gemeinden";"25,65";"43,42";"7,56";"1,79";"8,83";"-2,68";"2,67";"41,76";"-20,36"
"03355025";"Nahrendorf";"Gemeinden";"16,84";"34,88";"-7,24";"-3,61";"10,16";"-10,57";"18,49";"-11,40";"-3,58"
"03355026";"Neetze";"Gemeinden";"18,17";"20,36";"12,06";"24,79";"-10,03";"16,10";"-4,10";"11,07";"46,56"
"03355027";"Oldendorf (Luhe)";"Gemeinden";"24,52";"-4,17";"9,85";"0,98";"-30,58";"4,09";"-4,93";"1,91";"27,17"
"03355028";"Radbruch";"Gemeinden";"8,10";"-1,19";"49,39";"-1,63";"10,01";"-5,03";"41,28";"-7,57";"11,04"
"03355029";"Rehlingen";"Gemeinden";"44,71";"-13,12";"-33,06";"14,71";"6,72";"-14,01";"14,34";"12,08";"14,03"
"03355030";"Reinstorf";"Gemeinden";"3,19";"3,07";"0,75";"-11,91";"0,00";"-9,22";"-16,10";"-3,22";"16,63"
"03355031";"Reppenstedt";"Gemeinden";"29,10";"0,59";"-2,23";"9,38";"6,81";"0,70";"32,16";"-2,76";"8,95"
"03355032";"Rullstorf";"Gemeinden";"44,65";"36,27";"16,96";"14,57";"19,08";"26,43";"22,00";"14,86";"39,38"
"03355033";"Scharnebeck";"Gemeinden";"50,92";"-4,55";"2,44";"-19,65";"-2,81";"11,58";"-17,54";"13,29";"7,09"
"03355034";"Soderstorf";"Gemeinden";"35,16";"-8,98";"30,38";"3,88";"-6,65";"2,08";"11,89";"3,38";"-7,62"
"03355035";"Südergellersen";"Gemeinden";"7,63";"17,57";"24,34";"13,94";"32,10";"-19,96";"45,97";"1,65";"-3,86"
"03355036";"Thomasburg";"Gemeinden";"33,16";"33,61";"27,93";"2,25";"19,58";"3,04";"23,74";"7,36";"-2,26"
"03355037";"Tosterglope";"Gemeinden";"4,82";"-16,21";"-31,06";"6,15";"-15,55";"19,96";"29,26";"-9,79";"28,24"
"03355038";"Vastorf";"Gemeinden";"24,91";"-7,27";"26,94";"-2,10";"-12,14";"9,64";"21,66";"45,24";"-10,88"
"03355039";"Vögelsen";"Gemeinden";"2,98";"53,01";"-2,31";"25,16";"13,39";"18,48";"13,25";"18,33";"3,75"
"03355040";"Wendisch Evern";"Gemeinden";"9,50";"-5,64";"-3,90";"25,72";"7,98";"-8,54";"2,26";"2,22";"-3,48"
"03355041";"Westergellersen";"Gemeinden";"70,13";"33,65";"18,40";"20,34";"21,66";"18,06";"45,30";"7,91";"14,73"
"03355042";"Wittorf";"Gemeinden";"43,05";"69,89";"14,71";"24,48";"11,05";"-11,05";"0,00";"24,37";"15,41"
"03355049";"Amt Neuhaus";"Gemeinden";"-4,77";"-4,88";"-3,59";"-5,91";"-8,46";"1,25";"13,17";"26,61";"49,49"
"03356001";"Axstedt";"Gemeinden";"16,45";"-37,52";"10,15";"9,36";"-6,17";"47,90";"-0,86";"9,93";"-23,20"
"03356002";"Grasberg";"Gemeinden";"11,26";"12,57";"7,01";"0,91";"0,52";"10,97";"2,84";"5,06";"13,91"
"03356003";"Hambergen";"Gemeinden";"14,03";"11,60";"12,45";"7,72";"2,73";"0,00";"-1,58";"0,53";"10,67"
"03356004";"Holste";"Gemeinden";"45,41";"32,50";"25,97";"12,27";"-5,19";"-3,87";"20,51";"9,29";"18,72"
"03356005";"Lilienthal";"Gemeinden";"1,68";"21,84";"-0,17";"5,36";"8,47";"7,92";"16,68";"5,72";"4,88"
"03356006";"Lübberstedt";"Gemeinden";"45,45";"18,36";"-15,79";"-24,79";"-4,05";"22,76";"-5,41";"-1,38";"-1,44"
"03356007";"Osterholz-Scharmbeck, Stadt";"Gemeinden";"15,90";"7,88";"2,24";"-2,42";"-3,80";"0,53";"1,42";"4,57";"5,57"
"03356008";"Ritterhude";"Gemeinden";"8,15";"8,38";"9,79";"10,58";"3,34";"4,56";"7,89";"7,91";"-1,02"
"03356009";"Schwanewede";"Gemeinden";"8,47";"11,50";"9,86";"0,95";"-0,85";"4,75";"8,04";"7,50";"4,83"
"03356010";"Vollersode";"Gemeinden";"-3,35";"5,61";"10,47";"-0,32";"-15,06";"-4,51";"-7,82";"24,09";"10,47"
"03356011";"Worpswede";"Gemeinden";"5,06";"5,24";"7,25";"0,21";"-0,64";"5,57";"12,62";"14,87";"6,47"
"03357001";"Ahausen";"Gemeinden";"12,44";"37,56";"2,25";"3,86";"2,14";"10,27";"-12,73";"7,81";"-4,79"
"03357002";"Alfstedt";"Gemeinden";"-3,71";"-14,55";"-18,93";"-7,15";"-22,75";"-7,04";"-2,30";"2,37";"1,15"
"03357003";"Anderlingen";"Gemeinden";"10,25";"-8,80";"-12,92";"7,51";"-6,60";"6,74";"-3,47";"21,33";"15,35"
"03357004";"Basdahl";"Gemeinden";"42,31";"28,02";"-3,41";"0,68";"-1,35";"-20,28";"-8,68";"-13,86";"-7,36"
"03357005";"Bötersen";"Gemeinden";"55,08";"21,65";"3,93";"-2,81";"-4,58";"0,94";"-15,09";"4,57";"-12,75"
"03357006";"Bothel";"Gemeinden";"20,23";"19,76";"28,76";"-6,06";"-7,39";"-19,94";"-16,42";"-4,63";"9,50"
"03357007";"Breddorf";"Gemeinden";"3,52";"-25,82";"-16,85";"-34,07";"-10,54";"-5,52";"0,94";"6,75";"7,71"
"03357008";"Bremervörde, Stadt";"Gemeinden";"16,94";"3,30";"-4,31";"0,31";"-0,27";"11,60";"7,79";"12,16";"20,35"
"03357009";"Brockel";"Gemeinden";"20,50";"25,68";"20,38";"-6,57";"14,56";"11,38";"38,06";"39,09";"18,38"
"03357010";"Bülstedt";"Gemeinden";"7,60";"-4,59";"18,41";"8,34";"-1,36";"5,50";"-9,41";"-15,98";"18,72"
"03357011";"Deinstedt";"Gemeinden";"18,24";"20,41";"1,49";"4,30";"-8,77";"-12,46";"-12,14";"-21,64";"-21,94"
"03357012";"Ebersdorf";"Gemeinden";"12,72";"15,56";"5,24";"8,71";"-8,23";"17,99";"3,77";"6,76";"1,88"
"03357013";"Elsdorf";"Gemeinden";"12,14";"2,59";"-2,45";"4,27";"-11,47";"-6,42";"-27,46";"4,00";"25,25"
"03357014";"Farven";"Gemeinden";"4,34";"15,26";"-10,97";"-16,85";"-24,43";"6,18";"3,27";"-16,67";"-3,13"
"03357015";"Fintel";"Gemeinden";"29,02";"8,57";"4,34";"-3,05";"8,26";"-1,40";"-5,96";"2,45";"51,97"
"03357016";"Gnarrenburg";"Gemeinden";"14,70";"3,99";"2,64";"2,41";"-3,64";"0,22";"-1,52";"-3,39";"3,47"
"03357017";"Groß Meckelsen";"Gemeinden";"10,29";"14,49";"-9,67";"-20,20";"11,95";"31,65";"16,74";"0,00";"0,00"
"03357018";"Gyhum";"Gemeinden";"9,31";"7,46";"0,00";"-25,85";"4,61";"-0,44";"22,34";"16,14";"9,41"
"03357019";"Hamersen";"Gemeinden";"-27,71";"20,41";"0,00";"-20,83";"-6,41";"-6,47";"-25,82";"31,87";"0,00"
"03357020";"Hassendorf";"Gemeinden";"61,55";"51,84";"6,08";"-5,24";"6,04";"-23,38";"-15,00";"-4,21";"-11,04"
"03357021";"Heeslingen";"Gemeinden";"4,18";"30,93";"-5,87";"-2,69";"-0,84";"-5,16";"-3,97";"7,37";"9,21"
"03357022";"Hellwege";"Gemeinden";"31,41";"-6,12";"7,64";"7,26";"5,41";"4,71";"18,73";"5,37";"11,67"
"03357023";"Helvesiek";"Gemeinden";"20,44";"7,82";"32,86";"-1,17";"-4,95";"0,00";"29,08";"31,06";"-3,41"
"03357024";"Hemsbünde";"Gemeinden";"21,34";"-15,45";"3,21";"-6,41";"-26,94";"8,73";"-6,10";"27,43";"-5,13"
"03357025";"Hemslingen";"Gemeinden";"-2,90";"26,09";"-5,68";"-10,22";"7,13";"-10,69";"6,36";"24,54";"-2,04"
"03357026";"Hepstedt";"Gemeinden";"11,99";"56,62";"0,00";"15,25";"4,79";"-13,18";"2,01";"9,88";"-7,91"
"03357027";"Hipstedt";"Gemeinden";"19,07";"23,31";"-3,80";"-2,26";"-5,33";"3,23";"-11,24";"3,25";"13,91"
"03357028";"Horstedt";"Gemeinden";"35,01";"2,56";"26,77";"-14,70";"8,98";"-8,51";"18,43";"4,69";"-4,80"
"03357029";"Kalbe";"Gemeinden";"12,50";"58,05";"0,00";"-14,16";"-25,00";"-3,56";"27,16";"-4,95";"-44,85"
"03357030";"Kirchtimke";"Gemeinden";"1,09";"26,29";"-25,38";"-24,79";"-20,14";"-23,06";"1,04";"16,82";"8,53"
"03357031";"Kirchwalsede";"Gemeinden";"23,10";"17,13";"5,53";"6,22";"-7,12";"2,61";"8,61";"-4,24";"31,87"
"03357032";"Klein Meckelsen";"Gemeinden";"42,42";"19,61";"2,33";"26,00";"-10,49";"-6,70";"-6,70";"-8,94";"1,06"
"03357033";"Lauenbrück";"Gemeinden";"16,89";"10,61";"16,42";"26,88";"3,67";"20,40";"25,48";"24,06";"21,69"
"03357034";"Lengenbostel";"Gemeinden";"7,19";"2,40";"-2,19";"4,36";"23,31";"0,00";"-13,10";"48,12";"17,65"
"03357035";"Oerel";"Gemeinden";"17,09";"10,79";"-7,33";"-0,53";"-2,68";"-15,47";"12,22";"11,83";"11,53"
"03357036";"Ostereistedt";"Gemeinden";"20,75";"17,38";"21,32";"7,12";"9,45";"-5,46";"-2,17";"0,00";"-9,62"
"03357037";"Reeßum";"Gemeinden";"32,91";"38,33";"-5,25";"-4,55";"8,70";"3,58";"9,35";"3,89";"13,20"
"03357038";"Rhade";"Gemeinden";"10,53";"26,29";"-22,87";"-1,77";"-15,36";"-7,23";"-46,90";"4,64";"-20,15"
"03357039";"Rotenburg (Wümme), Stadt";"Gemeinden";"11,84";"4,22";"5,25";"2,40";"-1,97";"-2,91";"9,40";"10,00";"11,23"
"03357040";"Sandbostel";"Gemeinden";"28,42";"-17,24";"3,86";"-24,81";"5,95";"30,41";"-45,40";"-27,99";"7,55"
"03357041";"Scheeßel";"Gemeinden";"35,24";"12,35";"3,46";"-2,71";"-10,75";"0,00";"-4,64";"-0,85";"2,44"
"03357042";"Seedorf";"Gemeinden";"36,12";"-13,51";"-4,78";"19,48";"72,16";"-26,01";"-77,41";"-20,58";"-13,97"
"03357043";"Selsingen";"Gemeinden";"17,97";"21,12";"0,92";"-0,30";"6,42";"5,95";"-4,37";"12,64";"1,95"
"03357044";"Sittensen";"Gemeinden";"36,08";"6,16";"5,79";"1,81";"2,17";"4,81";"20,00";"-1,17";"26,24"
"03357045";"Sottrum";"Gemeinden";"53,07";"16,18";"10,30";"0,00";"-11,90";"-3,70";"5,63";"1,53";"12,20"
"03357046";"Stemmen";"Gemeinden";"36,52";"67,35";"15,70";"-8,73";"-11,05";"0,00";"-8,57";"-9,84";"-2,48"
"03357047";"Tarmstedt";"Gemeinden";"38,46";"18,12";"0,00";"-12,26";"-12,58";"12,42";"3,12";"37,24";"9,58"
"03357048";"Tiste";"Gemeinden";"8,99";"39,81";"-2,32";"-3,44";"0,00";"13,65";"13,41";"4,60";"22,32"
"03357049";"Vahlde";"Gemeinden";"16,49";"24,08";"23,04";"9,59";"-16,06";"-12,16";"-2,98";"10,20";"-13,14"
"03357050";"Vierden";"Gemeinden";"12,68";"-2,72";"15,02";"19,30";"9,45";"6,65";"8,04";"-8,02";"-15,96"
"03357051";"Visselhövede, Stadt";"Gemeinden";"14,21";"5,88";"-3,92";"2,54";"-1,46";"-4,13";"5,33";"5,01";"1,69"
"03357052";"Vorwerk";"Gemeinden";"17,65";"37,59";"38,64";"-13,80";"-44,44";"-21,30";"21,97";"-30,77";"-28,25"
"03357053";"Westertimke";"Gemeinden";"-4,47";"0,00";"-14,29";"-4,72";"0,00";"-4,37";"15,52";"45,87";"-4,41"
"03357054";"Westerwalsede";"Gemeinden";"-15,96";"-15,62";"13,60";"0,00";"5,06";"21,04";"1,39";"25,27";"9,30"
"03357055";"Wilstedt";"Gemeinden";"-2,59";"19,83";"-1,70";"4,62";"26,81";"13,33";"1,75";"16,10";"8,15"
"03357056";"Wohnste";"Gemeinden";"22,44";"48,30";"33,29";"2,49";"-5,04";"-2,58";"-27,60";"-3,97";"-24,42"
"03357057";"Zeven, Stadt";"Gemeinden";"19,04";"-7,24";"12,43";"10,66";"5,31";"-3,16";"6,06";"1,81";"16,14"
"03358001";"Ahlden (Aller), Flecken";"Gemeinden";"22,79";"8,01";"37,20";"-13,59";"19,42";"-43,11";"65,07";"18,67";"31,08"
"03358002";"Bispingen";"Gemeinden";"18,71";"8,70";"25,22";"0,79";"-8,91";"5,77";"13,88";"9,83";"8,07"
"03358003";"Böhme";"Gemeinden";"-6,49";"14,27";"8,08";"-7,28";"-11,84";"4,44";"0,00";"11,97";"20,30"
"03358005";"Buchholz (Aller)";"Gemeinden";"19,50";"27,38";"27,76";"8,24";"-8,23";"3,89";"-10,83";"4,67";"18,53"
"03358006";"Eickeloh";"Gemeinden";"16,67";"28,31";"-8,92";"46,02";"-12,67";"26,18";"28,76";"10,08";"-17,74"
"03358007";"Essel";"Gemeinden";"32,62";"26,91";"-12,14";"-18,26";"-4,63";"-1,87";"14,11";"22,46";"-9,11"
"03358008";"Bad Fallingbostel, Stadt";"Gemeinden";"30,29";"4,80";"7,45";"-0,25";"-9,66";"3,56";"25,26";"7,04";"-4,11"
"03358009";"Frankenfeld";"Gemeinden";"-23,30";"-20,37";"-21,16";"-20,69";"5,35";"-7,86";"7,97";"-15,24";"-21,74"
"03358010";"Gilten";"Gemeinden";"-4,69";"-2,62";"2,63";"29,66";"-23,47";"10,78";"15,52";"-2,44";"-4,85"
"03358011";"Grethem";"Gemeinden";"-6,27";"12,23";"21,96";"-11,94";"12,03";"28,79";"17,43";"6,26";"-15,24"
"03358012";"Hademstorf";"Gemeinden";"13,65";"-2,49";"6,94";"-9,01";"4,67";"2,45";"65,55";"-4,61";"-49,28"
"03358013";"Häuslingen";"Gemeinden";"18,62";"-32,15";"17,05";"-1,13";"-14,91";"-17,43";"12,38";"3,87";"-16,27"
"03358014";"Hodenhagen";"Gemeinden";"49,70";"20,80";"16,59";"-8,96";"-11,16";"6,29";"30,85";"-2,90";"7,37"
"03358015";"Lindwedel";"Gemeinden";"29,91";"17,87";"20,23";"38,62";"18,05";"23,14";"1,52";"4,76";"6,97"
"03358016";"Munster, Stadt";"Gemeinden";"33,28";"-2,00";"6,39";"-14,25";"-4,87";"26,69";"4,34";"-2,52";"7,66"
"03358017";"Neuenkirchen";"Gemeinden";"9,32";"11,29";"-5,18";"3,32";"-0,18";"1,45";"12,63";"12,68";"-2,57"
"03358018";"Rethem (Aller), Stadt";"Gemeinden";"-2,37";"1,20";"-4,83";"-23,17";"-5,68";"7,17";"1,72";"24,23";"9,10"
"03358019";"Schneverdingen, Stadt";"Gemeinden";"3,88";"16,71";"16,59";"5,60";"0,48";"4,11";"5,31";"7,75";"7,78"
"03358020";"Schwarmstedt";"Gemeinden";"1,84";"12,69";"11,52";"5,86";"6,12";"24,66";"24,16";"11,31";"12,77"
"03358021";"Soltau, Stadt";"Gemeinden";"13,02";"10,15";"4,64";"5,31";"3,03";"4,73";"0,85";"8,45";"15,65"
"03358023";"Wietzendorf";"Gemeinden";"41,55";"36,29";"15,70";"12,22";"-11,12";"5,17";"4,11";"11,55";"13,55"
"03358024";"Walsrode, Stadt";"Gemeinden";"4,15";"-1,49";"4,70";"2,72";"-0,19";"3,90";"0,63";"8,63";"7,05"
"03358501";"Osterheide, gemfr. Bezirk";"Gemeinden";"-2,06";"-29,88";"16,67";"-1,21";"-55,63";"-1,59";"-583,38";"390,30";"-7.346,03"
"03359001";"Agathenburg";"Gemeinden";"16,87";"0,98";"-2,96";"15,33";"19,97";"30,94";"29,58";"0,00";"31,75"
"03359002";"Ahlerstedt";"Gemeinden";"15,02";"6,47";"0,80";"9,58";"-7,29";"3,91";"1,12";"5,77";"14,16"
"03359003";"Apensen";"Gemeinden";"30,02";"2,06";"6,10";"2,32";"15,22";"14,84";"31,48";"6,04";"11,99"
"03359004";"Balje";"Gemeinden";"-7,74";"1,80";"0,00";"-11,63";"-6,67";"32,23";"7,11";"-4,27";"-29,61"
"03359005";"Bargstedt";"Gemeinden";"12,51";"37,50";"6,64";"-13,40";"-16,02";"-3,96";"7,85";"8,70";"1,90"
"03359006";"Beckdorf";"Gemeinden";"15,39";"21,84";"-1,70";"5,57";"5,42";"5,78";"8,59";"28,40";"-9,75"
"03359007";"Bliedersdorf";"Gemeinden";"37,45";"17,15";"-1,83";"-6,04";"11,09";"-0,58";"5,23";"2,20";"10,11"
"03359008";"Brest";"Gemeinden";"15,27";"17,03";"-14,34";"-9,58";"-27,36";"6,35";"-1,28";"8,92";"-13,04"
"03359009";"Burweg";"Gemeinden";"8,78";"1,07";"17,76";"-7,03";"-13,03";"16,13";"-11,83";"6,97";"-19,92"
"03359010";"Buxtehude, Hansestadt";"Gemeinden";"24,45";"2,30";"10,76";"12,39";"2,20";"2,54";"-4,07";"5,63";"15,10"
"03359011";"Deinste";"Gemeinden";"29,45";"17,99";"-3,77";"5,91";"-14,00";"-11,12";"-4,47";"28,84";"0,00"
"03359012";"Dollern";"Gemeinden";"11,14";"-12,83";"-6,23";"5,17";"19,41";"18,32";"-14,62";"-13,06";"-1,82"
"03359013";"Drochtersen";"Gemeinden";"14,42";"12,02";"-2,21";"-1,71";"1,59";"4,17";"4,48";"8,39";"5,60"
"03359014";"Düdenbüttel";"Gemeinden";"2,45";"3,54";"15,75";"1,10";"-8,53";"3,10";"15,00";"-17,54";"2,96"
"03359015";"Engelschoff";"Gemeinden";"-2,84";"24,15";"-16,19";"7,86";"-16,26";"2,65";"-2,63";"39,68";"11,72"
"03359016";"Estorf";"Gemeinden";"29,91";"16,27";"21,22";"23,45";"8,94";"-2,88";"-7,77";"10,33";"6,09"
"03359017";"Fredenbeck";"Gemeinden";"39,84";"21,37";"4,67";"-7,57";"-6,07";"2,68";"-7,98";"24,63";"13,76"
"03359018";"Freiburg (Elbe), Flecken";"Gemeinden";"-0,92";"1,41";"-22,85";"13,86";"-18,95";"9,61";"16,68";"11,85";"19,37"
"03359019";"Großenwörden";"Gemeinden";"6,37";"36,73";"-6,42";"-6,17";"2,17";"-29,54";"-4,38";"-6,49";"6,17"
"03359020";"Grünendeich";"Gemeinden";"-6,38";"-12,69";"11,03";"-24,35";"-2,10";"-7,50";"-5,79";"-8,60";"6,04"
"03359021";"Guderhandviertel";"Gemeinden";"39,34";"8,80";"25,16";"13,68";"22,28";"22,04";"16,98";"7,57";"39,41"
"03359022";"Hammah";"Gemeinden";"58,22";"1,86";"3,59";"3,49";"4,19";"21,93";"-0,97";"2,21";"7,26"
"03359023";"Harsefeld, Flecken";"Gemeinden";"28,87";"49,91";"12,48";"3,08";"8,58";"16,09";"10,41";"8,83";"8,27"
"03359024";"Heinbockel";"Gemeinden";"59,31";"86,08";"11,42";"-18,61";"8,51";"-9,69";"-11,32";"16,45";"0,00"
"03359025";"Himmelpforten";"Gemeinden";"14,07";"22,69";"4,62";"7,58";"-0,20";"8,02";"13,68";"17,64";"7,33"
"03359026";"Hollern-Twielenfleth";"Gemeinden";"-6,15";"25,05";"-15,05";"3,57";"2,41";"-5,72";"2,62";"7,34";"-9,92"
"03359027";"Horneburg, Flecken";"Gemeinden";"1,06";"-14,76";"-3,40";"-10,32";"-6,37";"1,22";"0,97";"44,93";"20,70"
"03359028";"Jork";"Gemeinden";"18,68";"-1,12";"2,65";"4,04";"-10,61";"9,92";"-14,96";"-5,38";"9,66"
"03359029";"Kranenburg";"Gemeinden";"33,61";"29,83";"-3,90";"1,29";"-13,33";"-18,26";"29,97";"22,05";"10,38"
"03359030";"Krummendeich";"Gemeinden";"1,82";"23,99";"12,10";"-38,14";"-8,58";"-22,36";"-14,31";"27,72";"51,02"
"03359031";"Kutenholz";"Gemeinden";"15,74";"30,48";"6,41";"7,25";"5,40";"5,92";"-2,35";"13,61";"18,73"
"03359032";"Mittelnkirchen";"Gemeinden";"-1,09";"14,89";"-20,39";"13,43";"7,97";"-8,85";"1,85";"-22,52";"13,06"
"03359033";"Neuenkirchen";"Gemeinden";"0,00";"-2,72";"26,75";"14,72";"1,18";"-11,88";"-28,79";"53,00";"21,99"
"03359034";"Nottensdorf";"Gemeinden";"75,65";"16,91";"78,29";"13,90";"28,03";"31,75";"23,18";"8,74";"-0,63"
"03359035";"Oederquart";"Gemeinden";"-18,35";"3,77";"-11,93";"-3,27";"-11,34";"-4,68";"-0,96";"21,03";"-16,93"
"03359036";"Oldendorf";"Gemeinden";"8,30";"37,75";"11,41";"10,62";"3,13";"15,30";"17,24";"17,31";"10,91"
"03359037";"Sauensiek";"Gemeinden";"13,27";"25,58";"2,37";"4,00";"1,30";"6,02";"23,10";"5,07";"9,05"
"03359038";"Stade, Hansestadt";"Gemeinden";"10,29";"-4,07";"3,18";"6,21";"4,90";"5,21";"4,86";"3,40";"11,29"
"03359039";"Steinkirchen";"Gemeinden";"-12,16";"-6,93";"11,65";"-11,39";"-3,74";"8,30";"29,20";"2,23";"-6,81"
"03359040";"Wischhafen";"Gemeinden";"13,98";"8,07";"10,88";"-9,51";"9,44";"-5,33";"3,38";"1,32";"4,48"
"03360001";"Altenmedingen";"Gemeinden";"-26,32";"8,06";"3,67";"5,03";"-6,96";"14,19";"-19,48";"-11,83";"15,60"
"03360002";"Bad Bevensen, Stadt";"Gemeinden";"7,64";"14,60";"15,68";"17,00";"13,57";"22,88";"6,82";"38,51";"19,45"
"03360003";"Barum";"Gemeinden";"-39,36";"13,35";"34,52";"35,19";"-9,58";"-1,23";"-8,99";"6,61";"27,63"
