Kennziffer;Raumeinheit;Aggregat;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"01051048";"Hemmingstedt";"Gemeinden";"-1,05";"15,55";"1,32";"-5,37";"-8,56";"-12,59";"0,35";"-5,58";"-1,41"
"01051049";"Hennstedt";"Gemeinden";"-11,79";"26,24";"8,68";"-0,53";"6,22";"9,80";"5,15";"-4,45";"12,71"
"01051050";"Hillgroven";"Gemeinden";"-36,14";"-62,50";"-11,90";"0,00";"24,69";"54,79";"-138,46";"33,90";"-78,43"
"01051051";"Hochdonn";"Gemeinden";"11,75";"18,59";"18,53";"27,60";"7,21";"-10,22";"-36,33";"16,70";"-5,46"
"01051052";"Hövede";"Gemeinden";"14,93";"-42,86";"71,43";"-152,54";"76,92";"-16,39";;"-16,67";"-87,72"
"01051053";"Hollingstedt";"Gemeinden";"-17,86";"-35,61";"-38,24";"-17,96";"-25,56";"-9,87";"-20,48";"19,67";"31,65"
"01051054";"Immenstedt";"Gemeinden";"22,73";"-22,99";"82,47";"-51,02";"19,42";"-10,42";"-19,61";"67,31";"18,18"
"01051057";"Kaiser-Wilhelm-Koog";"Gemeinden";"15,53";"69,25";"-23,38";"-5,41";"-29,26";"8,77";"30,64";"-2,77";"-59,83"
"01051058";"Karolinenkoog";"Gemeinden";"68,03";"-7,09";"22,22";"35,71";"-24,39";"42,55";"13,42";"0,00";"98,59"
"01051060";"Kleve";"Gemeinden";"2,37";"9,41";"13,27";"6,62";"-44,29";"6,96";"-19,14";"-17,46";"26,70"
"01051061";"Krempel";"Gemeinden";"52,07";"13,43";"10,40";"-18,43";"-29,90";"-1,66";"5,04";"-6,57";"13,16"
"01051062";"Kronprinzenkoog";"Gemeinden";"-7,26";"18,37";"-13,73";"2,11";"4,50";"22,97";"-18,50";"30,44";"31,69"
"01051063";"Krumstedt";"Gemeinden";"-28,79";"-3,71";"-23,77";"19,57";"-15,01";"3,96";"19,61";"28,81";"56,50"
"01051064";"Kuden";"Gemeinden";"24,96";"35,77";"13,70";"-3,03";"-18,66";"-33,11";"-1,65";"1,65";"32,01"
"01051065";"Lehe";"Gemeinden";"9,65";"1,86";"13,93";"-1,74";"2,79";"17,76";"35,68";"1,85";"0,93"
"01051067";"Lieth";"Gemeinden";"-6,25";"94,99";"53,66";"35,71";"54,05";"52,11";"7,85";"64,69";"63,83"
"01051068";"Linden";"Gemeinden";"13,16";"15,96";"-3,49";"24,80";"-1,17";"2,30";"-2,31";"20,52";"-16,28"
"01051069";"Lohe-Rickelshof";"Gemeinden";"11,80";"4,08";"21,73";"-5,14";"24,73";"4,83";"3,86";"-7,76";"-1,49"
"01051071";"Lunden";"Gemeinden";"-17,43";"1,12";"-8,16";"13,29";"44,40";"-14,88";"-2,39";"16,43";"29,31"
"01051072";"Marne, Stadt";"Gemeinden";"-1,99";"-7,81";"-4,27";"5,99";"-3,58";"1,97";"12,52";"27,72";"4,96"
"01051073";"Marnerdeich";"Gemeinden";"27,55";"31,39";"-31,17";"11,40";"25,86";"-5,10";"9,90";"2,49";"-20,36"
"01051074";"Meldorf, Stadt";"Gemeinden";"17,13";"7,94";"1,81";"-9,05";"-2,15";"16,18";"-3,88";"12,48";"0,83"
"01051075";"Neuenkirchen";"Gemeinden";"18,61";"12,28";"-10,97";"25,64";"2,90";"-12,97";"-41,54";"22,40";"8,41"
"01051076";"Neufeld";"Gemeinden";"1,51";"7,49";"23,67";"-3,05";"9,24";"27,91";"-15,68";"6,51";"-11,63"
"01051077";"Neufelderkoog";"Gemeinden";"-87,25";"112,50";"6,67";"6,94";"-7,41";"-24,39";"32,79";"8,55";"0,00"
"01051078";"Nindorf";"Gemeinden";"-8,33";"11,84";"-18,50";"6,88";"2,48";"5,99";"2,62";"-6,19";"0,00"
"01051079";"Norddeich";"Gemeinden";"72,54";"2,40";"-18,35";"11,66";"-9,43";"-48,90";"2,43";"54,63";"-30,23"
"01051080";"Norderheistedt";"Gemeinden";"66,67";"-32,00";"-6,62";"-86,33";"6,80";"0,00";"-14,29";"13,89";"-86,96"
"01051081";"Norderwöhrden";"Gemeinden";"-3,27";"-9,90";"36,07";"27,68";"-7,17";"10,00";"0,00";"15,33";"-53,50"
"01051082";"Nordhastedt";"Gemeinden";"-9,29";"1,16";"6,97";"5,05";"-10,61";"-2,18";"16,69";"-4,23";"6,81"
"01051083";"Odderade";"Gemeinden";"14,04";"9,80";"-29,41";"9,26";"-25,48";"21,81";"-31,55";"-22,51";"21,15"
"01051084";"Oesterdeichstrich";"Gemeinden";"32,52";"-11,41";"-15,04";"43,48";"-13,89";"59,06";"66,91";"160,12";"-400,00"
"01051085";"Offenbüttel";"Gemeinden";"-24,73";"30,61";"41,38";"3,51";"10,24";"-15,09";"22,47";"-23,81";"7,94"
"01051086";"Osterrade";"Gemeinden";"-30,24";"-4,03";"29,47";"10,73";"-21,69";"-12,63";"21,58";"41,47";"9,93"
"01051087";"Ostrohe";"Gemeinden";"-14,27";"-1,08";"5,23";"-2,08";"-7,49";"6,36";"7,36";"4,41";"0,00"
"01051088";"Pahlen";"Gemeinden";"57,69";"17,62";"-1,78";"9,43";"5,04";"1,72";"-29,51";"16,48";"8,64"
"01051089";"Quickborn";"Gemeinden";"-34,88";"129,81";"-18,96";"-45,69";"-125,00";"16,30";"88,54";"11,49";"-5,38"
"01051090";"Ramhusen";"Gemeinden";"24,84";"0,00";"0,00";"30,67";"-55,90";"-31,85";"-6,29";"12,66";"11,90"
"01051092";"Rehm-Flehde-Bargen";"Gemeinden";"-41,67";"-1,62";"12,76";"-18,24";"-10,77";"-52,42";"-3,91";"15,01";"-9,19"
"01051093";"Reinsbüttel";"Gemeinden";"40,71";"71,77";"22,68";"16,20";"-2,35";"9,07";"-2,33";"12,14";"-18,28"
"01051096";"Sankt Annen";"Gemeinden";"0,00";"22,92";"-49,56";"-14,33";"-39,76";"-31,15";"-9,32";"-31,55";"32,36"
"01051097";"Sankt Michaelisdonn";"Gemeinden";"11,77";"4,27";"-1,84";"-11,89";"10,44";"11,09";"1,46";"22,30";"11,09"
"01051098";"Sarzbüttel";"Gemeinden";"7,54";"27,97";"5,59";"-13,68";"12,30";"4,23";"14,39";"15,67";"2,81"
"01051099";"Schafstedt";"Gemeinden";"26,27";"14,82";"8,98";"-0,74";"16,41";"6,12";"-7,97";"35,41";"23,94"
"01051100";"Schalkholz";"Gemeinden";"-27,56";"30,20";"-3,42";"3,37";"8,45";"11,63";"-1,70";"20,37";"-10,51"
"01051102";"Schlichting";"Gemeinden";"12,05";"-4,08";"24,00";"-20,83";"0,00";"17,17";"-12,50";"-33,76";"-16,33"
