Kennziffer;Raumeinheit;Aggregat;Gästeübernachtungen in Beherbergungsbetrieben;Gästeübernachtungen in Beherbergungsbetrieben;Gästeübernachtungen in Beherbergungsbetrieben;Gästeübernachtungen in Beherbergungsbetrieben;Gästeübernachtungen in Beherbergungsbetrieben
"01060084";"Stuvenborn";"Gemeinden";"0,00";;;"0,00";"0,00"
"01060085";"Sülfeld";"Gemeinden";"0,00";;;"0,00";"0,00"
"01060086";"Tarbek";"Gemeinden";"0,00";;;"0,00";"0,00"
"01060087";"Tensfeld";"Gemeinden";"0,00";;;"0,00";"0,00"
"01060088";"Todesfelde";"Gemeinden";"0,00";;;"0,00";"0,00"
"01060089";"Trappenkamp";"Gemeinden";"0,00";;;"0,00";
"01060090";"Travenhorst";"Gemeinden";"0,00";;;"0,00";"0,00"
"01060091";"Traventhal";"Gemeinden";"0,00";;;"0,00";"0,00"
"01060092";"Wahlstedt, Stadt";"Gemeinden";"0,00";;;"0,00";"0,00"
"01060093";"Wakendorf I";"Gemeinden";"0,00";;;"0,00";"0,00"
"01060094";"Wakendorf II";"Gemeinden";"0,00";;;"0,00";"0,00"
"01060095";"Weddelbrook";"Gemeinden";"0,00";;;"0,00";"0,00"
"01060096";"Weede";"Gemeinden";"0,00";;;"0,00";"0,00"
"01060097";"Wensin";"Gemeinden";"0,00";;;"0,00";"0,00"
"01060098";"Westerrade";"Gemeinden";"0,00";;;"0,00";"0,00"
"01060099";"Wiemersdorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01060100";"Winsen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01060101";"Wittenborn";"Gemeinden";"0,00";;;"0,00";
"01061001";"Aasbüttel";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061002";"Aebtissinwisch";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061003";"Agethorst";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061004";"Altenmoor";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061005";"Auufer";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061006";"Bahrenfleth";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061007";"Beidenfleth";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061008";"Bekdorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061010";"Bekmünde";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061011";"Besdorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061012";"Blomesche Wildnis";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061013";"Bokelrehm";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061014";"Bokhorst";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061015";"Borsfleth";"Gemeinden";"0,00";;;"0,00";
"01061016";"Breitenberg";"Gemeinden";"0,00";;;"0,00";
"01061017";"Breitenburg";"Gemeinden";"0,00";;;"0,00";
"01061018";"Brokdorf";"Gemeinden";"0,00";;;"0,00";
"01061019";"Brokstedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061020";"Büttel";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061021";"Christinenthal";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061022";"Dägeling";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061023";"Dammfleth";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061024";"Drage";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061025";"Ecklak";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061026";"Elskop";"Gemeinden";"0,00";;;"0,00";
"01061027";"Engelbrechtsche Wildnis";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061028";"Fitzbek";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061029";"Glückstadt, Stadt";"Gemeinden";"2,29";"2,50";"3,36";"2,73";"3,99"
"01061030";"Grevenkop";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061031";"Gribbohm";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061033";"Hadenfeld";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061034";"Heiligenstedten";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061035";"Heiligenstedtenerkamp";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061036";"Hennstedt";"Gemeinden";"0,00";;;"0,00";
"01061037";"Herzhorn";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061038";"Hingstheide";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061039";"Hodorf";"Gemeinden";"0,00";;;"0,00";
"01061040";"Hohenaspe";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061041";"Hohenfelde";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061042";"Hohenlockstedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061043";"Holstenniendorf";"Gemeinden";"0,00";;;"0,00";
"01061044";"Horst (Holstein)";"Gemeinden";"0,00";;;"0,00";
"01061045";"Huje";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061046";"Itzehoe, Stadt";"Gemeinden";"1,20";"1,15";"1,11";"0,90";"1,32"
"01061047";"Kaaks";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061048";"Kaisborstel";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061049";"Kellinghusen, Stadt";"Gemeinden";"0,00";;;"0,00";
"01061050";"Kiebitzreihe";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061052";"Kleve";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061053";"Kollmoor";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061054";"Krempdorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061055";"Krempe, Stadt";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061056";"Kremperheide";"Gemeinden";"0,00";;;"0,00";
"01061057";"Krempermoor";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061058";"Kronsmoor";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061059";"Krummendiek";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061060";"Kudensee";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061061";"Lägerdorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061062";"Landrecht";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061063";"Landscheide";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061064";"Lockstedt";"Gemeinden";"0,00";;;"0,00";
"01061065";"Lohbarbek";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061066";"Looft";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061067";"Mehlbek";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061068";"Moordiek";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061070";"Moorhusen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061071";"Mühlenbarbek";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061072";"Münsterdorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061073";"Neuenbrook";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061074";"Neuendorf b. Elmshorn";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061076";"Nienbüttel";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061077";"Nortorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061078";"Nutteln";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061079";"Oelixdorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061080";"Oeschebüttel";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061081";"Oldenborstel";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061082";"Oldendorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061083";"Ottenbüttel";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061084";"Peissen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061085";"Pöschendorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061086";"Poyenberg";"Gemeinden";"0,00";;;"0,00";
"01061087";"Puls";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061088";"Quarnstedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061089";"Rade";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061091";"Reher";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061092";"Rethwisch";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061093";"Rosdorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061095";"Sankt Margarethen";"Gemeinden";"5,65";"5,89";;"0,00";
"01061096";"Sarlhusen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061097";"Schenefeld";"Gemeinden";"0,00";;;"0,00";
"01061098";"Schlotfeld";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061100";"Silzen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061101";"Sommerland";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061102";"Stördorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061103";"Störkathen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061104";"Süderau";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061105";"Vaale";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061106";"Vaalermoor";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061107";"Wacken";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061108";"Warringholz";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061109";"Westermoor";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061110";"Wewelsfleth";"Gemeinden";"0,00";;;"0,00";
"01061111";"Wiedenborstel";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061112";"Willenscharen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061113";"Wilster, Stadt";"Gemeinden";"1,41";"1,78";"1,95";"1,21";"1,62"
"01061114";"Winseldorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061115";"Wittenbergen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061116";"Wrist";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061117";"Wulfsmoor";"Gemeinden";"0,00";;;"0,00";"0,00"
"01061118";"Kollmar";"Gemeinden";"0,00";;;"0,00";
"01061119";"Neuendorf-Sachsenbande";"Gemeinden";"0,00";;;"0,00";
"01062001";"Ahrensburg, Stadt";"Gemeinden";"2,13";"2,17";"2,18";"0,85";"1,18"
"01062003";"Badendorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062004";"Bad Oldesloe, Stadt";"Gemeinden";"1,18";"2,90";"2,93";"1,38";"2,31"
"01062005";"Bargfeld-Stegen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062006";"Bargteheide, Stadt";"Gemeinden";"0,00";;;"0,00";
"01062008";"Barnitz";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062009";"Barsbüttel";"Gemeinden";"0,00";;;"0,00";
"01062011";"Braak";"Gemeinden";"0,00";;;"0,00";
"01062014";"Delingsdorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062016";"Elmenhorst";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062018";"Glinde, Stadt";"Gemeinden";"0,00";;"1,58";"1,34";"2,15"
"01062019";"Grabau";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062020";"Grande";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062021";"Grönwohld";"Gemeinden";"0,00";;;"0,00";
"01062022";"Großensee";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062023";"Großhansdorf";"Gemeinden";"0,00";;;"0,00";
"01062025";"Hamberge";"Gemeinden";"0,00";;;"0,00";
"01062026";"Hamfelde";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062027";"Hammoor";"Gemeinden";"0,00";;;"0,00";
"01062031";"Heidekamp";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062032";"Heilshoop";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062033";"Hohenfelde";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062035";"Hoisdorf";"Gemeinden";"0,00";;;"1,75";"3,63"
"01062036";"Jersbek";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062039";"Klein Wesenberg";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062040";"Köthel";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062045";"Lütjensee";"Gemeinden";"7,90";"8,31";"8,73";"4,39";"6,28"
"01062046";"Meddewade";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062048";"Mönkhagen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062050";"Neritz";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062051";"Nienwohld";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062053";"Oststeinbek";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062056";"Pölitz";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062058";"Rausdorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062059";"Rehhorst";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062060";"Reinbek, Stadt";"Gemeinden";"1,17";"1,17";"1,42";"1,23";"2,32"
"01062061";"Reinfeld (Holstein), Stadt";"Gemeinden";"2,01";"2,28";"2,12";"1,24";"1,71"
"01062062";"Rethwisch";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062065";"Rümpel";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062069";"Siek";"Gemeinden";"0,00";;;"0,00";
"01062071";"Stapelfeld";"Gemeinden";"0,00";;;"5,78";"8,91"
"01062076";"Tangstedt";"Gemeinden";"0,00";;;"0,00";
"01062078";"Todendorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062081";"Tremsbüttel";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062082";"Trittau";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062083";"Westerau";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062086";"Witzhave";"Gemeinden";"0,00";;;"0,00";
"01062087";"Zarpen";"Gemeinden";"0,00";;;"0,00";
"01062088";"Brunsbek";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062089";"Lasbek";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062090";"Ammersbek";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062091";"Steinburg";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062092";"Travenbrück";"Gemeinden";"0,00";;;"0,00";
"01062093";"Feldhorst";"Gemeinden";"0,00";;;"0,00";"0,00"
"01062094";"Wesenberg";"Gemeinden";"0,00";;;"0,00";"0,00"
"02000000";"Hamburg, Freie und Hansestadt";"Gemeinden";"4,57";"6,58";"7,47";"4,03";"8,52"
"03101000";"Braunschweig, Stadt";"Gemeinden";"1,89";"2,17";"2,75";"1,42";"2,77"
"03102000";"Salzgitter, Stadt";"Gemeinden";"1,02";"1,64";"1,49";"1,44";"1,94"
"03103000";"Wolfsburg, Stadt";"Gemeinden";"3,58";"4,00";"4,27";"1,79";"4,28"
"03151001";"Adenbüttel";"Gemeinden";"0,00";;;"0,00";"0,00"
"03151002";"Barwedel";"Gemeinden";"0,00";;;"0,00";"0,00"
"03151003";"Bergfeld";"Gemeinden";"0,00";;;"0,00";"0,00"
"03151004";"Bokensdorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"03151005";"Brome, Flecken";"Gemeinden";"0,00";;;"0,00";
"03151006";"Calberlah";"Gemeinden";"0,00";;;"0,00";"0,00"
"03151007";"Dedelstorf";"Gemeinden";"5,63";"16,70";;"0,00";
"03151008";"Ehra-Lessien";"Gemeinden";"0,00";;;"0,00";
"03151009";"Gifhorn, Stadt";"Gemeinden";"2,51";"2,67";"2,30";"1,25";"2,16"
"03151010";"Groß Oesingen";"Gemeinden";"0,00";;"0,00";"0,00";
"03151011";"Hankensbüttel";"Gemeinden";"4,05";"3,52";;"0,00";
"03151012";"Hillerse";"Gemeinden";"0,00";;;"0,00";
"03151013";"Isenbüttel";"Gemeinden";"8,84";"10,66";"6,69";"6,76";"7,90"
"03151014";"Jembke";"Gemeinden";"0,00";;;"0,00";"0,00"
"03151015";"Leiferde";"Gemeinden";"0,00";;;"0,00";"0,00"
"03151016";"Meine";"Gemeinden";"0,00";;;"0,00";
"03151017";"Meinersen";"Gemeinden";"0,46";"0,53";;"0,00";
"03151018";"Müden (Aller)";"Gemeinden";"0,00";;;"0,00";
"03151019";"Obernholz";"Gemeinden";"0,00";;;"0,00";"0,00"
"03151020";"Osloß";"Gemeinden";"0,00";;;"0,00";"0,00"
"03151021";"Parsau";"Gemeinden";"0,00";;;"0,00";"0,00"
"03151022";"Ribbesbüttel";"Gemeinden";"0,00";;;"0,00";"0,00"
"03151023";"Rötgesbüttel";"Gemeinden";"0,00";;;"0,00";
"03151024";"Rühen";"Gemeinden";"1,49";"3,58";;"0,00";
"03151025";"Sassenburg";"Gemeinden";"2,65";"4,33";"2,25";"1,23";
"03151026";"Schönewörde";"Gemeinden";"0,00";;;"0,00";"0,00"
"03151027";"Schwülper";"Gemeinden";"0,00";;;"0,00";
"03151028";"Sprakensehl";"Gemeinden";"6,19";;;"0,00";
"03151029";"Steinhorst";"Gemeinden";"0,00";"6,36";;"0,00";
"03151030";"Tappenbeck";"Gemeinden";"0,00";;;"0,00";
"03151031";"Tiddische";"Gemeinden";"0,00";;;"0,00";"0,00"
"03151032";"Tülau";"Gemeinden";"0,00";;;"0,00";
"03151033";"Ummern";"Gemeinden";"0,00";;;"0,00";"0,00"
"03151034";"Vordorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"03151035";"Wagenhoff";"Gemeinden";"0,00";;;"0,00";"0,00"
"03151036";"Wahrenholz";"Gemeinden";"1,72";"2,29";"1,42";"0,00";
"03151037";"Wasbüttel";"Gemeinden";"0,00";;;"0,00";"0,00"
"03151038";"Wesendorf";"Gemeinden";"2,14";"2,61";"2,25";"1,96";"2,46"
"03151039";"Weyhausen";"Gemeinden";"8,71";"12,03";;"0,00";
"03151040";"Wittingen, Stadt";"Gemeinden";"0,96";"2,13";"1,90";"1,49";"1,98"
"03151041";"Didderse";"Gemeinden";"0,00";;;"0,00";"0,00"
"03151501";"Giebel, gemfr. Gebiet";"Gemeinden";"0,00";;;;
"03153002";"Bad Harzburg, Stadt";"Gemeinden";"13,42";"15,13";"15,33";"13,16";"20,64"
"03153008";"Liebenburg";"Gemeinden";"0,00";;;"0,00";
"03153012";"Seesen, Stadt";"Gemeinden";"1,99";"3,14";"4,02";"0,96";"1,83"
"03153016";"Braunlage, Stadt";"Gemeinden";"0,00";"132,12";"131,39";"82,02";"162,98"
"03153017";"Goslar, Stadt";"Gemeinden";"0,00";;"14,01";"9,20";"15,94"
"03153018";"Clausthal-Zellerfeld, Berg- und Universitätsstadt";"Gemeinden";"0,00";;"27,86";"23,37";"36,82"
"03153019";"Langelsheim, Stadt";"Gemeinden";"4,82";"5,38";"5,58";"0,00";
"03153504";"Harz (Landkreis Goslar), gemfr. Gebiet";"Gemeinden";"0,00";;;;
"03154001";"Bahrdorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"03154002";"Beierstedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"03154004";"Danndorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"03154005";"Frellstedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"03154006";"Gevensleben";"Gemeinden";"0,00";;;"0,00";"0,00"
"03154007";"Grafhorst";"Gemeinden";"0,00";;;"0,00";
"03154008";"Grasleben";"Gemeinden";"0,00";;;"0,00";"0,00"
"03154009";"Groß Twülpstedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"03154012";"Jerxheim";"Gemeinden";"0,00";;;"0,00";
"03154013";"Königslutter am Elm, Stadt";"Gemeinden";"4,88";"4,64";"3,97";"2,11";"3,84"
"03154014";"Lehre";"Gemeinden";"1,05";"1,07";"0,60";"0,00";
"03154015";"Mariental";"Gemeinden";"0,00";;;"0,00";
"03154016";"Querenhorst";"Gemeinden";"0,00";;;"0,00";"0,00"
"03154017";"Räbke";"Gemeinden";"0,00";;;"0,00";
"03154018";"Rennau";"Gemeinden";"0,00";;;"0,00";"0,00"
"03154019";"Schöningen, Stadt";"Gemeinden";"0,97";"0,87";"1,29";"0,67";"0,69"
"03154021";"Süpplingen";"Gemeinden";"0,00";;;"0,00";"0,00"
"03154022";"Süpplingenburg";"Gemeinden";"0,00";;;"0,00";"0,00"
"03154024";"Velpke";"Gemeinden";"0,00";;;"0,00";
"03154025";"Warberg";"Gemeinden";"0,00";;;"0,00";
"03154026";"Wolsdorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"03154027";"Söllingen";"Gemeinden";"0,00";;;"0,00";"0,00"
"03154028";"Helmstedt, Stadt";"Gemeinden";"0,00";;"2,14";"1,04";"1,86"
"03154501";"Brunsleberfeld, gemfr. Gebiet";"Gemeinden";"0,00";;;;
"03154502";"Helmstedt, gemfr. Gebiet";"Gemeinden";"0,00";;;;
"03154503";"Königslutter, gemfr. Gebiet";"Gemeinden";"0,00";;;;
"03154504";"Mariental, gemfr. Gebiet";"Gemeinden";"0,00";;;;
"03154506";"Schöningen, gemfr. Gebiet";"Gemeinden";"0,00";;;;
"03155001";"Bad Gandersheim, Stadt";"Gemeinden";"23,32";"21,41";"19,50";"13,69";"21,08"
"03155002";"Bodenfelde, Flecken";"Gemeinden";"2,70";"3,64";;"0,00";
"03155003";"Dassel, Stadt";"Gemeinden";"3,65";"3,35";"0,34";"0,00";"0,79"
"03155005";"Hardegsen, Stadt";"Gemeinden";"1,08";"1,54";"1,65";"0,00";"1,17"
"03155006";"Kalefeld";"Gemeinden";"0,00";"0,62";;"0,00";
"03155007";"Katlenburg-Lindau";"Gemeinden";"1,54";"2,10";;"0,00";
"03155009";"Moringen, Stadt";"Gemeinden";"0,00";;;"0,00";
"03155010";"Nörten-Hardenberg, Flecken";"Gemeinden";"2,13";;"3,14";"0,00";
"03155011";"Northeim, Stadt";"Gemeinden";"1,85";"2,02";"1,83";"1,06";"1,90"
"03155012";"Uslar, Stadt";"Gemeinden";"4,54";"4,41";"4,60";"2,84";"4,54"
"03155013";"Einbeck, Stadt";"Gemeinden";"0,00";"1,72";"2,30";"1,36";"3,31"
"03155501";"Solling (Landkreis Northeim), gemfr. Geb.";"Gemeinden";"0,00";;;;
"03157001";"Edemissen";"Gemeinden";"0,00";;;"0,00";
"03157002";"Hohenhameln";"Gemeinden";"0,33";;;"0,00";
"03157005";"Lengede";"Gemeinden";"0,34";;;"0,00";
"03157006";"Peine, Stadt";"Gemeinden";"1,30";"1,33";"1,33";"0,76";"1,11"
"03157007";"Vechelde";"Gemeinden";"0,42";"0,68";"0,44";"0,40";
"03157008";"Wendeburg";"Gemeinden";"0,77";;"0,85";"0,00";
"03157009";"Ilsede";"Gemeinden";"0,00";;;"0,00";
"03158002";"Baddeckenstedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"03158004";"Burgdorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"03158005";"Cramme";"Gemeinden";"0,00";;;"0,00";"0,00"
"03158006";"Cremlingen";"Gemeinden";"0,00";;;"0,00";
"03158007";"Dahlum";"Gemeinden";"0,00";;;"0,00";"0,00"
"03158008";"Denkte";"Gemeinden";"0,00";;;"0,00";"0,00"
"03158009";"Dettum";"Gemeinden";"0,00";;;"0,00";"0,00"
"03158010";"Dorstadt";"Gemeinden";"0,00";;;"0,00";"0,00"
"03158011";"Elbe";"Gemeinden";"0,00";;;"0,00";"0,00"
"03158012";"Erkerode";"Gemeinden";"0,00";;;"0,00";"0,00"
"03158013";"Evessen";"Gemeinden";"0,00";;;"0,00";"0,00"
"03158014";"Flöthe";"Gemeinden";"0,00";;;"0,00";
"03158016";"Haverlah";"Gemeinden";"0,00";;;"0,00";
"03158017";"Hedeper";"Gemeinden";"0,00";;;"0,00";"0,00"
"03158018";"Heere";"Gemeinden";"0,00";;;"0,00";"0,00"
"03158019";"Heiningen";"Gemeinden";"0,00";;;"0,00";
"03158021";"Kissenbrück";"Gemeinden";"0,00";;;"0,00";"0,00"
"03158022";"Kneitlingen";"Gemeinden";"0,00";;;"0,00";"0,00"
"03158023";"Ohrum";"Gemeinden";"0,00";;;"0,00";"0,00"
"03158025";"Roklum";"Gemeinden";"0,00";;;"0,00";"0,00"
"03158027";"Schöppenstedt, Stadt";"Gemeinden";"0,00";;;"0,00";
"03158028";"Sehlde";"Gemeinden";"0,00";;;"0,00";"0,00"
"03158030";"Sickte";"Gemeinden";"0,00";;;"0,00";"0,00"
"03158031";"Uehrde";"Gemeinden";"0,00";;;"0,00";"0,00"
"03158032";"Vahlberg";"Gemeinden";"0,00";;;"0,00";"0,00"
"03158033";"Veltheim (Ohe)";"Gemeinden";"0,00";;;"0,00";"0,00"
"03158035";"Winnigstedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"03158036";"Wittmar";"Gemeinden";"0,00";;;"0,00";"0,00"
"03158037";"Wolfenbüttel, Stadt";"Gemeinden";"1,45";"2,25";"2,08";"1,25";"1,88"
"03158038";"Börßum";"Gemeinden";"0,00";;;"0,00";"0,00"
"03158039";"Schladen-Werla";"Gemeinden";"0,00";;;"0,00";
"03158040";"Remlingen-Semmenstedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"03158501";"Am Großen Rhode, gemfr. Gebiet";"Gemeinden";"0,00";;;;
"03158502";"Barnstorf-Warle, gemfr. Gebiet";"Gemeinden";"0,00";;;;
"03158503";"Voigtsdahlum, gemfr. Gebiet";"Gemeinden";"0,00";;;;
"03159001";"Adelebsen, Flecken";"Gemeinden";"0,00";;;"0,00";
"03159002";"Bad Grund (Harz)";"Gemeinden";"0,00";;"3,94";"4,18";"6,58"
"03159003";"Bad Lauterberg im Harz, Stadt";"Gemeinden";"0,00";;"42,00";"0,00";"37,79"
"03159004";"Bad Sachsa, Stadt";"Gemeinden";"0,00";;"32,81";"21,79";"35,74"
"03159005";"Bilshausen";"Gemeinden";"0,00";;;"0,00";
"03159006";"Bodensee";"Gemeinden";"0,00";;;"0,00";"0,00"
"03159007";"Bovenden, Flecken";"Gemeinden";"0,00";;"0,77";"0,00";
"03159008";"Bühren";"Gemeinden";"0,00";;;"0,00";"0,00"
"03159009";"Dransfeld, Stadt";"Gemeinden";"0,00";;;"0,00";
"03159010";"Duderstadt, Stadt";"Gemeinden";"0,00";;"3,87";"2,30";"4,29"
"03159011";"Ebergötzen";"Gemeinden";"0,00";;;"0,00";
"03159012";"Elbingerode";"Gemeinden";"0,00";;;"0,00";"0,00"
"03159013";"Friedland";"Gemeinden";"0,00";;"1,16";"0,42";"1,19"
"03159014";"Gieboldehausen, Flecken";"Gemeinden";"0,00";;;"0,00";"0,00"
"03159015";"Gleichen";"Gemeinden";"0,00";;;"0,00";
"03159016";"Göttingen, Stadt";"Gemeinden";"0,00";;"4,37";"3,06";"5,41"
"03159017";"Hann. Münden, Stadt";"Gemeinden";"0,00";;"7,29";"4,62";"7,29"
"03159018";"Hattorf am Harz";"Gemeinden";"0,00";;;"0,00";
"03159019";"Herzberg am Harz, Stadt";"Gemeinden";"0,00";;"3,54";"2,16";"2,78"
"03159020";"Hörden am Harz";"Gemeinden";"0,00";;;"0,00";"0,00"
"03159021";"Jühnde";"Gemeinden";"0,00";;;"0,00";"0,00"
"03159022";"Krebeck";"Gemeinden";"0,00";;;"0,00";
"03159023";"Landolfshausen";"Gemeinden";"0,00";;;"0,00";"0,00"
"03159024";"Niemetal";"Gemeinden";"0,00";;;"0,00";
"03159025";"Obernfeld";"Gemeinden";"0,00";;;"0,00";"0,00"
"03159026";"Osterode am Harz, Stadt";"Gemeinden";"0,00";;"2,72";"1,94";"3,34"
"03159027";"Rhumspringe";"Gemeinden";"0,00";;;"0,00";"0,00"
"03159028";"Rollshausen";"Gemeinden";"0,00";;;"0,00";
