Kennziffer;Raumeinheit;Aggregat;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss
"09776";"Lindau (Bodensee)";"Kreise";"67,30";"67,00";"66,29";"64,67"
"09777";"Ostallgäu";"Kreise";"73,10";"73,69";"72,63";"71,67"
"09778";"Unterallgäu";"Kreise";"72,68";"73,26";"72,52";"71,41"
"09779";"Donau-Ries";"Kreise";"71,20";"72,10";"71,61";"71,01"
"09780";"Oberallgäu";"Kreise";"72,22";"72,67";"71,21";"70,29"
"10041";"Regionalverband Saarbrücken";"Kreise";"60,53";"60,95";"59,34";"58,11"
"10042";"Merzig-Wadern";"Kreise";"68,91";"70,26";"69,92";"68,73"
"10043";"Neunkirchen";"Kreise";"66,99";"68,27";"67,63";"66,66"
"10044";"Saarlouis";"Kreise";"67,64";"69,00";"68,79";"68,07"
"10045";"Saarpfalz-Kreis";"Kreise";"65,15";"65,97";"64,60";"63,49"
"10046";"St. Wendel";"Kreise";"70,70";"71,30";"70,77";"69,98"
"11000";"Berlin, Stadt";"Kreise";"48,13";"46,48";"42,75";"40,23"
"12051";"Brandenburg an der Havel, Stadt";"Kreise";"70,44";"72,20";"70,23";"68,34"
"12052";"Cottbus, Stadt";"Kreise";"64,95";"65,85";"64,32";"62,90"
"12053";"Frankfurt (Oder), Stadt";"Kreise";"65,39";"67,03";"65,91";"64,11"
"12054";"Potsdam, Stadt";"Kreise";"55,92";"55,30";"51,10";"48,97"
"12060";"Barnim";"Kreise";"67,75";"69,58";"68,45";"66,97"
"12061";"Dahme-Spreewald";"Kreise";"67,74";"68,99";"68,07";"66,22"
"12062";"Elbe-Elster";"Kreise";"77,04";"78,98";"79,14";"78,28"
"12063";"Havelland";"Kreise";"68,52";"69,92";"68,62";"66,70"
"12064";"Märkisch-Oderland";"Kreise";"68,91";"71,34";"70,91";"70,21"
"12065";"Oberhavel";"Kreise";"66,89";"68,90";"68,19";"66,75"
"12066";"Oberspreewald-Lausitz";"Kreise";"73,11";"75,04";"75,01";"74,65"
"12067";"Oder-Spree";"Kreise";"70,60";"72,20";"71,29";"70,35"
"12068";"Ostprignitz-Ruppin";"Kreise";"72,35";"75,03";"74,68";"73,30"
"12069";"Potsdam-Mittelmark";"Kreise";"65,98";"66,29";"65,12";"63,61"
"12070";"Prignitz";"Kreise";"74,74";"76,65";"75,87";"74,57"
"12071";"Spree-Neiße";"Kreise";"72,28";"74,36";"74,78";"74,39"
"12072";"Teltow-Fläming";"Kreise";"69,97";"71,60";"70,71";"68,84"
"12073";"Uckermark";"Kreise";"73,53";"75,37";"74,94";"74,25"
"13003";"Rostock";"Kreise";"61,91";"62,79";"60,96";"59,81"
"13004";"Schwerin";"Kreise";"65,07";"66,20";"64,37";"62,84"
"13071";"Mecklenburgische Seenplatte";"Kreise";"72,13";"74,46";"74,26";"73,46"
"13072";"Landkreis Rostock";"Kreise";"70,86";"72,76";"72,69";"71,52"
"13073";"Vorpommern-Rügen";"Kreise";"72,86";"74,52";"73,95";"72,88"
"13074";"Nordwestmecklenburg";"Kreise";"70,33";"72,60";"72,67";"72,00"
"13075";"Vorpommern-Greifswald";"Kreise";"70,39";"71,28";"70,62";"69,53"
"13076";"Ludwigslust-Parchim";"Kreise";"70,53";"72,48";"72,89";"72,87"
"14511";"Chemnitz, Stadt";"Kreise";"66,37";"66,25";"64,58";"63,51"
"14521";"Erzgebirgskreis";"Kreise";"77,44";"78,92";"78,97";"78,29"
"14522";"Mittelsachsen";"Kreise";"74,45";"76,18";"75,89";"75,01"
"14523";"Vogtlandkreis";"Kreise";"74,91";"76,69";"76,34";"75,62"
"14524";"Zwickau";"Kreise";"74,39";"75,82";"75,25";"74,14"
"14612";"Dresden, Stadt";"Kreise";"57,25";"56,47";"53,93";"52,27"
"14625";"Bautzen";"Kreise";"72,88";"74,76";"75,09";"74,55"
"14626";"Görlitz";"Kreise";"72,94";"74,56";"74,70";"74,11"
"14627";"Meißen";"Kreise";"71,80";"73,19";"72,98";"72,16"
"14628";"Sächsische Schweiz-Osterzgebirge";"Kreise";"73,37";"75,03";"74,63";"74,05"
"14713";"Leipzig, Stadt";"Kreise";"57,38";"57,06";"53,95";"51,67"
"14729";"Leipzig";"Kreise";"71,49";"73,10";"72,73";"71,78"
"14730";"Nordsachsen";"Kreise";"73,41";"75,19";"74,71";"73,66"
"15001";"Dessau-Roßlau, Stadt";"Kreise";"71,00";"72,67";"72,34";"71,14"
"15002";"Halle (Saale), Stadt";"Kreise";"62,41";"62,24";"58,99";"57,34"
"15003";"Magdeburg, Landeshauptstadt";"Kreise";"62,53";"63,02";"60,66";"58,97"
"15081";"Altmarkkreis Salzwedel";"Kreise";"75,05";"77,66";"77,56";"76,95"
"15082";"Anhalt-Bitterfeld";"Kreise";"73,58";"75,84";"75,99";"75,09"
"15083";"Börde";"Kreise";"74,17";"76,45";"76,72";"75,84"
"15084";"Burgenlandkreis";"Kreise";"75,44";"75,78";"75,30";"75,21"
"15085";"Harz";"Kreise";"74,05";"76,14";"76,38";"75,86"
"15086";"Jerichower Land";"Kreise";"73,10";"75,49";"75,31";"74,39"
"15087";"Mansfeld-Südharz";"Kreise";"76,59";"78,92";"79,50";"79,06"
"15088";"Saalekreis";"Kreise";"72,98";"75,25";"75,60";"75,07"
"15089";"Salzlandkreis";"Kreise";"73,69";"76,68";"76,98";"76,80"
"15090";"Stendal";"Kreise";"74,27";"76,77";"76,83";"76,32"
"15091";"Wittenberg";"Kreise";"76,64";"78,63";"78,21";"77,31"
"16051";"Erfurt, Stadt";"Kreise";"63,49";"63,59";"61,05";"59,17"
"16052";"Gera, Stadt";"Kreise";"72,71";"74,86";"72,96";"70,98"
"16053";"Jena, Stadt";"Kreise";"53,40";"51,31";"47,04";"45,41"
"16054";"Suhl, Stadt";"Kreise";"72,05";"74,09";"73,53";"71,51"
"16055";"Weimar, Stadt";"Kreise";"60,45";"59,81";"56,87";"55,21"
"16061";"Eichsfeld";"Kreise";"78,77";"79,87";"79,75";"78,93"
"16062";"Nordhausen";"Kreise";"73,19";"75,76";"75,78";"75,21"
"16063";"Wartburgkreis";"Kreise";"75,54";"77,46";"76,74";"75,48"
"16064";"Unstrut-Hainich-Kreis";"Kreise";"77,03";"78,77";"78,69";"77,25"
"16065";"Kyffhäuserkreis";"Kreise";"75,69";"78,72";"79,80";"78,78"
"16066";"Schmalkalden-Meiningen";"Kreise";"76,15";"77,85";"77,56";"76,24"
"16067";"Gotha";"Kreise";"75,21";"76,43";"74,92";"73,52"
"16068";"Sömmerda";"Kreise";"75,50";"77,67";"78,65";"77,58"
"16069";"Hildburghausen";"Kreise";"80,90";"81,81";"80,47";"79,23"
"16070";"Ilm-Kreis";"Kreise";"72,68";"72,56";"70,54";"68,66"
"16071";"Weimarer Land";"Kreise";"74,89";"75,58";"75,30";"74,07"
"16072";"Sonneberg";"Kreise";"76,92";"78,22";"76,86";"74,82"
"16073";"Saalfeld-Rudolstadt";"Kreise";"76,02";"77,62";"77,37";"76,52"
"16074";"Saale-Holzland-Kreis";"Kreise";"74,37";"75,60";"74,99";"73,14"
"16075";"Saale-Orla-Kreis";"Kreise";"78,90";"80,42";"79,34";"78,44"
"16076";"Greiz";"Kreise";"77,40";"78,99";"79,15";"78,20"
"16077";"Altenburger Land";"Kreise";"76,23";"78,15";"78,41";"76,48"
