Kennziffer;Raumeinheit;Aggregat;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss
"05162";"Rhein-Kreis Neuss";"Kreise";"58,44";"59,18";"57,82";"56,30"
"05166";"Viersen";"Kreise";"61,90";"63,22";"63,01";"62,31"
"05170";"Wesel";"Kreise";"64,68";"66,41";"66,16";"65,53"
"05314";"Bonn, Stadt";"Kreise";"40,92";"39,90";"37,44";"36,12"
"05315";"Köln, Stadt";"Kreise";"45,55";"44,98";"42,54";"41,21"
"05316";"Leverkusen, Stadt";"Kreise";"60,35";"60,91";"59,49";"58,04"
"05334";"Städteregion Aachen";"Kreise";"52,85";"52,85";"51,02";"49,94"
"05358";"Düren";"Kreise";"62,41";"63,72";"63,48";"62,52"
"05362";"Rhein-Erft-Kreis";"Kreise";"58,77";"59,48";"58,61";"57,37"
"05366";"Euskirchen";"Kreise";"63,80";"66,06";"66,48";"65,68"
"05370";"Heinsberg";"Kreise";"62,31";"64,30";"64,69";"64,22"
"05374";"Oberbergischer Kreis";"Kreise";"63,51";"65,65";"65,63";"65,09"
"05378";"Rheinisch-Bergischer Kreis";"Kreise";"59,22";"60,22";"59,04";"57,90"
"05382";"Rhein-Sieg-Kreis";"Kreise";"58,97";"60,14";"59,25";"58,34"
"05512";"Bottrop, Stadt";"Kreise";"63,35";"65,03";"64,29";"63,41"
"05513";"Gelsenkirchen, Stadt";"Kreise";"59,57";"60,47";"59,55";"58,46"
"05515";"Münster, Stadt";"Kreise";"49,95";"48,35";"45,64";"44,20"
"05554";"Borken";"Kreise";"68,50";"69,96";"69,63";"68,95"
"05558";"Coesfeld";"Kreise";"67,10";"68,12";"67,56";"66,75"
"05562";"Recklinghausen";"Kreise";"63,48";"64,50";"63,50";"62,80"
"05566";"Steinfurt";"Kreise";"66,84";"67,38";"66,12";"65,18"
"05570";"Warendorf";"Kreise";"66,85";"67,17";"65,98";"64,90"
"05711";"Bielefeld, Stadt";"Kreise";"54,10";"53,68";"51,14";"49,94"
"05754";"Gütersloh";"Kreise";"63,78";"62,63";"61,44";"60,53"
"05758";"Herford";"Kreise";"65,23";"66,20";"65,26";"64,31"
"05762";"Höxter";"Kreise";"69,47";"70,51";"70,28";"69,58"
"05766";"Lippe";"Kreise";"64,12";"65,54";"64,87";"64,37"
"05770";"Minden-Lübbecke";"Kreise";"65,98";"67,01";"66,23";"65,48"
"05774";"Paderborn";"Kreise";"61,41";"61,88";"60,96";"59,96"
"05911";"Bochum, Stadt";"Kreise";"55,99";"55,48";"52,67";"51,37"
"05913";"Dortmund, Stadt";"Kreise";"55,31";"54,77";"52,94";"51,70"
"05914";"Hagen, Stadt der FernUniversität";"Kreise";"59,28";"60,49";"58,79";"58,04"
"05915";"Hamm, Stadt";"Kreise";"61,95";"62,31";"60,82";"60,06"
"05916";"Herne, Stadt";"Kreise";"60,81";"61,23";"59,47";"58,49"
"05954";"Ennepe-Ruhr-Kreis";"Kreise";"62,12";"63,31";"62,28";"61,52"
"05958";"Hochsauerlandkreis";"Kreise";"65,09";"67,00";"67,07";"66,46"
