Kennziffer;Raumeinheit;Aggregat;Kaufkraft;Kaufkraft;Kaufkraft;Kaufkraft
"01051072";"Marne, Stadt";"Gemeinden";"21.230,89";"23.598,71";"25.527,03";"29.632,32"
"01051073";"Marnerdeich";"Gemeinden";"18.363,54";"20.268,95";"23.401,60";"27.517,60"
"01051074";"Meldorf, Stadt";"Gemeinden";"20.857,57";"23.001,33";"24.847,75";"28.794,49"
"01051075";"Neuenkirchen";"Gemeinden";"20.504,57";"22.807,63";"25.171,17";"29.759,97"
"01051076";"Neufeld";"Gemeinden";"21.484,48";"24.107,52";"27.110,48";"31.716,63"
"01051077";"Neufelderkoog";"Gemeinden";"24.732,93";"27.570,43";"30.267,64";"34.720,05"
"01051078";"Nindorf";"Gemeinden";"21.436,93";"24.212,11";"26.445,92";"30.291,34"
"01051079";"Norddeich";"Gemeinden";"19.069,71";"21.468,58";"23.933,83";"28.721,28"
"01051080";"Norderheistedt";"Gemeinden";"17.378,90";"19.873,00";"21.849,16";"25.358,38"
"01051081";"Norderwöhrden";"Gemeinden";"26.031,53";"29.288,18";"32.813,38";"38.241,03"
"01051082";"Nordhastedt";"Gemeinden";"21.295,22";"23.935,43";"25.732,44";"30.032,88"
"01051083";"Odderade";"Gemeinden";"20.429,77";"22.898,72";"24.724,05";"28.507,90"
"01051084";"Oesterdeichstrich";"Gemeinden";"17.971,38";"20.323,17";"23.056,82";"26.199,58"
"01051085";"Offenbüttel";"Gemeinden";"19.805,66";"22.285,42";"24.865,34";"29.102,55"
"01051086";"Osterrade";"Gemeinden";"18.665,44";"21.452,27";"23.735,83";"27.187,92"
"01051087";"Ostrohe";"Gemeinden";"25.516,67";"28.877,40";"31.405,15";"36.888,07"
"01051088";"Pahlen";"Gemeinden";"18.679,36";"20.668,60";"22.757,73";"26.574,95"
"01051089";"Quickborn";"Gemeinden";"19.837,96";"21.763,76";"23.416,03";"27.837,32"
"01051090";"Ramhusen";"Gemeinden";"20.713,67";"23.199,80";"25.771,85";"30.280,30"
"01051092";"Rehm-Flehde-Bargen";"Gemeinden";"19.564,16";"22.361,54";"24.755,32";"29.132,30"
"01051093";"Reinsbüttel";"Gemeinden";"20.230,45";"23.390,03";"25.485,60";"29.238,28"
"01051096";"Sankt Annen";"Gemeinden";"21.436,59";"24.049,17";"26.670,63";"31.616,57"
"01051097";"Sankt Michaelisdonn";"Gemeinden";"20.636,98";"23.316,03";"25.295,62";"29.400,74"
"01051098";"Sarzbüttel";"Gemeinden";"21.830,99";"23.791,79";"25.770,96";"30.005,59"
"01051099";"Schafstedt";"Gemeinden";"19.921,56";"22.399,50";"24.982,87";"29.098,80"
"01051100";"Schalkholz";"Gemeinden";"19.185,11";"21.670,12";"23.626,34";"27.983,88"
"01051102";"Schlichting";"Gemeinden";"19.383,31";"21.905,11";"24.084,96";"28.816,93"
"01051103";"Schmedeswurth";"Gemeinden";"19.878,86";"21.435,68";"24.050,58";"28.742,68"
"01051104";"Schrum";"Gemeinden";"24.469,60";"29.686,95";"34.308,02";"40.318,44"
"01051105";"Schülp";"Gemeinden";"20.712,86";"22.433,82";"24.925,65";"29.579,53"
"01051107";"Stelle-Wittenwurth";"Gemeinden";"20.755,22";"23.077,01";"25.242,92";"30.181,09"
"01051108";"Strübbel";"Gemeinden";"24.099,54";"27.440,11";"30.905,75";"36.073,75"
"01051109";"Süderdeich";"Gemeinden";"18.525,18";"21.101,48";"23.325,31";"26.715,05"
"01051110";"Süderhastedt";"Gemeinden";"19.631,55";"21.793,22";"23.608,48";"27.598,05"
"01051113";"Wöhrden";"Gemeinden";"20.114,68";"22.747,31";"24.498,81";"28.717,73"
"01051114";"Tellingstedt";"Gemeinden";"21.375,03";"23.118,36";"24.643,28";"28.994,76"
"01051117";"Tielenhemme";"Gemeinden";"18.851,87";"21.452,57";"23.691,09";"27.598,99"
"01051118";"Trennewurth";"Gemeinden";"20.934,60";"23.616,98";"26.386,79";"30.897,56"
"01051119";"Volsemenhusen";"Gemeinden";"22.805,24";"25.886,22";"27.954,77";"31.951,06"
"01051120";"Wallen";"Gemeinden";"19.382,19";"22.196,21";"25.036,36";"28.882,16"
"01051121";"Warwerort";"Gemeinden";"18.529,51";"20.936,38";"23.183,46";"27.020,24"
"01051122";"Weddingstedt";"Gemeinden";"21.163,09";"23.595,99";"25.528,25";"30.146,61"
"01051125";"Welmbüttel";"Gemeinden";"20.982,96";"22.192,80";"24.333,71";"28.250,57"
"01051126";"Wennbüttel";"Gemeinden";"23.857,06";"25.843,20";"27.733,77";"32.046,96"
"01051127";"Wesselburen, Stadt";"Gemeinden";"19.625,19";"21.262,16";"22.391,42";"26.206,62"
"01051128";"Wesselburener Deichhausen";"Gemeinden";"20.189,49";"22.975,00";"25.908,15";"30.241,93"
"01051129";"Wesselburenerkoog";"Gemeinden";"23.424,97";"25.092,56";"29.418,98";"34.252,45"
"01051130";"Wesseln";"Gemeinden";"22.786,98";"25.680,96";"28.112,27";"32.709,71"
"01051131";"Westerborstel";"Gemeinden";"22.649,78";"25.216,69";"27.592,67";"32.083,02"
"01051132";"Westerdeichstrich";"Gemeinden";"21.528,53";"23.769,87";"26.298,84";"30.595,10"
"01051133";"Wiemerstedt";"Gemeinden";"20.956,03";"24.136,48";"26.402,69";"30.468,57"
"01051134";"Windbergen";"Gemeinden";"18.453,61";"20.625,27";"22.646,17";"26.535,37"
"01051135";"Wolmersdorf";"Gemeinden";"23.847,59";"26.126,10";"27.053,84";"31.780,91"
"01051136";"Wrohm";"Gemeinden";"19.517,23";"22.475,48";"24.738,88";"28.583,14"
"01051137";"Nordermeldorf";"Gemeinden";"20.021,88";"22.448,51";"24.604,70";"28.445,98"
"01051138";"Tensbüttel-Röst";"Gemeinden";"18.742,68";"20.937,64";"22.951,53";"27.138,83"
"01051139";"Süderdorf";"Gemeinden";"19.900,61";"22.425,09";"24.627,56";"28.789,95"
"01051140";"Oesterwurth";"Gemeinden";"23.776,33";"26.563,60";"27.627,33";"32.049,90"
"01051141";"Süderheistedt";"Gemeinden";"21.384,00";"23.911,31";"26.695,38";"30.872,26"
"01053001";"Albsfelde";"Gemeinden";"25.929,29";"26.829,87";"27.701,65";"31.912,08"
"01053002";"Alt-Mölln";"Gemeinden";"21.838,53";"24.019,40";"26.092,93";"30.318,39"
"01053003";"Aumühle";"Gemeinden";"39.478,14";"41.583,14";"42.695,44";"49.462,63"
"01053004";"Bäk";"Gemeinden";"25.520,49";"29.550,12";"30.899,46";"36.175,14"
"01053005";"Bälau";"Gemeinden";"23.096,55";"24.935,44";"26.350,36";"30.347,12"
"01053006";"Basedow";"Gemeinden";"20.374,37";"23.176,55";"25.120,87";"29.779,63"
"01053007";"Basthorst";"Gemeinden";"24.595,40";"27.733,50";"29.887,92";"35.095,47"
"01053008";"Behlendorf";"Gemeinden";"23.558,88";"25.448,81";"27.340,62";"32.071,18"
"01053009";"Berkenthin";"Gemeinden";"20.270,92";"23.144,74";"25.336,38";"29.539,71"
"01053010";"Besenthal";"Gemeinden";"21.807,91";"23.440,05";"24.904,28";"29.111,05"
"01053011";"Bliestorf";"Gemeinden";"19.997,81";"22.173,29";"24.226,33";"27.861,83"
"01053012";"Börnsen";"Gemeinden";"26.029,84";"28.370,11";"29.977,04";"34.772,08"
"01053013";"Borstorf";"Gemeinden";"20.153,78";"21.506,44";"23.156,47";"26.843,09"
"01053014";"Breitenfelde";"Gemeinden";"20.630,38";"22.775,12";"24.874,60";"28.911,71"
"01053015";"Bröthen";"Gemeinden";"28.321,65";"29.603,25";"30.761,19";"36.356,14"
"01053016";"Brunsmark";"Gemeinden";"21.879,44";"23.723,78";"25.145,90";"29.257,95"
"01053017";"Brunstorf";"Gemeinden";"22.438,87";"24.831,04";"25.936,03";"29.760,33"
"01053018";"Buchholz";"Gemeinden";"24.656,38";"28.272,56";"30.465,72";"35.662,68"
"01053019";"Buchhorst";"Gemeinden";"20.805,72";"23.066,10";"25.504,50";"29.720,85"
"01053020";"Büchen";"Gemeinden";"21.459,88";"23.266,99";"24.536,78";"28.705,64"
"01053021";"Dahmker";"Gemeinden";"27.049,18";"30.138,23";"33.058,28";"38.409,37"
"01053022";"Dalldorf";"Gemeinden";"19.987,81";"22.120,97";"24.367,44";"28.874,69"
"01053023";"Dassendorf";"Gemeinden";"29.125,02";"31.733,49";"34.220,05";"40.326,89"
"01053024";"Düchelsdorf";"Gemeinden";"22.219,81";"23.622,90";"24.903,57";"29.186,52"
"01053025";"Duvensee";"Gemeinden";"18.920,63";"21.308,29";"23.851,30";"28.082,89"
"01053026";"Einhaus";"Gemeinden";"23.550,89";"26.908,55";"28.387,52";"33.293,23"
"01053027";"Elmenhorst";"Gemeinden";"21.035,22";"23.508,19";"25.200,34";"28.893,99"
"01053028";"Escheburg";"Gemeinden";"26.328,15";"28.090,72";"30.031,66";"35.170,15"
"01053029";"Fitzen";"Gemeinden";"20.910,47";"23.570,15";"25.378,63";"29.798,51"
"01053030";"Fredeburg";"Gemeinden";"22.496,59";"24.160,80";"25.647,47";"30.211,47"
"01053031";"Fuhlenhagen";"Gemeinden";"20.941,73";"22.727,37";"24.768,48";"28.858,99"
"01053032";"Geesthacht, Stadt";"Gemeinden";"21.247,15";"23.497,24";"24.838,34";"29.061,11"
"01053033";"Giesensdorf";"Gemeinden";"21.574,99";"24.810,23";"27.436,58";"33.237,39"
