Kennziffer;Raumeinheit;Aggregat;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"01051049";"Hennstedt";"Gemeinden";"188,66";"137,23";"179,50";"282,23";"279,56";"473,96";"662,05";"395,31";"633,76"
"01051050";"Hillgroven";"Gemeinden";"710,84";"-25,00";"702,38";"1.576,47";"1.679,01";"3.219,18";"12.828,51";"13.999,41";"7.645,14"
"01051051";"Hochdonn";"Gemeinden";"57,09";"20,21";"20,95";"20,50";"3,20";"18,74";"30,36";"59,90";"74,34"
"01051052";"Hövede";"Gemeinden";"179,10";"142,86";"-128,57";"0,00";"46,15";"0,00";"55,18";"21,55";"-21,84"
"01051053";"Hollingstedt";"Gemeinden";"17,86";"0,00";"14,71";"14,97";"38,34";"111,84";"74,62";"91,11";"222,13"
"01051054";"Immenstedt";"Gemeinden";"79,55";"57,47";"0,00";"0,00";"19,42";"187,50";"129,21";"67,82";"156,63"
"01051057";"Kaiser-Wilhelm-Koog";"Gemeinden";"40,37";"38,78";"116,88";"627,03";"571,81";"1.491,23";"1.603,61";"2.029,47";"4.106,64"
"01051058";"Karolinenkoog";"Gemeinden";"6,80";"7,09";"37,04";"35,71";"195,12";"411,35";"418,44";"440,96";"370,25"
"01051060";"Kleve";"Gemeinden";"26,07";"7,06";"2,21";"17,66";"137,53";"208,82";"239,02";"259,59";"314,45"
"01051061";"Krempel";"Gemeinden";"125,57";"128,36";"14,86";"59,91";"46,51";"34,88";"82,07";"167,76";"128,18"
"01051062";"Kronprinzenkoog";"Gemeinden";"263,49";"185,71";"50,69";"147,37";"682,43";"1.089,48";"2.002,06";"1.718,83";"2.516,70"
"01051063";"Krumstedt";"Gemeinden";"23,03";"81,63";"27,42";"19,57";"73,17";"71,29";"81,86";"76,59";"175,30"
"01051064";"Kuden";"Gemeinden";"7,80";"81,97";"42,62";"65,15";"74,65";"163,91";"-9,20";"95,73";"167,24"
"01051065";"Lehe";"Gemeinden";"45,37";"50,28";"24,37";"21,70";"69,70";"121,50";"131,04";"138,52";"72,75"
"01051067";"Lieth";"Gemeinden";"256,25";"931,40";"556,10";"11.443,88";"-2.147,42";"225,81";"4.153,27";"505,18";"646,25"
"01051068";"Linden";"Gemeinden";"26,32";"53,59";"60,54";"56,37";"49,07";"60,85";"163,01";"56,54";"78,41"
"01051069";"Lohe-Rickelshof";"Gemeinden";"55,79";"25,47";"145,53";"151,08";"403,49";"317,08";"462,01";"554,48";"2.105,76"
"01051071";"Lunden";"Gemeinden";"180,14";"205,82";"94,46";"71,90";"246,96";"314,29";"150,13";"255,16";"214,67"
"01051072";"Marne, Stadt";"Gemeinden";"182,03";"197,81";"122,07";"241,64";"285,84";"522,18";"501,31";"536,22";"721,86"
"01051073";"Marnerdeich";"Gemeinden";"16,53";"11,21";"10,39";"34,19";"83,33";"135,20";"183,37";"200,27";"141,16"
"01051074";"Meldorf, Stadt";"Gemeinden";"362,24";"193,70";"255,93";"291,15";"257,24";"327,67";"358,16";"485,54";"526,04"
"01051075";"Neuenkirchen";"Gemeinden";"48,60";"66,53";"62,81";"39,89";"45,41";"103,79";"1.385,63";"899,95";"1.968,80"
"01051076";"Neufeld";"Gemeinden";"9,05";"2,99";"28,11";"13,72";"226,50";"180,62";"989,36";"1.792,17";"1.361,65"
"01051077";"Neufelderkoog";"Gemeinden";"87,25";"118,75";"566,67";"187,50";"1.000,00";"658,54";"2.192,15";"1.672,37";"919,31"
"01051078";"Nindorf";"Gemeinden";"111,01";"159,38";"165,64";"128,23";"79,40";"326,20";"374,94";"279,59";"357,03"
"01051079";"Norddeich";"Gemeinden";"10,36";"14,42";"29,82";"74,59";"139,15";"405,87";"602,22";"1.385,05";"1.612,80"
"01051080";"Norderheistedt";"Gemeinden";"0,00";"64,00";"13,25";"0,00";"34,01";"0,00";"2.405,24";"1.305,71";"1.872,72"
