Kennziffer;Raumeinheit;Aggregat;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte
;;;2000;2004;2009;2013;2017;2021;2023
"05916000";"Herne, Stadt";"Gemeinden";"4.290,20";"4.249,33";"4.072,34";"3.864,10";"3.904,45";"3.992,82";"3.992,65"
"05954004";"Breckerfeld, Hansestadt";"Gemeinden";"186,93";"192,69";"182,70";"179,60";"179,74";"182,96";"182,98"
"05954008";"Ennepetal, Stadt der Kluterthöhle";"Gemeinden";"810,66";"786,99";"753,25";"746,80";"757,37";"779,25";"764,12"
"05954012";"Gevelsberg, Stadt";"Gemeinden";"1.634,69";"1.564,22";"1.522,37";"1.515,25";"1.521,37";"1.498,56";"1.492,03"
"05954016";"Hattingen, Stadt";"Gemeinden";"1.005,10";"975,39";"944,65";"922,02";"935,50";"937,23";"921,88"
"05954020";"Herdecke, Stadt";"Gemeinden";"1.440,76";"1.424,38";"1.367,41";"1.286,74";"1.324,25";"1.340,69";"1.366,50"
"05954024";"Schwelm, Stadt";"Gemeinden";"1.993,22";"1.909,56";"1.862,20";"1.842,78";"1.904,83";"1.905,07";"1.861,90"
"05954028";"Sprockhövel, Stadt";"Gemeinden";"692,19";"681,02";"665,27";"663,97";"664,52";"664,02";"652,42"
"05954032";"Wetter (Ruhr), Stadt";"Gemeinden";"1.281,51";"1.230,44";"1.207,56";"1.224,25";"1.243,18";"1.243,42";"1.220,76"
"05954036";"Witten, Stadt";"Gemeinden";"1.844,09";"1.793,40";"1.767,67";"1.752,00";"1.782,76";"1.785,97";"1.742,62"
"05958004";"Arnsberg, Stadt";"Gemeinden";"540,11";"525,04";"514,81";"525,02";"541,92";"543,14";"554,31"
"05958008";"Bestwig";"Gemeinden";"213,94";"209,82";"207,76";"211,74";"210,74";"202,58";"200,49"
"05958012";"Brilon, Stadt";"Gemeinden";"159,49";"155,43";"156,79";"162,20";"167,76";"171,64";"172,51"
"05958016";"Eslohe (Sauerland)";"Gemeinden";"102,21";"101,23";"101,72";"101,62";"102,87";"103,80";"103,38"
"05958020";"Hallenberg, Stadt";"Gemeinden";"99,20";"100,11";"96,63";"93,53";"95,58";"96,71";"94,14"
"05958024";"Marsberg, Stadt";"Gemeinden";"158,35";"154,26";"149,92";"144,31";"144,80";"145,15";"147,55"
"05958028";"Medebach, Hansestadt";"Gemeinden";"82,28";"80,38";"76,24";"78,61";"82,48";"82,50";"83,84"
"05958032";"Meschede, Kreis- und  Hochschulstadt";"Gemeinden";"208,85";"205,49";"203,00";"195,76";"196,18";"199,81";"205,05"
"05958036";"Olsberg, Stadt";"Gemeinden";"182,90";"176,58";"173,19";"176,65";"178,17";"176,31";"179,67"
"05958040";"Schmallenberg, Stadt";"Gemeinden";"114,36";"111,43";"110,54";"111,32";"114,82";"116,22";"116,30"
"05958044";"Sundern (Sauerland), Stadt";"Gemeinden";"203,80";"194,38";"190,25";"188,36";"190,89";"193,65";"195,74"
"05958048";"Winterberg, Stadt";"Gemeinden";"124,38";"119,44";"116,46";"111,10";"113,83";"111,86";"117,96"
"05962004";"Altena, Stadt";"Gemeinden";"644,88";"594,81";"541,71";"514,16";"498,85";"499,48";"506,33"
"05962008";"Balve, Stadt";"Gemeinden";"198,27";"198,13";"196,56";"189,93";"190,05";"185,95";"189,24"
"05962012";"Halver, Stadt";"Gemeinden";"304,27";"301,72";"288,50";"285,66";"290,13";"296,88";"304,76"
"05962016";"Hemer, Stadt";"Gemeinden";"729,96";"728,97";"720,99";"686,89";"686,20";"683,52";"709,89"
"05962020";"Herscheid";"Gemeinden";"162,07";"162,39";"151,98";"151,32";"151,89";"149,78";"146,67"
"05962024";"Iserlohn, Stadt";"Gemeinden";"1.049,45";"1.012,61";"997,12";"1.014,92";"1.028,28";"1.031,40";"1.029,29"
"05962028";"Kierspe, Stadt";"Gemeinden";"317,05";"311,97";"291,33";"290,31";"291,31";"288,26";"298,97"
"05962032";"Lüdenscheid, Stadt";"Gemeinden";"1.354,24";"1.328,13";"1.260,89";"1.253,29";"1.274,90";"1.253,48";"1.241,77"
"05962036";"Meinerzhagen, Stadt";"Gemeinden";"256,69";"254,53";"244,93";"245,85";"251,62";"254,88";"253,32"
"05962040";"Menden (Sauerland), Stadt";"Gemeinden";"882,84";"852,21";"820,36";"786,31";"795,21";"788,62";"788,14"
"05962044";"Nachrodt-Wiblingwerde";"Gemeinden";"279,56";"270,89";"270,59";"259,66";"262,62";"257,97";"247,19"
"05962048";"Neuenrade, Stadt";"Gemeinden";"294,66";"293,02";"289,54";"291,28";"292,53";"287,23";"288,80"
"05962052";"Plettenberg, Stadt";"Gemeinden";"432,06";"420,19";"394,36";"390,61";"393,15";"374,87";"373,04"
"05962056";"Schalksmühle";"Gemeinden";"428,09";"415,58";"399,06";"378,87";"382,10";"375,24";"381,67"
"05962060";"Werdohl, Stadt";"Gemeinden";"861,12";"807,23";"759,92";"736,97";"736,19";"728,25";"728,67"
"05966004";"Attendorn, Hansestadt";"Gemeinden";"359,50";"369,12";"371,68";"380,75";"392,50";"399,64";"392,88"
"05966008";"Drolshagen, Stadt";"Gemeinden";"231,82";"231,59";"229,71";"229,07";"224,23";"224,08";"228,74"
"05966012";"Finnentrop";"Gemeinden";"229,81";"224,60";"213,67";"208,24";"214,59";"213,28";"217,51"
"05966016";"Kirchhundem";"Gemeinden";"111,05";"109,47";"104,87";"100,69";"102,05";"101,70";"104,13"
"05966020";"Lennestadt, Stadt";"Gemeinden";"268,89";"267,71";"260,66";"255,94";"259,35";"255,65";"249,09"
"05966024";"Olpe, Stadt";"Gemeinden";"415,82";"421,96";"439,71";"455,02";"457,58";"475,54";"477,32"
"05966028";"Wenden";"Gemeinden";"334,38";"335,66";"346,27";"342,83";"365,24";"367,24";"370,59"
"05970004";"Bad Berleburg, Stadt";"Gemeinden";"103,53";"99,79";"94,48";"94,53";"98,78";"96,53";"98,49"
"05970008";"Burbach";"Gemeinden";"262,45";"255,34";"259,46";"266,17";"284,12";"285,66";"289,25"
"05970012";"Erndtebrück";"Gemeinden";"149,29";"146,87";"144,41";"151,75";"150,31";"148,52";"146,15"
"05970016";"Freudenberg, Stadt";"Gemeinden";"437,35";"431,55";"435,29";"428,24";"436,61";"444,52";"438,70"
"05970020";"Hilchenbach, Stadt";"Gemeinden";"272,74";"268,53";"259,57";"249,83";"244,45";"236,21";"238,54"
"05970024";"Kreuztal, Stadt";"Gemeinden";"591,88";"584,03";"578,35";"581,03";"595,82";"590,01";"590,99"
"05970028";"Bad Laasphe, Stadt";"Gemeinden";"146,76";"143,82";"139,27";"131,69";"128,96";"124,66";"121,95"
"05970032";"Netphen, Stadt";"Gemeinden";"227,64";"223,65";"220,59";"218,36";"222,85";"224,89";"227,40"
"05970036";"Neunkirchen";"Gemeinden";"527,17";"507,65";"491,72";"491,51";"493,14";"490,93";"479,78"
"05970040";"Siegen, Universitätsstadt";"Gemeinden";"1.331,73";"1.291,93";"1.283,01";"1.268,00";"1.321,33";"1.335,64";"1.349,16"
"05970044";"Wilnsdorf";"Gemeinden";"378,39";"375,94";"374,73";"365,03";"366,81";"360,12";"366,55"
"05974004";"Anröchte";"Gemeinden";"178,83";"176,51";"174,36";"177,07";"182,55";"185,58";"188,18"
"05974008";"Bad Sassendorf";"Gemeinden";"209,76";"219,61";"223,20";"226,80";"233,61";"241,19";"237,66"
"05974012";"Ense";"Gemeinden";"298,88";"309,93";"308,48";"306,28";"318,87";"320,24";"328,48"
"05974016";"Erwitte, Stadt";"Gemeinden";"227,43";"226,70";"223,91";"223,61";"231,07";"231,94";"236,36"
"05974020";"Geseke, Stadt";"Gemeinden";"251,16";"249,84";"253,60";"254,47";"267,21";"271,60";"269,69"
"05974024";"Lippetal";"Gemeinden";"112,29";"112,26";"110,03";"108,57";"110,84";"111,56";"113,23"
"05974028";"Lippstadt, Stadt";"Gemeinden";"835,88";"841,08";"835,85";"877,31";"899,38";"902,87";"905,88"
"05974032";"Möhnesee";"Gemeinden";"111,06";"111,22";"112,31";"107,80";"114,14";"117,89";"114,99"
"05974036";"Rüthen, Stadt";"Gemeinden";"86,95";"85,34";"81,79";"80,84";"85,37";"84,91";"81,86"
"05974040";"Soest, Stadt";"Gemeinden";"794,51";"780,68";"792,46";"787,17";"822,81";"852,09";"848,23"
"05974044";"Warstein, Stadt";"Gemeinden";"243,44";"236,99";"231,35";"220,89";"217,12";"215,75";"223,09"
"05974048";"Welver";"Gemeinden";"160,13";"162,15";"157,03";"154,11";"155,41";"152,85";"155,49"
"05974052";"Werl, Stadt";"Gemeinden";"540,77";"537,70";"536,16";"517,17";"524,43";"526,98";"522,86"
"05974056";"Wickede (Ruhr)";"Gemeinden";"661,63";"662,42";"640,35";"610,70";"685,02";"703,21";"648,49"
"05978004";"Bergkamen, Stadt";"Gemeinden";"1.368,21";"1.360,21";"1.326,23";"1.283,92";"1.299,40";"1.322,85";"1.337,68"
"05978008";"Bönen";"Gemeinden";"583,59";"627,85";"656,39";"646,64";"678,94";"691,06";"696,48"
"05978012";"Fröndenberg/Ruhr, Stadt";"Gemeinden";"478,47";"465,18";"455,92";"435,03";"446,36";"441,81";"443,68"
"05978016";"Holzwickede";"Gemeinden";"960,96";"1.066,99";"1.149,11";"1.170,08";"1.263,60";"1.238,86";"1.271,91"
"05978020";"Kamen, Stadt";"Gemeinden";"1.412,04";"1.363,94";"1.339,73";"1.310,79";"1.349,38";"1.349,91";"1.349,30"
"05978024";"Lünen, Stadt";"Gemeinden";"1.897,96";"1.840,36";"1.809,28";"1.785,52";"1.852,87";"1.875,92";"1.893,25"
"05978028";"Schwerte, Hansestadt an der Ruhr";"Gemeinden";"1.148,40";"1.123,15";"1.085,09";"1.049,53";"1.073,98";"1.064,54";"1.061,73"
"05978032";"Selm, Stadt";"Gemeinden";"517,49";"520,90";"516,14";"495,89";"509,15";"521,16";"532,49"
"05978036";"Unna, Stadt";"Gemeinden";"1.079,53";"1.040,65";"1.015,88";"944,82";"964,15";"999,09";"1.025,19"
"05978040";"Werne, Stadt";"Gemeinden";"521,37";"510,19";"492,25";"510,85";"527,75";"537,81";"558,17"
"06411000";"Darmstadt, Wissenschaftsstadt";"Gemeinden";"1.847,73";"1.837,04";"1.883,87";"1.986,29";"2.123,91";"2.193,68";"2.255,58"
"06412000";"Frankfurt am Main, Stadt";"Gemeinden";"4.526,56";"4.473,72";"4.678,40";"4.903,28";"5.282,53";"5.486,58";"5.550,20"
"06413000";"Offenbach am Main, Stadt";"Gemeinden";"3.678,93";"3.665,14";"3.639,70";"3.639,25";"3.878,57";"3.972,26";"4.018,96"
"06414000";"Wiesbaden, Landeshauptstadt";"Gemeinden";"1.920,26";"1.930,66";"1.960,00";"1.957,97";"2.024,72";"2.057,98";"2.133,20"
"06431001";"Abtsteinach";"Gemeinden";"247,51";"249,14";"255,03";"257,48";"261,89";"265,15";"265,15"
"06431002";"Bensheim, Stadt";"Gemeinden";"883,40";"927,34";"941,10";"969,41";"1.018,78";"1.046,55";"1.068,68"
"06431003";"Biblis";"Gemeinden";"253,34";"261,08";"258,63";"256,97";"258,43";"268,10";"263,92"
"06431004";"Birkenau";"Gemeinden";"469,46";"460,63";"441,94";"449,98";"450,45";"449,23";"441,32"
"06431005";"Bürstadt, Stadt";"Gemeinden";"527,89";"514,42";"526,06";"546,52";"581,25";"616,66";"655,28"
"06431006";"Einhausen";"Gemeinden";"248,82";"253,84";"256,17";"259,06";"272,14";"285,53";"283,58"
"06431007";"Fürth";"Gemeinden";"326,30";"331,92";"322,39";"320,31";"329,39";"335,46";"344,70"
"06431008";"Gorxheimertal";"Gemeinden";"438,81";"423,73";"402,39";"415,98";"421,34";"422,39";"420,19"
"06431009";"Grasellenbach";"Gemeinden";"209,88";"207,47";"194,58";"205,25";"213,99";"217,70";"215,56"
"06431010";"Groß-Rohrheim";"Gemeinden";"238,50";"236,86";"232,67";"239,67";"244,22";"258,49";"254,40"
"06431011";"Heppenheim (Bergstraße), Kreisstadt";"Gemeinden";"677,94";"683,01";"685,92";"672,23";"693,82";"716,90";"751,78"
"06431012";"Hirschhorn (Neckar), Stadt";"Gemeinden";"166,40";"154,96";"149,25";"145,46";"148,40";"142,69";"144,67"
"06431013";"Lampertheim, Stadt";"Gemeinden";"553,82";"544,99";"527,73";"542,34";"566,00";"569,23";"566,64"
"06431014";"Lautertal (Odenwald)";"Gemeinden";"271,16";"268,30";"259,23";"261,25";"269,66";"268,59";"259,35"
"06431015";"Lindenfels, Stadt";"Gemeinden";"305,36";"305,55";"289,14";"282,55";"278,19";"274,11";"283,69"
"06431016";"Lorsch, Karolingerstadt";"Gemeinden";"579,32";"598,57";"612,00";"644,53";"681,46";"713,27";"733,28"
"06431017";"Mörlenbach";"Gemeinden";"455,03";"442,65";"428,80";"419,21";"434,09";"435,89";"442,29"
"06431018";"Neckarsteinach, Stadt";"Gemeinden";"272,76";"273,69";"260,51";"263,84";"276,45";"276,57";"272,56"
"06431019";"Rimbach";"Gemeinden";"408,33";"417,14";"423,49";"418,48";"431,00";"447,37";"446,16"
"06431020";"Viernheim, Stadt";"Gemeinden";"845,91";"858,16";"852,48";"865,04";"901,18";"906,42";"908,35"
"06431021";"Wald-Michelbach";"Gemeinden";"185,42";"182,76";"168,64";"163,31";"169,76";"171,59";"170,92"
"06431022";"Zwingenberg, Stadt";"Gemeinden";"1.334,63";"1.386,93";"1.377,39";"1.402,47";"1.516,25";"1.514,13";"1.485,16"
"06431200";"Michelbuch, gemfr. Gebiet";"Gemeinden";"0,00";"0,00";"0,00";"0,00";;"0,00";"0,00"
"06432001";"Alsbach-Hähnlein";"Gemeinden";"745,69";"713,88";"755,51";"761,60";"741,28";"731,26";"742,36"
"06432002";"Babenhausen, Stadt";"Gemeinden";"320,76";"332,69";"320,20";"316,49";"346,82";"349,27";"347,88"
"06432003";"Bickenbach";"Gemeinden";"649,03";"653,02";"685,31";"748,16";"821,38";"802,05";"793,30"
"06432004";"Dieburg, Stadt";"Gemeinden";"906,92";"910,05";"911,53";"945,58";"1.020,67";"1.034,32";"1.061,79"
"06432005";"Eppertshausen";"Gemeinden";"525,10";"518,76";"526,16";"555,61";"585,13";"604,88";"637,68"
"06432006";"Erzhausen";"Gemeinden";"974,19";"1.060,81";"1.090,27";"1.151,49";"1.204,73";"1.210,68";"1.199,05"
"06432007";"Fischbachtal";"Gemeinden";"223,74";"223,51";"219,67";"211,76";"221,40";"222,00";"219,97"
"06432008";"Griesheim, Stadt";"Gemeinden";"1.367,68";"1.413,87";"1.452,20";"1.473,32";"1.566,77";"1.598,28";"1.711,14"
"06432009";"Groß-Bieberau, Stadt";"Gemeinden";"339,46";"311,38";"310,18";"318,01";"325,07";"333,61";"329,23"
"06432010";"Groß-Umstadt, Stadt";"Gemeinden";"302,13";"306,82";"305,35";"308,21";"320,09";"325,48";"318,93"
"06432011";"Groß-Zimmern";"Gemeinden";"719,61";"733,58";"730,29";"744,50";"801,41";"821,40";"812,98"
"06432012";"Messel";"Gemeinden";"311,13";"310,12";"297,44";"299,39";"315,32";"318,96";"326,52"
"06432013";"Modautal";"Gemeinden";"176,19";"179,30";"176,69";"180,81";"186,41";"187,17";"189,02"
"06432014";"Mühltal";"Gemeinden";"643,73";"670,96";"666,97";"674,66";"727,86";"776,56";"814,56"
"06432015";"Münster (Hessen)";"Gemeinden";"718,80";"737,99";"744,78";"744,73";"774,93";"778,97";"805,77"
"06432016";"Ober-Ramstadt, Stadt";"Gemeinden";"454,63";"448,26";"446,11";"443,67";"459,91";"467,14";"473,23"
"06432017";"Otzberg";"Gemeinden";"162,74";"169,61";"168,75";"169,23";"173,70";"178,42";"173,51"
"06432018";"Pfungstadt, Stadt";"Gemeinden";"740,16";"726,36";"719,56";"682,29";"712,95";"713,68";"749,88"
"06432019";"Reinheim, Stadt";"Gemeinden";"759,31";"728,30";"694,19";"665,88";"670,94";"677,33";"688,88"
"06432020";"Roßdorf";"Gemeinden";"679,47";"693,54";"687,33";"689,08";"727,62";"761,50";"790,73"
"06432021";"Schaafheim";"Gemeinden";"298,76";"298,45";"307,40";"311,91";"320,74";"325,31";"322,14"
"06432022";"Seeheim-Jugenheim";"Gemeinden";"671,96";"669,93";"653,89";"648,36";"676,21";"690,11";"683,43"
"06432023";"Weiterstadt, Stadt";"Gemeinden";"920,44";"937,06";"943,30";"968,81";"1.035,73";"1.036,63";"1.067,76"
"06433001";"Biebesheim am Rhein";"Gemeinden";"469,86";"459,31";"442,40";"455,03";"479,55";"497,27";"492,45"
"06433002";"Bischofsheim";"Gemeinden";"1.602,77";"1.575,97";"1.588,47";"1.618,07";"1.675,42";"1.716,50";"1.745,74"
"06433003";"Büttelborn";"Gemeinden";"490,34";"493,84";"503,10";"532,39";"576,07";"604,27";"600,30"
"06433004";"Gernsheim, Schöfferstadt";"Gemeinden";"309,47";"309,55";"318,52";"325,38";"359,06";"390,00";"375,57"
"06433005";"Ginsheim-Gustavsburg, Stadt";"Gemeinden";"1.403,95";"1.463,34";"1.484,29";"1.520,73";"1.580,13";"1.585,37";"1.544,19"
"06433006";"Groß-Gerau, Stadt";"Gemeinden";"596,79";"603,34";"602,83";"627,40";"658,45";"699,56";"695,12"
"06433007";"Kelsterbach, Stadt";"Gemeinden";"1.667,95";"1.669,12";"1.532,96";"1.357,19";"1.554,45";"1.685,33";"1.651,52"
"06433008";"Mörfelden-Walldorf, Stadt";"Gemeinden";"947,51";"987,39";"1.013,16";"1.026,90";"1.076,48";"1.055,11";"1.001,68"
"06433009";"Nauheim";"Gemeinden";"863,98";"848,73";"832,39";"838,78";"870,30";"895,93";"871,90"
"06433010";"Raunheim, Stadt";"Gemeinden";"1.366,06";"1.426,57";"1.511,66";"1.559,48";"1.779,84";"1.947,94";"2.037,62"
"06433011";"Riedstadt, Büchnerstadt";"Gemeinden";"321,24";"333,87";"334,35";"353,07";"383,71";"397,84";"393,94"
"06433012";"Rüsselsheim am Main, Stadt";"Gemeinden";"1.690,84";"1.639,44";"1.573,65";"1.602,45";"1.703,47";"1.642,00";"1.616,01"
"06433013";"Stockstadt am Rhein";"Gemeinden";"362,03";"364,44";"355,13";"364,44";"380,67";"406,25";"395,19"
"06433014";"Trebur";"Gemeinden";"295,71";"293,06";"292,12";"294,06";"303,01";"305,67";"301,42"
"06434001";"Bad Homburg v. d. Höhe, Stadt";"Gemeinden";"1.574,50";"1.551,11";"1.573,40";"1.641,42";"1.741,55";"1.754,71";"1.798,03"
"06434002";"Friedrichsdorf, Stadt";"Gemeinden";"1.033,22";"1.031,76";"1.031,90";"1.046,15";"1.093,10";"1.088,98";"1.107,80"
"06434003";"Glashütten";"Gemeinden";"210,60";"215,00";"211,38";"213,11";"221,22";"221,00";"218,08"
"06434004";"Grävenwiesbach";"Gemeinden";"133,85";"136,10";"137,56";"137,77";"144,77";"143,27";"143,85"
"06434005";"Königstein im Taunus, Stadt";"Gemeinden";"767,25";"779,70";"810,81";"836,06";"875,77";"885,15";"897,72"
"06434006";"Kronberg im Taunus, Stadt";"Gemeinden";"1.295,44";"1.472,23";"1.474,06";"1.498,55";"1.657,37";"1.851,61";"2.084,98"
"06434007";"Neu-Anspach, Stadt";"Gemeinden";"469,37";"472,50";"466,05";"466,24";"477,93";"475,78";"476,77"
"06434008";"Oberursel (Taunus), Stadt";"Gemeinden";"1.300,62";"1.297,22";"1.329,18";"1.397,07";"1.456,24";"1.453,86";"1.436,04"
"06434009";"Schmitten im Taunus";"Gemeinden";"278,45";"286,08";"282,93";"286,17";"300,03";"304,48";"298,96"
"06434010";"Steinbach (Taunus), Stadt";"Gemeinden";"2.570,68";"2.577,27";"2.524,09";"2.610,23";"2.747,73";"2.812,73";"2.854,55"
"06434011";"Usingen, Stadt";"Gemeinden";"295,47";"288,34";"287,05";"298,30";"308,73";"319,10";"335,50"
"06434012";"Wehrheim";"Gemeinden";"271,52";"279,44";"282,49";"286,29";"294,52";"299,17";"296,97"
"06434013";"Weilrod";"Gemeinden";"105,61";"101,63";"94,17";"96,16";"100,21";"102,40";"106,94"
"06435001";"Bad Orb, Stadt";"Gemeinden";"261,26";"256,15";"246,94";"243,28";"255,31";"267,16";"257,24"
"06435002";"Bad Soden-Salmünster, Stadt";"Gemeinden";"298,33";"309,08";"296,72";"295,99";"308,69";"311,83";"308,86"
"06435003";"Biebergemünd";"Gemeinden";"118,40";"120,89";"121,99";"127,61";"134,51";"137,90";"139,34"
"06435004";"Birstein";"Gemeinden";"89,01";"88,45";"86,06";"85,04";"86,48";"86,66";"86,71"
"06435005";"Brachttal";"Gemeinden";"200,65";"196,66";"184,57";"181,82";"183,92";"181,81";"177,82"
"06435006";"Bruchköbel, Stadt";"Gemeinden";"778,74";"788,92";"788,84";"785,72";"806,90";"824,72";"817,67"
"06435007";"Erlensee, Stadt";"Gemeinden";"753,31";"763,80";"973,32";"944,32";"1.131,86";"1.295,96";"1.322,39"
"06435008";"Flörsbachtal";"Gemeinden";"52,52";"53,58";"50,72";"49,40";"48,30";"48,86";"49,89"
"06435009";"Freigericht";"Gemeinden";"500,42";"501,29";"492,25";"487,02";"513,95";"510,85";"507,32"
"06435010";"Gelnhausen, Barbarossastadt, Kreisstadt";"Gemeinden";"701,37";"711,66";"724,19";"777,72";"818,32";"848,95";"838,14"
"06435011";"Großkrotzenburg";"Gemeinden";"1.162,15";"1.126,31";"1.141,88";"1.155,70";"1.151,67";"1.150,60";"1.116,06"
"06435012";"Gründau";"Gemeinden";"264,89";"270,34";"267,68";"268,20";"278,54";"280,52";"278,61"
"06435013";"Hammersbach";"Gemeinden";"273,55";"269,07";"264,55";"263,01";"282,92";"302,43";"309,63"
"06435014";"Hanau, Brüder-Grimm-Stadt";"Gemeinden";"1.763,73";"1.765,89";"1.690,73";"1.758,22";"1.876,89";"1.885,59";"1.875,20"
"06435015";"Hasselroth";"Gemeinden";"443,18";"439,90";"430,81";"423,84";"439,94";"444,96";"445,75"
"06435016";"Jossgrund";"Gemeinden";"83,84";"82,26";"79,47";"79,19";"78,77";"78,73";"79,44"
"06435017";"Langenselbold, Stadt";"Gemeinden";"596,38";"634,31";"666,22";"678,26";"764,39";"758,79";"765,12"
"06435018";"Linsengericht";"Gemeinden";"372,17";"374,38";"379,07";"438,83";"443,66";"449,83";"444,73"
"06435019";"Maintal, Stadt";"Gemeinden";"1.430,37";"1.418,86";"1.407,69";"1.378,18";"1.469,45";"1.510,46";"1.491,18"
"06435020";"Neuberg";"Gemeinden";"540,04";"529,22";"527,42";"537,57";"559,91";"552,89";"544,17"
"06435021";"Nidderau, Stadt";"Gemeinden";"473,81";"483,78";"480,61";"485,81";"498,95";"512,09";"504,28"
"06435022";"Niederdorfelden";"Gemeinden";"605,50";"575,11";"696,34";"751,00";"777,76";"774,85";"834,20"
"06435023";"Rodenbach";"Gemeinden";"764,97";"765,93";"741,00";"745,31";"747,49";"802,09";"799,94"
"06435024";"Ronneburg";"Gemeinden";"249,40";"244,98";"245,05";"254,32";"262,53";"269,89";"275,02"
"06435025";"Schlüchtern, Stadt";"Gemeinden";"194,27";"197,43";"190,04";"186,31";"189,54";"196,31";"197,21"
"06435026";"Schöneck";"Gemeinden";"579,99";"594,65";"616,56";"606,19";"627,53";"634,05";"636,05"
"06435027";"Sinntal";"Gemeinden";"105,67";"103,99";"96,68";"94,81";"96,34";"95,44";"96,00"
"06435028";"Steinau an der Straße, Brüder-Grimm-Stadt";"Gemeinden";"135,18";"132,96";"129,72";"126,31";"126,35";"124,70";"125,90"
"06435029";"Wächtersbach, Stadt";"Gemeinden";"301,87";"306,16";"311,97";"306,97";"321,87";"328,51";"332,53"
"06435200";"Gutsbezirk Spessart, gemfr. Gebiet";"Gemeinden";"0,00";"0,00";"0,00";"0,00";;"0,00";"0,00"
"06436001";"Bad Soden am Taunus, Stadt";"Gemeinden";"2.111,87";"2.155,54";"2.098,80";"2.107,33";"2.238,08";"2.213,52";"2.220,32"
"06436002";"Eppstein, Stadt";"Gemeinden";"651,51";"632,30";"633,99";"642,96";"665,81";"654,53";"624,43"
"06436003";"Eschborn, Stadt";"Gemeinden";"3.982,45";"3.792,66";"4.201,57";"4.247,82";"4.625,56";"4.966,03";"5.336,19"
"06436004";"Flörsheim am Main, Stadt";"Gemeinden";"989,67";"1.026,88";"1.025,49";"1.071,11";"1.162,03";"1.193,87";"1.185,65"
"06436005";"Hattersheim am Main, Stadt";"Gemeinden";"1.812,33";"1.832,17";"1.901,83";"1.948,58";"2.117,97";"2.255,38";"2.293,35"
"06436006";"Hochheim am Main, Stadt";"Gemeinden";"1.058,78";"1.072,41";"1.054,45";"1.049,41";"1.112,94";"1.158,55";"1.178,33"
"06436007";"Hofheim am Taunus, Kreisstadt";"Gemeinden";"861,36";"857,11";"868,00";"889,00";"943,79";"958,70";"955,62"
"06436008";"Kelkheim (Taunus), Stadt";"Gemeinden";"1.037,46";"1.026,49";"1.047,63";"1.079,87";"1.112,63";"1.127,69";"1.114,32"
"06436009";"Kriftel";"Gemeinden";"2.067,31";"1.969,38";"1.975,15";"2.034,62";"2.122,78";"2.134,91";"2.147,19"
"06436010";"Liederbach am Taunus";"Gemeinden";"1.653,55";"1.655,97";"1.664,35";"1.688,39";"1.754,68";"1.697,10";"1.690,00"
"06436011";"Schwalbach am Taunus, Stadt";"Gemeinden";"3.406,34";"3.336,01";"3.498,92";"3.752,55";"3.724,88";"3.793,35";"3.660,43"
"06436012";"Sulzbach (Taunus)";"Gemeinden";"1.777,07";"1.572,10";"1.694,01";"1.891,59";"1.991,46";"2.023,06";"2.014,52"
"06437001";"Bad König, Stadt";"Gemeinden";"244,79";"250,70";"246,65";"253,97";"264,93";"265,68";"255,83"
"06437003";"Brensbach";"Gemeinden";"289,73";"281,75";"269,37";"270,28";"271,23";"267,60";"263,07"
"06437004";"Breuberg, Stadt";"Gemeinden";"393,43";"382,80";"364,79";"366,16";"372,98";"378,38";"371,65"
"06437005";"Brombachtal";"Gemeinden";"202,54";"200,59";"199,22";"193,69";"194,47";"193,64";"188,21"
"06437006";"Erbach, Kreisstadt";"Gemeinden";"298,86";"310,73";"297,64";"308,21";"322,89";"336,25";"342,05"
"06437007";"Fränkisch-Crumbach";"Gemeinden";"236,96";"234,91";"234,91";"231,55";"229,84";"226,18";"218,11"
"06437009";"Höchst i. Odw.";"Gemeinden";"369,49";"365,52";"352,67";"371,12";"380,92";"383,38";"366,11"
"06437010";"Lützelbach";"Gemeinden";"222,40";"221,73";"214,31";"210,30";"211,57";"212,64";"210,10"
"06437011";"Michelstadt, Stadt";"Gemeinden";"250,72";"250,46";"241,08";"243,60";"246,01";"249,63";"240,58"
"06437012";"Mossautal";"Gemeinden";"61,69";"60,48";"59,82";"57,92";"57,48";"58,03";"59,70"
"06437013";"Reichelsheim (Odenwald)";"Gemeinden";"189,25";"185,91";"181,75";"180,30";"184,90";"184,80";"181,19"
"06437016";"Oberzent, Stadt";"Gemeinden";"79,30";"77,95";"74,09";"72,10";"72,53";"72,91";"69,42"
"06438001";"Dietzenbach, Kreisstadt";"Gemeinden";"1.993,72";"2.021,92";"2.050,85";"2.099,95";"2.157,47";"2.206,27";"2.285,52"
"06438002";"Dreieich, Stadt";"Gemeinden";"1.065,69";"1.029,49";"1.015,08";"1.003,79";"1.069,68";"1.096,77";"1.115,02"
"06438003";"Egelsbach";"Gemeinden";"877,73";"887,85";"949,60";"987,18";"1.039,57";"1.041,05";"1.017,96"
"06438004";"Hainburg";"Gemeinden";"1.115,55";"1.093,35";"1.033,35";"1.037,43";"1.055,71";"1.053,32";"1.056,34"
