Kennziffer;Raumeinheit;Aggregat;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte
;;;2000;2004;2009;2013;2017;2021;2023
"01051060";"Kleve";"Gemeinden";"35,61";"36,31";"35,21";"37,63";"32,63";"35,99";"36,85"
"01051061";"Krempel";"Gemeinden";"146,17";"143,27";"125,67";"126,50";"126,35";"132,16";"136,10"
"01051062";"Kronprinzenkoog";"Gemeinden";"39,13";"36,81";"34,70";"33,80";"37,93";"40,46";"40,60"
"01051063";"Krumstedt";"Gemeinden";"36,31";"36,25";"34,68";"33,92";"35,18";"33,73";"36,69"
"01051064";"Kuden";"Gemeinden";"62,24";"59,24";"57,04";"59,10";"53,39";"54,71";"59,19"
"01051065";"Lehe";"Gemeinden";"63,93";"64,73";"60,65";"61,78";"63,71";"64,25";"64,90"
"01051067";"Lieth";"Gemeinden";"92,06";"95,06";"101,93";"95,71";"81,97";"79,61";
"01051068";"Linden";"Gemeinden";"78,83";"80,90";"79,26";"82,70";"80,72";"82,79";"80,90"
"01051069";"Lohe-Rickelshof";"Gemeinden";"403,34";"401,30";"426,53";"434,51";"435,06";"439,89";"442,86"
"01051071";"Lunden";"Gemeinden";"480,13";"444,52";"462,58";"455,70";"467,74";"469,25";"458,49"
"01051072";"Marne, Stadt";"Gemeinden";"1.659,67";"1.637,47";"1.634,99";"1.547,00";"1.593,37";"1.679,92";"1.607,66"
"01051073";"Marnerdeich";"Gemeinden";"319,85";"269,47";"280,15";"320,61";"335,88";"331,30";"315,27"
"01051074";"Meldorf, Stadt";"Gemeinden";"528,90";"501,51";"480,99";"511,67";"512,28";"534,34";"515,10"
"01051075";"Neuenkirchen";"Gemeinden";"41,73";"43,72";"45,58";"45,35";"44,87";"46,46";"45,31"
"01051076";"Neufeld";"Gemeinden";"66,28";"65,13";"63,56";"61,38";"59,62";"65,87";"63,37"
"01051077";"Neufelderkoog";"Gemeinden";"16,19";"14,96";"14,55";"13,42";"13,61";"13,72";"11,98"
"01051078";"Nindorf";"Gemeinden";"162,39";"161,81";"161,05";"159,34";"158,29";"160,34";"161,83"
"01051079";"Norddeich";"Gemeinden";"68,55";"69,13";"73,77";"67,10";"67,10";"72,75";"73,62"
"01051080";"Norderheistedt";"Gemeinden";"35,57";"34,64";"34,18";"37,88";"36,49";"33,26";
"01051081";"Norderwöhrden";"Gemeinden";"17,56";"16,78";"16,89";"18,57";"16,24";"16,08";"15,65"
"01051082";"Nordhastedt";"Gemeinden";"109,75";"111,07";"109,45";"111,60";"116,53";"114,83";"113,67"
"01051083";"Odderade";"Gemeinden";"29,61";"29,94";"31,00";"31,79";"28,13";"27,60";"33,98"
"01051084";"Oesterdeichstrich";"Gemeinden";"63,79";"58,62";"64,44";"58,53";"64,01";"78,88";"54,53"
"01051085";"Offenbüttel";"Gemeinden";"21,47";"22,04";"23,66";"20,79";"23,01";"21,43";"22,15"
"01051086";"Osterrade";"Gemeinden";"30,19";"29,26";"29,26";"24,75";"26,62";"27,97";"25,98"
"01051087";"Ostrohe";"Gemeinden";"156,33";"150,90";"145,82";"148,58";"157,06";"149,25";"140,09"
"01051088";"Pahlen";"Gemeinden";"114,42";"120,35";"124,35";"129,72";"130,19";"132,59";"135,09"
"01051089";"Quickborn";"Gemeinden";"31,37";"29,93";"26,62";"29,78";"27,63";"25,04";"26,76"
"01051090";"Ramhusen";"Gemeinden";"34,79";"33,12";"33,75";"34,17";"33,12";"34,38";
"01051092";"Rehm-Flehde-Bargen";"Gemeinden";"57,82";"62,27";"63,02";"59,71";"34,93";"36,43";
"01051093";"Reinsbüttel";"Gemeinden";"68,81";"66,62";"68,81";"71,45";"62,81";"65,15";"60,91"
"01051096";"Sankt Annen";"Gemeinden";"26,13";"26,70";"26,06";"26,12";"27,27";"27,60";"27,87"
"01051097";"Sankt Michaelisdonn";"Gemeinden";"185,60";"186,77";"182,47";"178,61";"178,62";"183,30";"186,82"
"01051098";"Sarzbüttel";"Gemeinden";"60,94";"62,21";"62,73";"62,29";"61,24";"61,91";"64,08"
"01051099";"Schafstedt";"Gemeinden";"77,28";"79,37";"79,74";"79,24";"76,98";"80,56";"81,33"
"01051100";"Schalkholz";"Gemeinden";"53,36";"52,88";"54,96";"57,60";"57,11";"57,51";"53,35"
"01051102";"Schlichting";"Gemeinden";"21,36";"21,36";"20,96";"20,32";"19,20";"18,96";"20,16"
"01051103";"Schmedeswurth";"Gemeinden";"40,10";"37,73";"38,41";"36,38";"32,66";"32,32";
"01051104";"Schrum";"Gemeinden";"17,60";"15,60";"16,00";"14,20";"13,77";"14,97";
"01051105";"Schülp";"Gemeinden";"53,94";"57,28";"57,28";"58,14";"51,13";"51,35";"49,30"
"01051107";"Stelle-Wittenwurth";"Gemeinden";"52,06";"49,30";"51,07";"46,22";"46,59";"47,25";"50,42"
"01051108";"Strübbel";"Gemeinden";"21,14";"21,14";"21,14";"19,32";"19,55";"21,14";
"01051109";"Süderdeich";"Gemeinden";"84,94";"83,89";"79,67";"73,04";"75,15";"72,44";"68,22"
"01051110";"Süderhastedt";"Gemeinden";"62,33";"62,20";"61,12";"64,10";"60,93";"54,89";"56,54"
"01051113";"Wöhrden";"Gemeinden";"71,84";"69,50";"74,37";"68,44";"68,67";"70,97";"66,88"
"01051114";"Tellingstedt";"Gemeinden";"151,97";"146,54";"145,73";"152,37";"154,36";"159,62";"163,18"
"01051117";"Tielenhemme";"Gemeinden";"14,41";"14,08";"11,57";"14,87";"13,33";"13,41";
"01051118";"Trennewurth";"Gemeinden";"40,87";"35,09";"34,45";"36,33";"31,32";"30,94";"32,73"
"01051119";"Volsemenhusen";"Gemeinden";"22,81";"22,28";"22,65";"23,67";"25,03";"21,45";"20,62"
