Kennziffer;Raumeinheit;Aggregat;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"01060077";"Sievershütten";"Gemeinden";"540,95";"429,64";"364,79";"402,88";"585,32";"784,18";"825,50";"901,60";"961,80"
"01060079";"Stipsdorf";"Gemeinden";"427,91";"447,96";"497,72";"427,27";"548,08";"559,32";"708,56";"821,62";"917,08"
"01060080";"Stocksee";"Gemeinden";"406,86";"522,73";"370,55";"424,89";"684,73";"788,80";"942,57";"1.137,45";"1.277,96"
"01060081";"Strukdorf";"Gemeinden";"338,98";"360,71";"395,52";"349,02";"512,00";"542,75";"685,82";"744,31";"809,20"
"01060082";"Struvenhütten";"Gemeinden";"416,11";"341,04";"376,64";"389,49";"712,83";"642,29";"862,18";"1.038,27";"1.001,46"
"01060084";"Stuvenborn";"Gemeinden";"370,29";"374,05";"390,54";"383,94";"499,44";"604,52";"849,01";"1.104,70";"1.029,00"
"01060085";"Sülfeld";"Gemeinden";"399,80";"354,89";"349,96";"339,86";"499,41";"688,37";"818,39";"948,91";"976,18"
"01060086";"Tarbek";"Gemeinden";"417,65";"487,18";"607,73";"406,98";"232,70";"587,50";"1.203,42";"1.528,69";"2.442,31"
"01060087";"Tensfeld";"Gemeinden";"524,82";"586,71";"376,50";"366,95";"407,71";"584,77";"1.000,02";"881,50";"979,46"
"01060088";"Todesfelde";"Gemeinden";"294,43";"267,62";"303,43";"254,34";"361,87";"495,67";"612,50";"758,34";"830,30"
"01060089";"Trappenkamp";"Gemeinden";"389,31";"473,71";"432,86";"438,58";"449,43";"523,71";"761,08";"717,03";"899,39"
"01060090";"Travenhorst";"Gemeinden";"364,53";"371,58";"344,09";"277,23";"405,00";"428,57";"738,26";"725,15";"1.041,26"
"01060091";"Traventhal";"Gemeinden";"159,92";"294,24";"336,41";"252,77";"391,97";"503,01";"650,84";"639,84";"745,89"
"01060092";"Wahlstedt, Stadt";"Gemeinden";"689,98";"572,29";"578,43";"941,11";"518,84";"882,20";"973,90";"933,16";"1.160,25"
"01060093";"Wakendorf I";"Gemeinden";"383,25";"398,96";"346,99";"323,26";"467,31";"545,24";"620,82";"786,63";"866,39"
"01060094";"Wakendorf II";"Gemeinden";"394,52";"381,21";"392,20";"390,93";"557,91";"775,00";"1.060,25";"1.033,30";"1.063,62"
"01060095";"Weddelbrook";"Gemeinden";"389,91";"369,76";"326,49";"414,06";"575,42";"640,80";"917,50";"948,97";"937,32"
"01060096";"Weede";"Gemeinden";"329,98";"325,08";"311,26";"308,61";"377,32";"527,46";"688,04";"869,31";"984,29"
"01060097";"Wensin";"Gemeinden";"332,43";"345,84";"348,84";"379,78";"488,37";"763,40";"1.526,23";"1.535,28";"515,12"
"01060098";"Westerrade";"Gemeinden";"352,55";"338,03";"362,14";"400,42";"372,34";"428,87";"704,00";"778,60";"1.029,35"
"01060099";"Wiemersdorf";"Gemeinden";"361,03";"346,18";"365,21";"485,49";"478,37";"936,55";"857,76";"1.148,79";"1.392,49"
"01060100";"Winsen";"Gemeinden";"808,86";"567,43";"531,40";"470,45";"604,11";"650,25";"953,49";"1.333,05";"1.811,91"
"01060101";"Wittenborn";"Gemeinden";"1.405,84";"1.037,81";"624,52";"1.074,07";"408,65";"675,93";"868,76";"983,53";"1.110,97"
"01061001";"Aasbüttel";"Gemeinden";"297,87";"340,21";"299,07";"407,77";"456,31";"434,11";"446,99";"646,45";"643,93"
"01061002";"Aebtissinwisch";"Gemeinden";"313,43";"273,97";"271,43";"274,19";"453,12";"683,33";"1.517,30";"832,48";"2.356,86"
"01061003";"Agethorst";"Gemeinden";"235,29";"227,27";"217,82";"267,33";"370,19";"371,04";"691,23";"629,90";"816,18"
"01061004";"Altenmoor";"Gemeinden";"316,46";"282,95";"269,09";"298,18";"496,40";"694,32";"925,41";"985,43";"1.062,38"
"01061005";"Auufer";"Gemeinden";"215,83";"244,60";"302,82";"251,85";"347,52";"429,58";"806,16";"1.052,26";"675,95"
"01061006";"Bahrenfleth";"Gemeinden";"369,98";"341,79";"361,56";"334,98";"447,15";"538,06";"881,07";"1.148,68";"1.558,53"
"01061007";"Beidenfleth";"Gemeinden";"445,05";"432,88";"384,78";"384,45";"580,97";"670,60";"943,54";"1.365,28";"1.942,91"
"01061008";"Bekdorf";"Gemeinden";"363,64";"317,65";"235,29";"282,61";"385,42";"505,15";"636,62";"661,37";"917,10"
"01061010";"Bekmünde";"Gemeinden";"565,48";"467,74";"459,30";"370,86";"541,18";"664,60";"948,62";"1.110,19";"1.331,61"
"01061011";"Besdorf";"Gemeinden";"338,03";"365,64";"340,52";"278,23";"325,58";"613,17";"735,98";"665,84";"841,19"
"01061012";"Blomesche Wildnis";"Gemeinden";"344,37";"347,11";"301,72";"393,26";"237,96";"709,39";"732,95";"767,42";"1.191,18"
"01061013";"Bokelrehm";"Gemeinden";"292,31";"280,58";"245,16";"319,44";"382,35";"631,94";"1.061,90";"2.122,99";"2.380,58"
"01061014";"Bokhorst";"Gemeinden";"241,13";"321,68";"340,00";"683,45";"413,53";"566,88";"1.063,51";"1.209,74";"1.906,56"
"01061015";"Borsfleth";"Gemeinden";"378,97";"375,74";"341,12";"361,58";"503,04";"584,33";"738,08";"891,43";"1.007,94"
"01061016";"Breitenberg";"Gemeinden";"263,74";"275,95";"319,31";"361,98";"466,12";"596,39";"852,73";"875,16";"886,18"
"01061017";"Breitenburg";"Gemeinden";"546,11";"823,36";"635,85";"666,98";"506,30";"790,04";"698,85";"1.244,23";"1.513,73"
"01061018";"Brokdorf";"Gemeinden";"3.511,84";"5.782,48";"13.057,94";"3.639,47";"2.211,67";"1.817,28";"-4.580,12";"4.280,91";"1.223,74"
"01061019";"Brokstedt";"Gemeinden";"369,47";"417,04";"352,61";"357,44";"488,91";"593,46";"890,20";"969,43";"814,24"
"01061020";"Büttel";"Gemeinden";"20.238,10";"20.181,82";"4.173,91";"5.000,00";"32.622,22";"223.777,78";"33.641,44";"142.130,39";"48.780,10"
"01061021";"Christinenthal";"Gemeinden";"1.623,19";"746,27";"491,80";"557,69";"3.979,17";"3.393,44";"2.877,90";"680,23";"1.256,46"
"01061022";"Dägeling";"Gemeinden";"1.926,90";"1.090,91";"964,41";"1.443,78";"1.779,34";"2.028,38";"3.129,87";"2.471,89";"4.435,63"
"01061023";"Dammfleth";"Gemeinden";"356,76";"324,18";"356,32";"543,28";"2.120,00";"2.643,33";"2.432,68";"5.298,95";"4.965,12"
"01061024";"Drage";"Gemeinden";"347,17";"370,66";"400,81";"321,84";"404,08";"474,31";"628,02";"758,69";"779,82"
"01061025";"Ecklak";"Gemeinden";"328,73";"345,61";"332,42";"334,22";"417,45";"573,29";"1.067,94";"1.008,24";"1.248,95"
"01061026";"Elskop";"Gemeinden";"355,93";"361,11";"351,19";"371,79";"480,26";"529,41";"1.105,70";"998,79";"1.197,80"
"01061027";"Engelbrechtsche Wildnis";"Gemeinden";"458,01";"332,13";"331,45";"387,91";"455,52";"508,23";"900,16";"852,85";"1.080,98"
"01061028";"Fitzbek";"Gemeinden";"428,57";"397,91";"405,76";"345,65";"512,33";"569,89";"614,22";"725,09";"788,09"
"01061029";"Glückstadt, Stadt";"Gemeinden";"469,08";"445,37";"483,27";"464,63";"588,98";"688,32";"995,25";"1.168,52";"1.154,95"
"01061030";"Grevenkop";"Gemeinden";"498,47";"395,35";"671,39";"650,43";"936,78";"1.073,25";"1.004,47";"1.721,44";"2.375,50"
"01061031";"Gribbohm";"Gemeinden";"260,05";"223,85";"256,67";"260,50";"389,50";"570,81";"578,09";"741,42";"1.082,89"
"01061033";"Hadenfeld";"Gemeinden";"339,29";"326,53";"380,53";"452,17";"1.383,33";"614,81";"810,89";"932,53";"1.137,40"
"01061034";"Heiligenstedten";"Gemeinden";"465,32";"420,04";"406,40";"402,02";"561,55";"750,16";"940,15";"1.208,74";"1.295,54"
"01061035";"Heiligenstedtenerkamp";"Gemeinden";"366,34";"302,29";"314,81";"324,73";"414,18";"477,55";"666,25";"771,02";"901,52"
"01061036";"Hennstedt";"Gemeinden";"370,31";"354,90";"355,11";"386,55";"511,63";"566,16";"536,39";"664,60";"742,02"
"01061037";"Herzhorn";"Gemeinden";"443,03";"373,41";"364,79";"353,27";"429,52";"538,97";"596,22";"671,85";"810,53"
"01061038";"Hingstheide";"Gemeinden";"380,95";"400,00";"666,67";"623,38";"880,60";"1.637,68";"375,61";"937,67";"1.960,27"
"01061039";"Hodorf";"Gemeinden";"271,89";"338,10";"329,00";"237,89";"355,86";"527,03";"721,61";"824,43";"977,80"
"01061040";"Hohenaspe";"Gemeinden";"571,58";"468,88";"427,27";"373,93";"621,07";"710,08";"990,15";"1.016,86";"1.162,85"
"01061041";"Hohenfelde";"Gemeinden";"394,01";"345,39";"325,51";"329,14";"461,79";"556,77";"695,23";"842,57";"959,78"
"01061042";"Hohenlockstedt";"Gemeinden";"562,16";"453,40";"530,14";"478,73";"606,51";"854,89";"761,67";"916,67";"1.177,15"
"01061043";"Holstenniendorf";"Gemeinden";"324,74";"339,49";"315,42";"328,57";"359,52";"630,43";"734,15";"1.019,83";"1.142,58"
"01061044";"Horst (Holstein)";"Gemeinden";"545,32";"621,23";"515,57";"495,56";"776,50";"766,57";"884,67";"1.082,48";"1.224,28"
"01061045";"Huje";"Gemeinden";"313,38";"319,44";"352,94";"315,99";"439,22";"459,85";"734,64";"775,78";"4.026,75"
"01061046";"Itzehoe, Stadt";"Gemeinden";"663,32";"685,90";"574,68";"674,71";"871,10";"1.048,11";"1.238,46";"1.688,77";"1.595,65"
"01061047";"Kaaks";"Gemeinden";"435,48";"371,01";"424,53";"365,34";"525,67";"783,72";"1.185,11";"1.547,21";"1.304,53"
"01061048";"Kaisborstel";"Gemeinden";"289,47";"202,70";"222,22";"243,59";"410,26";"556,96";"728,85";"826,25";"930,46"
"01061049";"Kellinghusen, Stadt";"Gemeinden";"401,81";"465,82";"440,71";"393,20";"502,85";"647,08";"738,28";"795,61";"900,05"
"01061050";"Kiebitzreihe";"Gemeinden";"496,21";"428,00";"442,97";"460,60";"613,54";"810,42";"870,71";"1.082,70";"1.292,43"
"01061052";"Kleve";"Gemeinden";"363,15";"332,24";"380,72";"336,05";"371,28";"428,32";"579,44";"696,48";"822,61"
"01061053";"Kollmoor";"Gemeinden";"452,38";"488,89";"394,74";"454,55";"470,59";"1.114,29";"1.050,81";"904,56";"1.647,32"
"01061054";"Krempdorf";"Gemeinden";"340,35";"368,42";"334,57";"292,49";"360,90";"807,38";"932,48";"1.278,07";"1.510,54"
"01061055";"Krempe, Stadt";"Gemeinden";"487,51";"511,21";"381,41";"342,25";"427,16";"545,80";"761,11";"722,51";"793,31"
"01061056";"Kremperheide";"Gemeinden";"475,03";"441,06";"446,59";"467,45";"511,73";"606,53";"814,16";"824,41";"878,23"
"01061057";"Krempermoor";"Gemeinden";"400,91";"360,66";"332,05";"317,07";"399,62";"475,14";"566,74";"695,49";"712,35"
"01061058";"Kronsmoor";"Gemeinden";"278,61";"359,22";"173,27";"273,68";"449,74";"502,70";"739,87";"767,30";"879,90"
"01061059";"Krummendiek";"Gemeinden";"551,02";"470,59";"328,36";"272,73";"500,00";"583,33";"626,38";"955,97";"997,25"
"01061060";"Kudensee";"Gemeinden";"241,57";"297,14";"301,20";"236,02";"364,96";"384,06";"512,84";"587,63";"623,44"
"01061061";"Lägerdorf";"Gemeinden";"522,98";"612,10";"316,50";"397,11";"510,03";"510,37";"701,58";"1.000,11";"860,49"
"01061062";"Landrecht";"Gemeinden";"368,42";"345,32";"268,12";"277,37";"323,74";"625,00";"941,93";"1.080,68";"1.409,88"
"01061063";"Landscheide";"Gemeinden";"830,32";"309,43";"197,53";"419,09";"1.114,29";"1.772,00";"2.204,41";"2.128,16";"4.220,64"
"01061064";"Lockstedt";"Gemeinden";"8.701,86";"660,38";"20.234,64";"17.188,89";"132.226,73";"7.612,50";"12.550,10";"4.142,86";"1.442,21"
"01061065";"Lohbarbek";"Gemeinden";"447,55";"265,60";"311,20";"248,32";"451,92";"693,71";"823,29";"835,09";"1.161,33"
"01061066";"Looft";"Gemeinden";"288,77";"250,61";"335,90";"347,37";"447,72";"661,29";"1.169,84";"938,04";"1.301,55"
"01061067";"Mehlbek";"Gemeinden";"452,09";"343,48";"324,79";"349,67";"413,48";"486,84";"614,72";"682,55";"765,48"
"01061068";"Moordiek";"Gemeinden";"240,31";"236,22";"299,21";"280,00";"318,97";"423,73";"630,92";"1.169,70";"1.078,38"
"01061070";"Moorhusen";"Gemeinden";"255,32";"1.222,22";"268,82";"204,08";"306,82";"692,31";"804,63";"14.067,10";"862,13"
"01061071";"Mühlenbarbek";"Gemeinden";"303,23";"317,65";"299,72";"320,70";"392,75";"614,62";"959,47";"771,52";"919,82"
"01061072";"Münsterdorf";"Gemeinden";"493,93";"458,50";"491,70";"484,79";"535,90";"667,19";"844,24";"823,95";"947,38"
"01061073";"Neuenbrook";"Gemeinden";"481,70";"479,78";"765,56";"581,26";"763,44";"1.240,96";"1.045,47";"2.235,42";"1.644,50"
"01061074";"Neuendorf b. Elmshorn";"Gemeinden";"422,03";"387,73";"402,79";"489,04";"503,86";"633,80";"808,03";"966,01";"1.030,07"
"01061076";"Nienbüttel";"Gemeinden";"248,18";"265,73";"217,39";"300,00";"382,55";"896,00";"1.104,02";"1.252,77";"1.528,04"
"01061077";"Nortorf";"Gemeinden";"283,37";"253,57";"286,36";"252,86";"643,11";"530,54";"1.266,19";"4.650,87";"-4.721,70"
"01061078";"Nutteln";"Gemeinden";"284,40";"393,55";"319,22";"333,33";"444,84";"578,12";"672,07";"724,17";"1.555,88"
"01061079";"Oelixdorf";"Gemeinden";"415,89";"355,46";"378,51";"328,10";"453,08";"636,18";"768,22";"795,61";"887,16"
"01061080";"Oeschebüttel";"Gemeinden";"363,64";"317,07";"336,45";"324,07";"460,73";"594,29";"753,91";"725,91";"759,09"
"01061081";"Oldenborstel";"Gemeinden";"277,78";"346,46";"299,21";"314,96";"525,00";"616,67";"1.313,11";"1.369,30";"2.137,97"
"01061082";"Oldendorf";"Gemeinden";"621,30";"849,82";"848,20";"658,25";"585,54";"664,04";"879,43";"910,32";"974,96"
"01061083";"Ottenbüttel";"Gemeinden";"822,48";"1.011,42";"676,31";"529,57";"888,30";"277,01";"821,34";"812,92";"921,12"
"01061084";"Peissen";"Gemeinden";"321,80";"313,33";"299,04";"218,46";"337,79";"441,28";"626,86";"702,22";"1.524,41"
"01061085";"Pöschendorf";"Gemeinden";"352,63";"268,87";"248,85";"271,55";"356,59";"408,24";"578,81";"596,91";"866,83"
"01061086";"Poyenberg";"Gemeinden";"336,16";"261,19";"268,77";"284,34";"341,58";"476,07";"555,49";"805,30";"1.074,20"
"01061087";"Puls";"Gemeinden";"238,27";"254,77";"242,33";"223,30";"269,61";"402,73";"654,35";"833,93";"770,75"
"01061088";"Quarnstedt";"Gemeinden";"431,08";"374,70";"366,67";"859,19";"540,60";"1.217,19";"4.019,55";"7.159,38";"4.035,93"
"01061089";"Rade";"Gemeinden";"320,39";"290,00";"243,48";"223,30";"388,89";"373,74";"466,84";"546,08";"641,81"
"01061091";"Reher";"Gemeinden";"298,10";"305,96";"312,66";"295,02";"366,67";"529,57";"891,27";"966,15";"1.280,52"
"01061092";"Rethwisch";"Gemeinden";"1.731,20";"2.566,79";"-451,66";"514,14";"1.890,22";"832,77";"1.363,56";"3.560,71";"3.161,69"
"01061093";"Rosdorf";"Gemeinden";"456,99";"404,88";"437,97";"456,92";"527,42";"654,99";"675,81";"1.696,55";"1.901,12"
"01061095";"Sankt Margarethen";"Gemeinden";"310,73";"343,81";"382,68";"299,60";"400,86";"618,93";"687,88";"837,27";"904,41"
"01061096";"Sarlhusen";"Gemeinden";"274,51";"281,25";"283,20";"387,88";"356,42";"587,74";"847,77";"839,24";"1.286,19"
"01061097";"Schenefeld";"Gemeinden";"493,32";"528,50";"590,42";"599,21";"518,89";"749,59";"946,96";"1.262,84";"1.629,55"
"01061098";"Schlotfeld";"Gemeinden";"304,88";"219,61";"329,06";"466,39";"444,44";"519,65";"689,99";"676,78";"810,44"
"01061100";"Silzen";"Gemeinden";"297,47";"212,12";"281,61";"233,92";"337,08";"484,28";"937,52";"1.146,19";"1.654,43"
"01061101";"Sommerland";"Gemeinden";"504,00";"385,38";"398,57";"341,04";"502,97";"642,13";"913,86";"1.025,21";"1.224,69"
"01061102";"Stördorf";"Gemeinden";"259,54";"312,50";"353,85";"365,22";"411,29";"562,50";"775,01";"781,66";"740,51"
"01061103";"Störkathen";"Gemeinden";"492,75";"306,93";"304,35";"297,03";"443,40";"873,68";"927,41";"897,22";"1.159,77"
"01061104";"Süderau";"Gemeinden";"391,02";"389,32";"416,02";"330,37";"492,13";"586,58";"782,76";"1.185,77";"1.592,67"
"01061105";"Vaale";"Gemeinden";"329,16";"281,35";"287,25";"314,98";"395,05";"528,15";"616,63";"629,63";"761,73"
"01061106";"Vaalermoor";"Gemeinden";"271,28";"311,38";"316,46";"265,43";"772,41";"1.305,56";"803,47";"1.164,17";"840,82"
"01061107";"Wacken";"Gemeinden";"421,19";"347,24";"350,59";"393,78";"518,74";"841,67";"896,73";"1.000,83";"846,75"
"01061108";"Warringholz";"Gemeinden";"232,39";"378,38";"262,99";"271,52";"399,31";"494,81";"545,41";"798,17";"798,55"
"01061109";"Westermoor";"Gemeinden";"402,06";"358,49";"420,54";"384,81";"372,15";"526,85";"550,95";"705,49";"787,72"
"01061110";"Wewelsfleth";"Gemeinden";"476,26";"536,70";"368,93";"370,03";"681,01";"648,71";"1.007,52";"1.009,15";"1.361,20"
"01061111";"Wiedenborstel";"Gemeinden";"857,14";"714,29";"1.500,00";"800,00";"750,00";"1.500,00";"1.835,18";"1.479,91";"4.069,70"
"01061112";"Willenscharen";"Gemeinden";"374,27";"300,00";"327,49";"466,26";"461,04";"471,70";"844,43";"1.012,57";"667,13"
"01061113";"Wilster, Stadt";"Gemeinden";"608,22";"599,82";"498,31";"493,51";"511,52";"621,04";"674,11";"951,55";"973,01"
"01061114";"Winseldorf";"Gemeinden";"307,69";"338,18";"302,41";"268,29";"390,73";"429,88";"692,59";"685,59";"677,73"
"01061115";"Wittenbergen";"Gemeinden";"335,33";"682,80";"379,49";"320,65";"439,56";"844,72";"647,17";"776,05";"872,27"
"01061116";"Wrist";"Gemeinden";"367,44";"371,32";"363,45";"330,82";"403,70";"514,90";"661,07";"711,42";"848,89"
"01061117";"Wulfsmoor";"Gemeinden";"255,10";"271,57";"261,84";"268,62";"383,63";"500,00";"674,08";"737,40";"827,05"
"01061118";"Kollmar";"Gemeinden";"575,27";"455,36";"434,20";"505,72";"704,44";"690,33";"1.142,67";"1.010,90";"1.135,71"
"01061119";"Neuendorf-Sachsenbande";"Gemeinden";"314,52";"307,99";"274,75";"362,04";"333,33";"542,80";"688,40";"860,54";"982,52"
"01062001";"Ahrensburg, Stadt";"Gemeinden";"783,90";"1.403,26";"773,58";"993,40";"1.098,68";"1.251,59";"1.554,57";"1.620,87";"1.849,69"
"01062003";"Badendorf";"Gemeinden";"486,93";"418,51";"434,84";"386,65";"562,10";"613,32";"717,59";"795,56";"882,15"
"01062004";"Bad Oldesloe, Stadt";"Gemeinden";"608,79";"587,48";"535,17";"736,44";"1.064,87";"984,03";"1.187,08";"1.443,18";"1.705,13"
"01062005";"Bargfeld-Stegen";"Gemeinden";"488,31";"405,27";"387,76";"405,39";"491,92";"663,35";"725,51";"845,09";"981,03"
"01062006";"Bargteheide, Stadt";"Gemeinden";"765,37";"750,19";"751,09";"915,96";"710,49";"1.221,37";"1.496,98";"2.216,40";"2.142,09"
"01062008";"Barnitz";"Gemeinden";"443,30";"412,44";"373,30";"408,60";"558,93";"615,29";"836,50";"827,14";"884,85"
"01062009";"Barsbüttel";"Gemeinden";"961,47";"828,63";"848,56";"840,73";"1.108,02";"1.263,81";"1.618,17";"2.073,17";"1.996,91"
"01062011";"Braak";"Gemeinden";"627,42";"682,01";"1.172,23";"1.420,72";"1.642,05";"1.835,01";"2.622,09";"4.155,92";"5.912,97"
"01062014";"Delingsdorf";"Gemeinden";"448,52";"409,13";"316,56";"293,50";"529,30";"739,19";"946,91";"910,52";"1.135,07"
"01062016";"Elmenhorst";"Gemeinden";"442,39";"420,44";"461,23";"470,98";"502,41";"625,10";"879,23";"898,96";"958,65"
"01062018";"Glinde, Stadt";"Gemeinden";"874,45";"728,33";"705,72";"889,75";"972,27";"1.064,00";"1.358,95";"1.587,30";"1.991,61"
"01062019";"Grabau";"Gemeinden";"408,40";"439,59";"400,52";"400,26";"486,11";"609,57";"805,15";"649,57";"822,34"
"01062020";"Grande";"Gemeinden";"615,27";"489,06";"526,79";"469,36";"607,04";"775,23";"896,72";"1.005,97";"1.094,37"
"01062021";"Grönwohld";"Gemeinden";"537,23";"422,21";"441,83";"412,47";"528,93";"621,01";"763,84";"861,21";"952,44"
"01062022";"Großensee";"Gemeinden";"585,43";"489,62";"488,55";"448,41";"554,40";"767,15";"905,41";"969,15";"1.177,28"
"01062023";"Großhansdorf";"Gemeinden";"654,84";"584,07";"611,10";"591,39";"664,61";"812,98";"1.033,94";"1.092,47";"1.332,36"
"01062025";"Hamberge";"Gemeinden";"469,28";"402,10";"428,57";"433,18";"487,96";"556,38";"705,46";"790,69";"944,54"
"01062026";"Hamfelde";"Gemeinden";"450,93";"374,48";"395,26";"401,87";"480,49";"568,79";"648,79";"684,43";"959,86"
"01062027";"Hammoor";"Gemeinden";"408,30";"400,00";"451,38";"396,58";"495,83";"615,57";"794,50";"875,99";"1.049,71"
"01062031";"Heidekamp";"Gemeinden";"350,13";"367,57";"306,29";"254,78";"399,15";"491,76";"587,48";"645,27";"740,51"
"01062032";"Heilshoop";"Gemeinden";"367,89";"431,31";"476,95";"390,57";"408,64";"576,71";"641,54";"711,70";"749,52"
"01062033";"Hohenfelde";"Gemeinden";"509,09";"296,88";"396,23";"344,26";"800,00";"666,67";"799,96";"1.155,65";"1.050,74"
"01062035";"Hoisdorf";"Gemeinden";"541,52";"421,01";"508,06";"472,45";"619,76";"1.179,80";"1.344,56";"1.046,27";"1.105,72"
"01062036";"Jersbek";"Gemeinden";"549,94";"463,16";"457,32";"457,38";"618,78";"826,57";"898,11";"1.084,58";"1.227,70"
"01062039";"Klein Wesenberg";"Gemeinden";"341,98";"301,37";"301,74";"310,48";"475,56";"553,89";"735,76";"745,38";"786,10"
"01062040";"Köthel";"Gemeinden";"478,99";"517,14";"404,52";"744,68";"654,76";"905,96";"1.012,73";"1.528,55";"1.382,35"
"01062045";"Lütjensee";"Gemeinden";"598,97";"672,55";"540,43";"611,20";"660,48";"866,21";"1.040,81";"1.349,64";"1.676,43"
"01062046";"Meddewade";"Gemeinden";"447,44";"561,77";"402,56";"437,82";"566,71";"604,95";"718,57";"739,58";"986,55"
"01062048";"Mönkhagen";"Gemeinden";"330,37";"395,27";"358,12";"302,99";"453,38";"465,65";"619,82";"754,13";"883,31"
"01062050";"Neritz";"Gemeinden";"510,51";"516,03";"408,84";"425,15";"562,89";"656,96";"807,25";"893,96";"1.103,42"
"01062051";"Nienwohld";"Gemeinden";"410,55";"368,06";"352,70";"356,25";"505,35";"583,88";"824,30";"984,31";"881,57"
"01062053";"Oststeinbek";"Gemeinden";"1.028,98";"902,31";"1.352,70";"1.235,71";"2.382,00";"2.497,71";"2.963,45";"5.105,19";"3.236,44"
"01062056";"Pölitz";"Gemeinden";"387,13";"408,20";"373,79";"345,61";"484,20";"604,87";"771,10";"752,20";"874,43"
"01062058";"Rausdorf";"Gemeinden";"466,37";"447,26";"540,18";"575,22";"705,63";"848,98";"1.167,77";"1.018,88";"1.117,32"
"01062059";"Rehhorst";"Gemeinden";"278,71";"301,59";"282,23";"261,90";"370,48";"554,44";"620,59";"787,46";"876,32"
"01062060";"Reinbek, Stadt";"Gemeinden";"888,08";"835,33";"747,60";"1.153,86";"1.047,54";"1.161,99";"1.459,40";"1.737,57";"2.067,56"
"01062061";"Reinfeld (Holstein), Stadt";"Gemeinden";"515,00";"503,60";"444,16";"551,34";"660,78";"835,35";"1.107,55";"1.326,97";"1.410,96"
"01062062";"Rethwisch";"Gemeinden";"409,18";"457,36";"423,93";"383,47";"498,56";"593,36";"729,67";"820,07";"1.064,98"
"01062065";"Rümpel";"Gemeinden";"331,22";"442,36";"304,38";"360,43";"476,66";"603,12";"686,31";"756,65";"823,38"
"01062069";"Siek";"Gemeinden";"690,90";"654,97";"708,59";"829,90";"1.288,39";"1.350,83";"2.646,73";"2.621,02";"2.716,24"
"01062071";"Stapelfeld";"Gemeinden";"2.862,79";"3.715,55";"3.013,27";"2.836,94";"3.141,34";"4.133,80";"2.117,72";"3.204,74";"3.991,32"
"01062076";"Tangstedt";"Gemeinden";"632,62";"495,40";"668,08";"550,81";"697,38";"929,15";"1.110,61";"1.740,29";"1.858,38"
"01062078";"Todendorf";"Gemeinden";"478,43";"399,44";"445,74";"438,15";"500,44";"579,73";"769,04";"872,13";"1.136,56"
"01062081";"Tremsbüttel";"Gemeinden";"453,02";"993,91";"698,64";"419,16";"554,13";"768,42";"854,69";"988,52";"1.169,73"
"01062082";"Trittau";"Gemeinden";"741,20";"841,94";"669,66";"834,16";"851,93";"1.006,93";"1.335,08";"1.458,90";"1.729,72"
"01062083";"Westerau";"Gemeinden";"343,75";"376,09";"392,01";"410,82";"566,33";"701,20";"874,98";"1.295,83";"974,12"
"01062086";"Witzhave";"Gemeinden";"509,21";"555,91";"649,01";"1.034,83";"1.500,00";"1.223,34";"1.050,40";"745,22";"1.320,96"
"01062087";"Zarpen";"Gemeinden";"392,36";"375,77";"333,12";"324,02";"480,42";"567,77";"686,32";"754,67";"838,26"
"01062088";"Brunsbek";"Gemeinden";"569,20";"484,87";"547,97";"518,32";"633,64";"750,88";"947,35";"1.007,58";"1.139,16"
"01062089";"Lasbek";"Gemeinden";"509,30";"390,82";"401,35";"401,03";"536,79";"643,57";"808,79";"1.088,48";"1.162,49"
"01062090";"Ammersbek";"Gemeinden";"682,92";"661,30";"559,79";"606,01";"752,87";"853,57";"993,79";"1.082,46";"1.265,46"
"01062091";"Steinburg";"Gemeinden";"482,94";"479,16";"404,72";"394,70";"549,46";"742,26";"869,77";"876,48";"1.117,08"
"01062092";"Travenbrück";"Gemeinden";"375,24";"494,67";"370,90";"355,08";"570,78";"665,11";"815,56";"900,93";"996,99"
"01062093";"Feldhorst";"Gemeinden";"301,92";"244,07";"288,24";"295,68";"477,54";"650,82";"1.020,74";"946,78";"1.102,00"
"01062094";"Wesenberg";"Gemeinden";"380,55";"378,26";"378,98";"360,57";"411,67";"608,04";"802,25";"893,30";"1.365,68"
"02000000";"Hamburg, Freie und Hansestadt";"Gemeinden";"1.060,85";"1.206,54";"1.303,05";"1.505,95";"1.567,72";"1.858,52";"2.083,09";"2.461,97";"3.023,90"
"03101000";"Braunschweig, Stadt";"Gemeinden";"728,23";"815,08";"817,83";"777,48";"857,81";"1.215,33";"1.450,78";"1.564,96";"1.819,60"
"03102000";"Salzgitter, Stadt";"Gemeinden";"620,00";"1.080,97";"626,71";"803,79";"773,99";"911,44";"1.032,83";"1.075,64";"1.387,26"
"03103000";"Wolfsburg, Stadt";"Gemeinden";"792,84";"1.170,43";"1.317,07";"1.037,70";"1.584,98";"2.194,73";"1.858,54";"1.726,40";"2.904,30"
"03151001";"Adenbüttel";"Gemeinden";"390,57";"364,40";"351,62";"375,29";"501,43";"623,50";"769,24";"914,60";"968,23"
"03151002";"Barwedel";"Gemeinden";"476,73";"415,78";"349,77";"381,89";"432,99";"685,97";"890,53";"940,79";"925,24"
