Kennziffer;Raumeinheit;Aggregat;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose
;;;1998;2002;2005;2009;2013;2017;2021;2023
"07133051";"Jeckenbach";"Gemeinden";"11,00";"11,00";"11,00";"10,00";"4,00";"4,00";"5,00";"7,00"
"07133052";"Kirn, Stadt";"Gemeinden";"615,00";"525,00";"745,00";"528,00";"613,00";"510,00";"468,00";"486,00"
"07133053";"Kirschroth";"Gemeinden";"9,00";"8,00";"5,00";"4,00";"5,00";"4,00";"4,00";"5,00"
"07133054";"Langenlonsheim";"Gemeinden";"131,00";"104,00";"161,00";"120,00";"100,00";"108,00";"88,00";"96,00"
"07133055";"Langenthal";"Gemeinden";"2,00";"3,00";"6,00";"2,00";"3,00";"4,00";"2,00";"2,00"
"07133056";"Laubenheim";"Gemeinden";"29,00";"23,00";"28,00";"16,00";"18,00";"16,00";"16,00";"16,00"
"07133057";"Lauschied";"Gemeinden";"22,00";"22,00";"25,00";"17,00";"13,00";"9,00";"12,00";"10,00"
"07133058";"Lettweiler";"Gemeinden";"6,00";"8,00";"13,00";"11,00";"4,00";"3,00";"3,00";"2,00"
"07133059";"Limbach";"Gemeinden";"7,00";"14,00";"10,00";"7,00";"5,00";"3,00";"5,00";"8,00"
"07133060";"Löllbach";"Gemeinden";"7,00";"9,00";"13,00";"8,00";"7,00";"4,00";"3,00";"7,00"
"07133061";"Mandel";"Gemeinden";"32,00";"29,00";"26,00";"23,00";"21,00";"22,00";"16,00";"16,00"
"07133062";"Martinstein";"Gemeinden";"15,00";"9,00";"15,00";"13,00";"14,00";"11,00";"11,00";"18,00"
"07133063";"Meckenbach";"Gemeinden";"11,00";"12,00";"15,00";"5,00";"10,00";"5,00";"6,00";"3,00"
"07133064";"Meddersheim";"Gemeinden";"36,00";"34,00";"43,00";"25,00";"21,00";"16,00";"23,00";"23,00"
"07133065";"Meisenheim, Stadt";"Gemeinden";"134,00";"117,00";"131,00";"103,00";"102,00";"77,00";"67,00";"74,00"
"07133066";"Merxheim";"Gemeinden";"52,00";"48,00";"71,00";"45,00";"49,00";"42,00";"37,00";"38,00"
"07133067";"Monzingen";"Gemeinden";"61,00";"56,00";"74,00";"54,00";"77,00";"47,00";"39,00";"43,00"
"07133068";"Münchwald";"Gemeinden";"10,00";"9,00";"8,00";"3,00";"3,00";"5,00";"6,00";"3,00"
"07133069";"Neu-Bamberg";"Gemeinden";"31,00";"29,00";"37,00";"23,00";"21,00";"19,00";"14,00";"14,00"
"07133070";"Niederhausen";"Gemeinden";"13,00";"16,00";"28,00";"13,00";"15,00";"13,00";"14,00";"19,00"
"07133071";"Norheim";"Gemeinden";"43,00";"37,00";"51,00";"28,00";"27,00";"25,00";"29,00";"31,00"
"07133072";"Nußbaum";"Gemeinden";"15,00";"15,00";"14,00";"9,00";"13,00";"9,00";"9,00";"9,00"
"07133073";"Oberhausen bei Kirn";"Gemeinden";"41,00";"39,00";"47,00";"23,00";"25,00";"20,00";"23,00";"20,00"
"07133074";"Oberhausen an der Nahe";"Gemeinden";"13,00";"11,00";"13,00";"5,00";"11,00";"4,00";"5,00";"7,00"
"07133075";"Oberstreit";"Gemeinden";"9,00";"8,00";"4,00";"4,00";"5,00";"4,00";"4,00";"7,00"
"07133076";"Odernheim am Glan";"Gemeinden";"64,00";"57,00";"91,00";"49,00";"53,00";"43,00";"51,00";"59,00"
"07133077";"Otzweiler";"Gemeinden";"11,00";"16,00";"14,00";"11,00";"8,00";"5,00";"4,00";"7,00"
"07133078";"Pfaffen-Schwabenheim";"Gemeinden";"49,00";"39,00";"63,00";"39,00";"49,00";"39,00";"45,00";"36,00"
"07133080";"Pleitersheim";"Gemeinden";"8,00";"6,00";"14,00";"9,00";"11,00";"3,00";"6,00";"7,00"
"07133081";"Raumbach";"Gemeinden";"19,00";"13,00";"20,00";"9,00";"14,00";"15,00";"9,00";"12,00"
"07133082";"Rehbach";"Gemeinden";"2,00";"0,00";"0,00";"1,00";"0,00";"0,00";"0,00";"0,00"
"07133083";"Rehborn";"Gemeinden";"24,00";"26,00";"22,00";"17,00";"17,00";"10,00";"6,00";"8,00"
"07133084";"Reiffelbach";"Gemeinden";"14,00";"6,00";"7,00";"10,00";"13,00";"6,00";"6,00";"5,00"
"07133085";"Roth";"Gemeinden";"10,00";"5,00";"9,00";"5,00";"5,00";"3,00";"4,00";"5,00"
"07133086";"Roxheim";"Gemeinden";"70,00";"58,00";"84,00";"54,00";"63,00";"51,00";"51,00";"50,00"
"07133087";"Rümmelsheim";"Gemeinden";"48,00";"34,00";"50,00";"35,00";"32,00";"31,00";"26,00";"24,00"
"07133088";"Sankt Katharinen";"Gemeinden";"8,00";"7,00";"10,00";"9,00";"8,00";"8,00";"11,00";"12,00"
"07133089";"Schloßböckelheim";"Gemeinden";"16,00";"12,00";"9,00";"8,00";"6,00";"6,00";"4,00";"9,00"
"07133090";"Schmittweiler";"Gemeinden";"6,00";"3,00";"6,00";"5,00";"4,00";"3,00";"4,00";"5,00"
"07133091";"Schöneberg";"Gemeinden";"21,00";"23,00";"23,00";"10,00";"15,00";"12,00";"14,00";"14,00"
"07133092";"Schweinschied";"Gemeinden";"5,00";"5,00";"6,00";"3,00";"3,00";"2,00";"2,00";"4,00"
"07133093";"Schweppenhausen";"Gemeinden";"34,00";"34,00";"29,00";"26,00";"33,00";"24,00";"24,00";"20,00"
"07133094";"Seesbach";"Gemeinden";"26,00";"20,00";"29,00";"21,00";"18,00";"13,00";"14,00";"8,00"
"07133095";"Seibersbach";"Gemeinden";"44,00";"38,00";"41,00";"26,00";"25,00";"21,00";"22,00";"20,00"
"07133096";"Simmertal";"Gemeinden";"87,00";"91,00";"101,00";"68,00";"78,00";"61,00";"48,00";"44,00"
"07133098";"Sommerloch";"Gemeinden";"13,00";"9,00";"6,00";"2,00";"5,00";"6,00";"2,00";"5,00"
"07133099";"Spabrücken";"Gemeinden";"29,00";"27,00";"35,00";"16,00";"12,00";"11,00";"21,00";"17,00"
"07133100";"Spall";"Gemeinden";"4,00";"5,00";"7,00";"5,00";"7,00";"7,00";"6,00";"8,00"
"07133101";"Sponheim";"Gemeinden";"32,00";"17,00";"24,00";"21,00";"22,00";"18,00";"12,00";"13,00"
"07133102";"Staudernheim";"Gemeinden";"52,00";"48,00";"64,00";"47,00";"41,00";"37,00";"38,00";"29,00"
"07133103";"Stromberg, Stadt";"Gemeinden";"125,00";"124,00";"148,00";"89,00";"87,00";"85,00";"89,00";"90,00"
"07133104";"Tiefenthal";"Gemeinden";"5,00";"2,00";"5,00";"2,00";"1,00";"4,00";"2,00";"3,00"
"07133105";"Traisen";"Gemeinden";"26,00";"18,00";"17,00";"10,00";"12,00";"8,00";"18,00";"12,00"
"07133106";"Volxheim";"Gemeinden";"32,00";"23,00";"42,00";"27,00";"26,00";"19,00";"23,00";"22,00"
"07133107";"Waldböckelheim";"Gemeinden";"86,00";"70,00";"96,00";"68,00";"67,00";"60,00";"52,00";"50,00"
"07133108";"Waldlaubersheim";"Gemeinden";"26,00";"22,00";"18,00";"14,00";"12,00";"10,00";"13,00";"18,00"
"07133109";"Wallhausen";"Gemeinden";"44,00";"43,00";"42,00";"28,00";"21,00";"23,00";"14,00";"17,00"
"07133110";"Warmsroth";"Gemeinden";"14,00";"14,00";"14,00";"11,00";"10,00";"5,00";"9,00";"6,00"
"07133111";"Weiler bei Monzingen";"Gemeinden";"7,00";"13,00";"21,00";"8,00";"18,00";"12,00";"12,00";"12,00"
"07133112";"Weinsheim";"Gemeinden";"60,00";"49,00";"81,00";"44,00";"33,00";"41,00";"31,00";"34,00"
"07133113";"Weitersborn";"Gemeinden";"7,00";"7,00";"11,00";"3,00";"5,00";"6,00";"4,00";"2,00"
"07133114";"Windesheim";"Gemeinden";"54,00";"47,00";"56,00";"40,00";"42,00";"38,00";"29,00";"38,00"
"07133115";"Winterbach";"Gemeinden";"11,00";"10,00";"15,00";"12,00";"9,00";"10,00";"8,00";"9,00"
"07133116";"Winterburg";"Gemeinden";"9,00";"6,00";"4,00";"3,00";"5,00";"3,00";"4,00";"5,00"
"07133117";"Rüdesheim";"Gemeinden";"102,00";"91,00";"102,00";"72,00";"76,00";"72,00";"81,00";"83,00"
"07133201";"Bruschied";"Gemeinden";"19,00";"15,00";"16,00";"9,00";"6,00";"6,00";"10,00";"15,00"
"07133202";"Kellenbach";"Gemeinden";"8,00";"6,00";"9,00";"5,00";"7,00";"5,00";"6,00";"6,00"
"07133203";"Königsau";"Gemeinden";"2,00";"4,00";"3,00";"3,00";"2,00";"1,00";"3,00";"1,00"
"07133204";"Schneppenbach";"Gemeinden";"11,00";"8,00";"8,00";"3,00";"4,00";"6,00";"8,00";"5,00"
"07133205";"Schwarzerden";"Gemeinden";"13,00";"12,00";"9,00";"8,00";"11,00";"7,00";"5,00";"5,00"
"07133501";"Bad Sobernheim, Stadt";"Gemeinden";"270,00";"245,00";"295,00";"226,00";"261,00";"221,00";"231,00";"221,00"
"07134001";"Abentheuer";"Gemeinden";"22,00";"16,00";"20,00";"10,00";"18,00";"8,00";"9,00";"19,00"
"07134002";"Achtelsbach";"Gemeinden";"20,00";"14,00";"14,00";"14,00";"10,00";"9,00";"4,00";"3,00"
"07134003";"Allenbach";"Gemeinden";"22,00";"18,00";"18,00";"13,00";"12,00";"7,00";"6,00";"10,00"
"07134004";"Asbach";"Gemeinden";"3,00";"3,00";"3,00";"2,00";"2,00";"1,00";"0,00";"1,00"
"07134005";"Baumholder, Stadt";"Gemeinden";"275,00";"205,00";"218,00";"183,00";"173,00";"164,00";"169,00";"167,00"
"07134006";"Bergen";"Gemeinden";"18,00";"14,00";"17,00";"16,00";"9,00";"10,00";"6,00";"12,00"
"07134007";"Berglangenbach";"Gemeinden";"8,00";"14,00";"15,00";"9,00";"11,00";"13,00";"6,00";"6,00"
"07134008";"Berschweiler bei Baumholder";"Gemeinden";"18,00";"23,00";"29,00";"16,00";"10,00";"16,00";"18,00";"13,00"
"07134009";"Berschweiler bei Kirn";"Gemeinden";"5,00";"8,00";"14,00";"6,00";"6,00";"2,00";"2,00";"8,00"
"07134010";"Birkenfeld, Stadt";"Gemeinden";"374,00";"337,00";"430,00";"358,00";"333,00";"306,00";"308,00";"328,00"
"07134011";"Börfink";"Gemeinden";"16,00";"15,00";"14,00";"11,00";"8,00";"9,00";"4,00";"7,00"
"07134012";"Bollenbach";"Gemeinden";"1,00";"3,00";"6,00";"4,00";"2,00";"3,00";"3,00";"3,00"
"07134013";"Breitenthal";"Gemeinden";"16,00";"9,00";"14,00";"11,00";"8,00";"3,00";"3,00";"5,00"
"07134014";"Bruchweiler";"Gemeinden";"25,00";"10,00";"16,00";"7,00";"8,00";"4,00";"4,00";"2,00"
"07134015";"Brücken";"Gemeinden";"47,00";"43,00";"48,00";"35,00";"39,00";"30,00";"20,00";"32,00"
"07134016";"Buhlenberg";"Gemeinden";"17,00";"18,00";"22,00";"10,00";"8,00";"6,00";"10,00";"7,00"
"07134017";"Bundenbach";"Gemeinden";"49,00";"36,00";"54,00";"25,00";"20,00";"25,00";"22,00";"20,00"
"07134018";"Dambach";"Gemeinden";"1,00";"3,00";"5,00";"3,00";"1,00";"3,00";"1,00";"0,00"
"07134019";"Dickesbach";"Gemeinden";"19,00";"14,00";"14,00";"6,00";"7,00";"5,00";"5,00";"7,00"
"07134020";"Dienstweiler";"Gemeinden";"10,00";"11,00";"16,00";"8,00";"6,00";"4,00";"3,00";"1,00"
"07134021";"Eckersweiler";"Gemeinden";"10,00";"7,00";"5,00";"4,00";"5,00";"4,00";"4,00";"2,00"
"07134022";"Elchweiler";"Gemeinden";"1,00";"3,00";"4,00";"4,00";"1,00";"1,00";"1,00";"1,00"
"07134023";"Ellenberg";"Gemeinden";"1,00";"1,00";"4,00";"3,00";"4,00";"2,00";"2,00";"2,00"
"07134024";"Ellweiler";"Gemeinden";"8,00";"13,00";"13,00";"7,00";"6,00";"4,00";"5,00";"6,00"
"07134025";"Fischbach";"Gemeinden";"42,00";"47,00";"48,00";"29,00";"30,00";"27,00";"27,00";"25,00"
"07134026";"Fohren-Linden";"Gemeinden";"15,00";"7,00";"12,00";"5,00";"4,00";"6,00";"6,00";"3,00"
"07134027";"Frauenberg";"Gemeinden";"21,00";"20,00";"19,00";"11,00";"9,00";"5,00";"6,00";"10,00"
"07134028";"Gerach";"Gemeinden";"8,00";"9,00";"12,00";"10,00";"4,00";"3,00";"4,00";"2,00"
"07134029";"Gimbweiler";"Gemeinden";"14,00";"13,00";"11,00";"11,00";"12,00";"8,00";"11,00";"7,00"
"07134030";"Gösenroth";"Gemeinden";"10,00";"8,00";"10,00";"5,00";"3,00";"1,00";"3,00";"1,00"
"07134031";"Gollenberg";"Gemeinden";"3,00";"3,00";"6,00";"3,00";"3,00";"1,00";"2,00";"3,00"
"07134032";"Griebelschied";"Gemeinden";"8,00";"6,00";"9,00";"6,00";"8,00";"2,00";"5,00";"3,00"
"07134033";"Hahnweiler";"Gemeinden";"7,00";"2,00";"4,00";"3,00";"2,00";"4,00";"6,00";"4,00"
"07134034";"Hattgenstein";"Gemeinden";"13,00";"9,00";"11,00";"9,00";"8,00";"7,00";"7,00";"5,00"
"07134035";"Hausen";"Gemeinden";"9,00";"9,00";"11,00";"7,00";"7,00";"8,00";"5,00";"6,00"
"07134036";"Heimbach";"Gemeinden";"53,00";"46,00";"56,00";"41,00";"43,00";"28,00";"28,00";"31,00"
"07134037";"Hellertshausen";"Gemeinden";"8,00";"6,00";"5,00";"4,00";"4,00";"2,00";"3,00";"2,00"
"07134038";"Herborn";"Gemeinden";"17,00";"19,00";"18,00";"10,00";"14,00";"10,00";"12,00";"12,00"
"07134039";"Herrstein";"Gemeinden";"71,00";"87,00";"43,00";"33,00";"21,00";"26,00";"20,00";"23,00"
"07134040";"Hettenrodt";"Gemeinden";"22,00";"14,00";"24,00";"12,00";"9,00";"6,00";"6,00";"6,00"
"07134041";"Hintertiefenbach";"Gemeinden";"13,00";"18,00";"13,00";"11,00";"7,00";"2,00";"5,00";"6,00"
"07134042";"Hoppstädten-Weiersbach";"Gemeinden";"79,00";"82,00";"108,00";"75,00";"71,00";"61,00";"45,00";"67,00"
"07134043";"Horbruch";"Gemeinden";"8,00";"10,00";"11,00";"3,00";"10,00";"5,00";"6,00";"6,00"
"07134044";"Hottenbach";"Gemeinden";"31,00";"30,00";"29,00";"16,00";"14,00";"7,00";"12,00";"8,00"
"07134045";"Idar-Oberstein, Stadt";"Gemeinden";"1.991,00";"1.776,00";"2.216,00";"1.570,00";"1.399,00";"1.353,00";"1.308,00";"1.489,00"
"07134046";"Kempfeld";"Gemeinden";"34,00";"31,00";"44,00";"26,00";"19,00";"19,00";"17,00";"16,00"
"07134047";"Kirschweiler";"Gemeinden";"33,00";"31,00";"42,00";"20,00";"22,00";"16,00";"11,00";"13,00"
"07134048";"Kronweiler";"Gemeinden";"17,00";"9,00";"9,00";"12,00";"6,00";"8,00";"9,00";"13,00"
"07134049";"Krummenau";"Gemeinden";"4,00";"6,00";"4,00";"3,00";"3,00";"2,00";"7,00";"3,00"
"07134050";"Leisel";"Gemeinden";"15,00";"17,00";"19,00";"10,00";"13,00";"7,00";"8,00";"8,00"
"07134051";"Leitzweiler";"Gemeinden";"10,00";"8,00";"8,00";"5,00";"5,00";"7,00";"4,00";"4,00"
"07134052";"Mackenrodt";"Gemeinden";"15,00";"9,00";"9,00";"9,00";"4,00";"2,00";"4,00";"6,00"
"07134053";"Meckenbach";"Gemeinden";"3,00";"2,00";"7,00";"3,00";"1,00";"2,00";"1,00";"1,00"
"07134054";"Mettweiler";"Gemeinden";"15,00";"6,00";"13,00";"14,00";"10,00";"9,00";"10,00";"8,00"
"07134055";"Mittelreidenbach";"Gemeinden";"33,00";"38,00";"40,00";"24,00";"20,00";"7,00";"12,00";"8,00"
"07134056";"Mörschied";"Gemeinden";"30,00";"23,00";"35,00";"21,00";"20,00";"16,00";"20,00";"11,00"
"07134057";"Niederbrombach";"Gemeinden";"13,00";"15,00";"14,00";"10,00";"10,00";"8,00";"9,00";"8,00"
"07134058";"Niederhambach";"Gemeinden";"10,00";"9,00";"14,00";"11,00";"9,00";"7,00";"6,00";"4,00"
"07134059";"Niederhosenbach";"Gemeinden";"14,00";"11,00";"14,00";"10,00";"6,00";"4,00";"3,00";"2,00"
"07134060";"Niederwörresbach";"Gemeinden";"29,00";"31,00";"40,00";"17,00";"18,00";"10,00";"9,00";"7,00"
"07134061";"Nohen";"Gemeinden";"14,00";"14,00";"14,00";"13,00";"15,00";"12,00";"4,00";"5,00"
"07134062";"Oberbrombach";"Gemeinden";"18,00";"23,00";"20,00";"16,00";"14,00";"10,00";"12,00";"7,00"
"07134063";"Oberhambach";"Gemeinden";"8,00";"5,00";"9,00";"11,00";"9,00";"4,00";"5,00";"8,00"
"07134064";"Oberhosenbach";"Gemeinden";"5,00";"2,00";"4,00";"4,00";"1,00";"1,00";"1,00";"1,00"
"07134065";"Oberkirn";"Gemeinden";"12,00";"17,00";"18,00";"9,00";"7,00";"9,00";"8,00";"4,00"
"07134066";"Oberreidenbach";"Gemeinden";"17,00";"22,00";"21,00";"13,00";"12,00";"9,00";"10,00";"6,00"
"07134067";"Oberwörresbach";"Gemeinden";"1,00";"1,00";"4,00";"4,00";"2,00";"1,00";"0,00";"2,00"
"07134068";"Reichenbach";"Gemeinden";"24,00";"14,00";"19,00";"15,00";"13,00";"9,00";"10,00";"10,00"
"07134069";"Rhaunen";"Gemeinden";"133,00";"113,00";"109,00";"69,00";"64,00";"45,00";"59,00";"53,00"
"07134070";"Rimsberg";"Gemeinden";"0,00";"1,00";"3,00";"3,00";"1,00";"0,00";"1,00";"0,00"
"07134071";"Rinzenberg";"Gemeinden";"7,00";"5,00";"8,00";"6,00";"4,00";"4,00";"8,00";"5,00"
"07134072";"Rötsweiler-Nockenthal";"Gemeinden";"18,00";"14,00";"25,00";"12,00";"13,00";"6,00";"7,00";"12,00"
"07134073";"Rohrbach";"Gemeinden";"9,00";"9,00";"13,00";"7,00";"5,00";"2,00";"5,00";"5,00"
"07134074";"Rückweiler";"Gemeinden";"16,00";"8,00";"15,00";"12,00";"16,00";"9,00";"9,00";"10,00"
"07134075";"Ruschberg";"Gemeinden";"43,00";"28,00";"35,00";"21,00";"24,00";"19,00";"21,00";"23,00"
"07134076";"Schauren";"Gemeinden";"22,00";"15,00";"15,00";"12,00";"10,00";"4,00";"8,00";"6,00"
"07134077";"Schmidthachenbach";"Gemeinden";"16,00";"11,00";"7,00";"8,00";"11,00";"8,00";"11,00";"15,00"
"07134078";"Schmißberg";"Gemeinden";"7,00";"3,00";"6,00";"5,00";"4,00";"3,00";"4,00";"4,00"
"07134079";"Schwerbach";"Gemeinden";"1,00";"2,00";"6,00";"3,00";"1,00";"1,00";"2,00";"1,00"
"07134080";"Schwollen";"Gemeinden";"11,00";"12,00";"16,00";"16,00";"9,00";"7,00";"6,00";"6,00"
"07134081";"Sensweiler";"Gemeinden";"20,00";"21,00";"22,00";"11,00";"15,00";"10,00";"9,00";"9,00"
"07134082";"Sien";"Gemeinden";"31,00";"18,00";"17,00";"9,00";"9,00";"8,00";"12,00";"12,00"
"07134083";"Sienhachenbach";"Gemeinden";"6,00";"6,00";"7,00";"5,00";"4,00";"3,00";"3,00";"3,00"
"07134084";"Siesbach";"Gemeinden";"9,00";"12,00";"11,00";"15,00";"8,00";"7,00";"6,00";"3,00"
"07134085";"Sonnenberg-Winnenberg";"Gemeinden";"32,00";"29,00";"18,00";"19,00";"16,00";"17,00";"12,00";"13,00"
"07134086";"Sonnschied";"Gemeinden";"7,00";"6,00";"10,00";"4,00";"3,00";"2,00";"3,00";"5,00"
"07134087";"Stipshausen";"Gemeinden";"32,00";"27,00";"32,00";"20,00";"23,00";"16,00";"16,00";"14,00"
"07134088";"Sulzbach";"Gemeinden";"9,00";"11,00";"14,00";"9,00";"13,00";"9,00";"5,00";"3,00"
"07134089";"Veitsrodt";"Gemeinden";"25,00";"15,00";"19,00";"15,00";"9,00";"3,00";"8,00";"8,00"
"07134090";"Vollmersbach";"Gemeinden";"14,00";"14,00";"12,00";"5,00";"6,00";"3,00";"6,00";"4,00"
"07134091";"Weiden";"Gemeinden";"4,00";"6,00";"7,00";"4,00";"2,00";"2,00";"1,00";"3,00"
"07134092";"Weitersbach";"Gemeinden";"2,00";"3,00";"0,00";"1,00";"2,00";"1,00";"1,00";"0,00"
"07134093";"Wickenrodt";"Gemeinden";"3,00";"4,00";"5,00";"4,00";"3,00";"2,00";"3,00";"2,00"
"07134094";"Wilzenberg-Hußweiler";"Gemeinden";"10,00";"11,00";"17,00";"13,00";"8,00";"5,00";"6,00";"6,00"
"07134095";"Wirschweiler";"Gemeinden";"14,00";"14,00";"12,00";"7,00";"5,00";"6,00";"7,00";"4,00"
"07134502";"Langweiler";"Gemeinden";"16,00";"20,00";"12,00";"9,00";"8,00";"6,00";"9,00";"6,00"
"07135001";"Alf";"Gemeinden";"33,00";"26,00";"36,00";"18,00";"17,00";"19,00";"18,00";"23,00"
"07135002";"Alflen";"Gemeinden";"19,00";"17,00";"24,00";"12,00";"10,00";"10,00";"10,00";"10,00"
"07135003";"Altlay";"Gemeinden";"38,00";"21,00";"25,00";"15,00";"13,00";"8,00";"11,00";"6,00"
"07135004";"Altstrimmig";"Gemeinden";"9,00";"7,00";"9,00";"9,00";"7,00";"5,00";"2,00";"4,00"
"07135005";"Auderath";"Gemeinden";"17,00";"11,00";"14,00";"10,00";"12,00";"13,00";"14,00";"14,00"
"07135007";"Beilstein";"Gemeinden";"7,00";"5,00";"7,00";"6,00";"3,00";"3,00";"7,00";"6,00"
"07135008";"Beuren";"Gemeinden";"11,00";"5,00";"10,00";"10,00";"10,00";"8,00";"9,00";"9,00"
"07135009";"Binningen";"Gemeinden";"14,00";"13,00";"18,00";"12,00";"9,00";"6,00";"8,00";"6,00"
"07135010";"Blankenrath";"Gemeinden";"66,00";"43,00";"69,00";"34,00";"31,00";"33,00";"21,00";"23,00"
"07135011";"Brachtendorf";"Gemeinden";"2,00";"4,00";"7,00";"4,00";"4,00";"4,00";"4,00";"3,00"
"07135012";"Bremm";"Gemeinden";"27,00";"21,00";"19,00";"12,00";"12,00";"8,00";"8,00";"12,00"
"07135013";"Briedel";"Gemeinden";"42,00";"25,00";"29,00";"24,00";"20,00";"16,00";"22,00";"22,00"
"07135014";"Brieden";"Gemeinden";"2,00";"2,00";"5,00";"3,00";"2,00";"1,00";"3,00";"4,00"
"07135015";"Briedern";"Gemeinden";"7,00";"6,00";"12,00";"9,00";"8,00";"7,00";"8,00";"8,00"
"07135016";"Brohl";"Gemeinden";"10,00";"9,00";"11,00";"9,00";"6,00";"5,00";"7,00";"6,00"
"07135017";"Bruttig-Fankel";"Gemeinden";"34,00";"25,00";"41,00";"23,00";"21,00";"14,00";"24,00";"26,00"
"07135018";"Büchel";"Gemeinden";"29,00";"27,00";"33,00";"17,00";"22,00";"12,00";"12,00";"18,00"
"07135019";"Bullay";"Gemeinden";"51,00";"34,00";"41,00";"28,00";"28,00";"37,00";"32,00";"33,00"
"07135020";"Cochem, Stadt";"Gemeinden";"244,00";"177,00";"255,00";"188,00";"178,00";"174,00";"205,00";"221,00"
"07135021";"Dohr";"Gemeinden";"14,00";"10,00";"14,00";"13,00";"13,00";"6,00";"8,00";"9,00"
"07135022";"Dünfus";"Gemeinden";"9,00";"10,00";"10,00";"4,00";"5,00";"1,00";"2,00";"1,00"
"07135023";"Düngenheim";"Gemeinden";"29,00";"29,00";"35,00";"21,00";"22,00";"17,00";"18,00";"19,00"
"07135024";"Ediger-Eller";"Gemeinden";"22,00";"19,00";"31,00";"19,00";"14,00";"13,00";"16,00";"15,00"
"07135025";"Ellenz-Poltersdorf";"Gemeinden";"18,00";"18,00";"22,00";"9,00";"8,00";"10,00";"12,00";"17,00"
"07135026";"Eppenberg";"Gemeinden";"10,00";"5,00";"11,00";"8,00";"6,00";"4,00";"4,00";"11,00"
"07135027";"Ernst";"Gemeinden";"14,00";"13,00";"9,00";"11,00";"7,00";"4,00";"8,00";"5,00"
"07135028";"Eulgem";"Gemeinden";"5,00";"5,00";"5,00";"9,00";"7,00";"7,00";"4,00";"4,00"
"07135029";"Faid";"Gemeinden";"23,00";"28,00";"41,00";"19,00";"19,00";"12,00";"13,00";"12,00"
"07135030";"Filz";"Gemeinden";"1,00";"3,00";"4,00";"2,00";"2,00";"3,00";"2,00";"1,00"
"07135031";"Forst (Eifel)";"Gemeinden";"12,00";"10,00";"13,00";"7,00";"5,00";"6,00";"7,00";"9,00"
"07135032";"Forst (Hunsrück)";"Gemeinden";"1,00";"2,00";"0,00";"2,00";"1,00";"0,00";"0,00";"0,00"
"07135033";"Gamlen";"Gemeinden";"14,00";"16,00";"18,00";"10,00";"7,00";"8,00";"4,00";"7,00"
"07135034";"Gevenich";"Gemeinden";"20,00";"18,00";"21,00";"12,00";"15,00";"22,00";"22,00";"19,00"
"07135035";"Gillenbeuren";"Gemeinden";"5,00";"4,00";"7,00";"3,00";"3,00";"3,00";"2,00";"2,00"
"07135036";"Greimersburg";"Gemeinden";"14,00";"13,00";"15,00";"13,00";"11,00";"7,00";"9,00";"5,00"
"07135037";"Grenderich";"Gemeinden";"11,00";"9,00";"9,00";"8,00";"5,00";"2,00";"7,00";"7,00"
"07135038";"Hambuch";"Gemeinden";"16,00";"11,00";"21,00";"13,00";"10,00";"9,00";"12,00";"13,00"
"07135039";"Haserich";"Gemeinden";"8,00";"8,00";"8,00";"2,00";"5,00";"8,00";"7,00";"7,00"
"07135040";"Hauroth";"Gemeinden";"16,00";"11,00";"8,00";"12,00";"10,00";"6,00";"9,00";"6,00"
"07135041";"Hesweiler";"Gemeinden";"4,00";"3,00";"4,00";"1,00";"2,00";"3,00";"2,00";"3,00"
"07135042";"Illerich";"Gemeinden";"14,00";"17,00";"26,00";"14,00";"8,00";"11,00";"12,00";"15,00"
"07135043";"Kaifenheim";"Gemeinden";"16,00";"16,00";"27,00";"17,00";"17,00";"15,00";"10,00";"13,00"
"07135044";"Kail";"Gemeinden";"6,00";"6,00";"11,00";"8,00";"6,00";"5,00";"5,00";"5,00"
"07135045";"Kaisersesch, Stadt";"Gemeinden";"84,00";"98,00";"138,00";"93,00";"74,00";"81,00";"69,00";"66,00"
"07135046";"Kalenborn";"Gemeinden";"8,00";"4,00";"5,00";"5,00";"3,00";"2,00";"3,00";"5,00"
"07135048";"Kliding";"Gemeinden";"7,00";"8,00";"4,00";"3,00";"1,00";"2,00";"5,00";"6,00"
"07135049";"Klotten";"Gemeinden";"62,00";"47,00";"56,00";"41,00";"45,00";"34,00";"34,00";"31,00"
"07135051";"Landkern";"Gemeinden";"15,00";"17,00";"23,00";"19,00";"9,00";"16,00";"19,00";"17,00"
"07135052";"Laubach";"Gemeinden";"21,00";"18,00";"20,00";"16,00";"11,00";"12,00";"9,00";"17,00"
"07135053";"Lieg";"Gemeinden";"12,00";"12,00";"14,00";"10,00";"12,00";"7,00";"8,00";"7,00"
"07135054";"Liesenich";"Gemeinden";"9,00";"8,00";"19,00";"6,00";"7,00";"11,00";"9,00";"11,00"
"07135056";"Lütz";"Gemeinden";"14,00";"6,00";"11,00";"15,00";"19,00";"12,00";"13,00";"14,00"
"07135057";"Lutzerath";"Gemeinden";"31,00";"28,00";"37,00";"21,00";"19,00";"31,00";"26,00";"26,00"
"07135058";"Masburg";"Gemeinden";"37,00";"28,00";"45,00";"23,00";"28,00";"16,00";"27,00";"22,00"
"07135060";"Mesenich";"Gemeinden";"6,00";"6,00";"8,00";"6,00";"8,00";"5,00";"4,00";"6,00"
