Kennziffer;Raumeinheit;Aggregat;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose
;;;1998;2002;2005;2009;2013;2017;2021;2023
"01051053";"Hollingstedt";"Gemeinden";"10,00";"16,00";"21,00";"17,00";"8,00";"6,00";"13,00";"9,00"
"01051054";"Immenstedt";"Gemeinden";"4,00";"3,00";"4,00";"4,00";"1,00";"2,00";"2,00";"4,00"
"01051057";"Kaiser-Wilhelm-Koog";"Gemeinden";"10,00";"14,00";"23,00";"12,00";"8,00";"8,00";"8,00";"10,00"
"01051058";"Karolinenkoog";"Gemeinden";"8,00";"6,00";"5,00";"6,00";"4,00";"7,00";"5,00";"2,00"
"01051060";"Kleve";"Gemeinden";"15,00";"16,00";"22,00";"14,00";"9,00";"13,00";"10,00";"6,00"
"01051061";"Krempel";"Gemeinden";"32,00";"27,00";"45,00";"32,00";"29,00";"20,00";"21,00";"14,00"
"01051062";"Kronprinzenkoog";"Gemeinden";"37,00";"34,00";"46,00";"33,00";"27,00";"20,00";"20,00";"18,00"
"01051063";"Krumstedt";"Gemeinden";"14,00";"13,00";"19,00";"14,00";"13,00";"12,00";"3,00";"5,00"
"01051064";"Kuden";"Gemeinden";"29,00";"19,00";"36,00";"17,00";"15,00";"12,00";"10,00";"10,00"
"01051065";"Lehe";"Gemeinden";"30,00";"37,00";"69,00";"39,00";"31,00";"31,00";"24,00";"16,00"
"01051067";"Lieth";"Gemeinden";"16,00";"10,00";"20,00";"14,00";"10,00";"12,00";"6,00";"3,00"
"01051068";"Linden";"Gemeinden";"30,00";"29,00";"52,00";"27,00";"17,00";"22,00";"13,00";"12,00"
"01051069";"Lohe-Rickelshof";"Gemeinden";"65,00";"58,00";"82,00";"57,00";"43,00";"33,00";"35,00";"43,00"
"01051071";"Lunden";"Gemeinden";"136,00";"134,00";"194,00";"140,00";"115,00";"126,00";"113,00";"113,00"
"01051072";"Marne, Stadt";"Gemeinden";"287,00";"268,00";"375,00";"307,00";"227,00";"209,00";"188,00";"186,00"
"01051073";"Marnerdeich";"Gemeinden";"25,00";"16,00";"29,00";"22,00";"13,00";"19,00";"11,00";"7,00"
"01051074";"Meldorf, Stadt";"Gemeinden";"356,00";"367,00";"687,00";"322,00";"316,00";"277,00";"260,00";"284,00"
"01051075";"Neuenkirchen";"Gemeinden";"47,00";"44,00";"62,00";"31,00";"29,00";"27,00";"26,00";"22,00"
"01051076";"Neufeld";"Gemeinden";"27,00";"25,00";"27,00";"22,00";"13,00";"12,00";"14,00";"15,00"
"01051077";"Neufelderkoog";"Gemeinden";"2,00";"3,00";"6,00";"2,00";"3,00";"1,00";"0,00";"1,00"
"01051078";"Nindorf";"Gemeinden";"35,00";"34,00";"48,00";"28,00";"22,00";"22,00";"16,00";"22,00"
"01051079";"Norddeich";"Gemeinden";"23,00";"17,00";"27,00";"15,00";"19,00";"16,00";"10,00";"13,00"
"01051080";"Norderheistedt";"Gemeinden";"8,00";"6,00";"8,00";"7,00";"10,00";"6,00";"9,00";"7,00"
"01051081";"Norderwöhrden";"Gemeinden";"9,00";"6,00";"8,00";"7,00";"3,00";"2,00";"5,00";"4,00"
"01051082";"Nordhastedt";"Gemeinden";"106,00";"95,00";"144,00";"110,00";"71,00";"67,00";"71,00";"56,00"
"01051083";"Odderade";"Gemeinden";"16,00";"12,00";"22,00";"13,00";"12,00";"10,00";"9,00";"7,00"
"01051084";"Oesterdeichstrich";"Gemeinden";"11,00";"7,00";"19,00";"11,00";"9,00";"11,00";"3,00";"2,00"
"01051085";"Offenbüttel";"Gemeinden";"7,00";"9,00";"2,00";"6,00";"5,00";"7,00";"4,00";"6,00"
"01051086";"Osterrade";"Gemeinden";"21,00";"22,00";"18,00";"25,00";"13,00";"10,00";"8,00";"8,00"
"01051087";"Ostrohe";"Gemeinden";"29,00";"27,00";"33,00";"24,00";"19,00";"12,00";"14,00";"10,00"
"01051088";"Pahlen";"Gemeinden";"56,00";"49,00";"76,00";"59,00";"39,00";"32,00";"26,00";"33,00"
"01051089";"Quickborn";"Gemeinden";"9,00";"8,00";"8,00";"5,00";"4,00";"2,00";"3,00";"2,00"
"01051090";"Ramhusen";"Gemeinden";"7,00";"6,00";"6,00";"3,00";"4,00";"2,00";"4,00";"4,00"
"01051092";"Rehm-Flehde-Bargen";"Gemeinden";"27,00";"23,00";"41,00";"21,00";"18,00";"19,00";"15,00";"12,00"
"01051093";"Reinsbüttel";"Gemeinden";"14,00";"16,00";"17,00";"13,00";"8,00";"7,00";"8,00";"6,00"
"01051096";"Sankt Annen";"Gemeinden";"16,00";"16,00";"22,00";"12,00";"10,00";"7,00";"4,00";"4,00"
"01051097";"Sankt Michaelisdonn";"Gemeinden";"168,00";"149,00";"196,00";"127,00";"114,00";"107,00";"85,00";"91,00"
"01051098";"Sarzbüttel";"Gemeinden";"27,00";"30,00";"36,00";"14,00";"23,00";"14,00";"12,00";"13,00"
"01051099";"Schafstedt";"Gemeinden";"56,00";"49,00";"48,00";"31,00";"32,00";"22,00";"19,00";"23,00"
"01051100";"Schalkholz";"Gemeinden";"34,00";"33,00";"44,00";"22,00";"22,00";"16,00";"18,00";"13,00"
"01051102";"Schlichting";"Gemeinden";"8,00";"9,00";"12,00";"9,00";"16,00";"11,00";"10,00";"5,00"
"01051103";"Schmedeswurth";"Gemeinden";"5,00";"7,00";"9,00";"10,00";"4,00";"1,00";"3,00";"2,00"
"01051104";"Schrum";"Gemeinden";"3,00";"3,00";"2,00";"5,00";"2,00";"0,00";"0,00";"0,00"
"01051105";"Schülp";"Gemeinden";"18,00";"21,00";"28,00";"16,00";"18,00";"12,00";"9,00";"5,00"
"01051107";"Stelle-Wittenwurth";"Gemeinden";"20,00";"14,00";"23,00";"20,00";"13,00";"8,00";"11,00";"11,00"
"01051108";"Strübbel";"Gemeinden";"3,00";"2,00";"0,00";"3,00";"4,00";"5,00";"1,00";"3,00"
"01051109";"Süderdeich";"Gemeinden";"27,00";"22,00";"40,00";"24,00";"20,00";"20,00";"20,00";"15,00"
"01051110";"Süderhastedt";"Gemeinden";"31,00";"28,00";"35,00";"23,00";"21,00";"14,00";"16,00";"19,00"
"01051113";"Wöhrden";"Gemeinden";"50,00";"50,00";"74,00";"48,00";"34,00";"28,00";"26,00";"18,00"
"01051114";"Tellingstedt";"Gemeinden";"109,00";"126,00";"146,00";"101,00";"84,00";"78,00";"59,00";"57,00"
"01051117";"Tielenhemme";"Gemeinden";"6,00";"5,00";"10,00";"5,00";"3,00";"6,00";"3,00";"2,00"
"01051118";"Trennewurth";"Gemeinden";"10,00";"6,00";"16,00";"7,00";"3,00";"6,00";"4,00";"7,00"
"01051119";"Volsemenhusen";"Gemeinden";"11,00";"11,00";"13,00";"10,00";"5,00";"5,00";"6,00";"5,00"
"01051120";"Wallen";"Gemeinden";"6,00";"3,00";"7,00";"1,00";"1,00";"0,00";"1,00";"0,00"
"01051121";"Warwerort";"Gemeinden";"9,00";"10,00";"14,00";"10,00";"9,00";"7,00";"6,00";"5,00"
"01051122";"Weddingstedt";"Gemeinden";"82,00";"81,00";"104,00";"81,00";"55,00";"48,00";"43,00";"49,00"
"01051125";"Welmbüttel";"Gemeinden";"18,00";"18,00";"32,00";"22,00";"18,00";"19,00";"13,00";"13,00"
"01051126";"Wennbüttel";"Gemeinden";"3,00";"6,00";"0,00";"2,00";"0,00";"1,00";"2,00";"2,00"
