Kennziffer;Raumeinheit;Aggregat;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen
;;;2000;2002;2005;2009;2013;2017;2021;2022
"07337";"Südliche Weinstraße";"Kreise";"1.338,23";"1.386,90";"1.477,68";"1.617,65";"1.801,29";"1.949,16";"2.178,26";"2.284,66"
"07338";"Rhein-Pfalz-Kreis";"Kreise";"1.465,53";"1.514,44";"1.619,58";"1.780,07";"1.950,34";"2.125,97";"2.361,77";"2.511,10"
"07339";"Mainz-Bingen";"Kreise";"1.551,50";"1.639,44";"1.801,65";"1.937,51";"1.887,93";"2.056,04";"2.257,56";"2.480,02"
"07340";"Südwestpfalz";"Kreise";"1.256,20";"1.305,99";"1.416,12";"1.569,62";"1.674,64";"1.862,87";"2.052,01";"2.282,97"
"08111";"Stuttgart, Stadtkreis";"Kreise";"1.576,47";"1.632,65";"1.760,57";"1.777,60";"1.952,58";"2.130,80";"2.262,32";"2.503,19"
"08115";"Böblingen";"Kreise";"1.504,85";"1.562,17";"1.646,70";"1.701,94";"1.930,05";"2.078,98";"2.259,00";"2.386,99"
"08116";"Esslingen";"Kreise";"1.546,34";"1.603,31";"1.685,14";"1.722,18";"1.948,10";"2.101,73";"2.218,41";"2.340,13"
"08117";"Göppingen";"Kreise";"1.387,54";"1.453,75";"1.540,87";"1.604,74";"1.833,36";"1.975,99";"2.255,16";"2.410,22"
"08118";"Ludwigsburg";"Kreise";"1.560,26";"1.615,48";"1.695,93";"1.725,64";"1.949,65";"2.128,76";"2.242,89";"2.432,87"
"08119";"Rems-Murr-Kreis";"Kreise";"1.482,62";"1.547,71";"1.640,40";"1.705,65";"1.910,82";"2.067,03";"2.194,87";"2.274,19"
"08121";"Heilbronn, Stadtkreis";"Kreise";"1.427,24";"1.542,39";"1.978,82";"2.649,62";"2.768,87";"3.437,97";"1.963,25";"2.024,67"
"08125";"Heilbronn";"Kreise";"1.340,47";"1.411,69";"1.519,84";"1.637,03";"1.892,82";"2.048,84";"2.159,39";"2.313,31"
"08126";"Hohenlohekreis";"Kreise";"1.352,19";"1.428,74";"1.572,58";"1.638,16";"1.816,69";"2.029,07";"2.142,09";"2.241,99"
"08127";"Schwäbisch Hall";"Kreise";"1.235,78";"1.302,74";"1.389,23";"1.516,02";"1.766,78";"1.947,59";"2.107,82";"2.258,43"
"08128";"Main-Tauber-Kreis";"Kreise";"1.258,86";"1.302,31";"1.381,38";"1.494,61";"1.714,51";"1.893,43";"2.066,18";"2.200,21"
"08135";"Heidenheim";"Kreise";"1.306,24";"1.376,26";"1.469,04";"1.565,07";"1.740,92";"1.872,53";"2.036,18";"2.110,10"
"08136";"Ostalbkreis";"Kreise";"1.299,65";"1.372,97";"1.484,68";"1.594,80";"1.825,31";"1.999,93";"2.178,33";"2.308,22"
"08211";"Baden-Baden, Stadtkreis";"Kreise";"2.050,30";"1.941,60";"2.019,34";"2.110,98";"2.340,59";"2.378,52";"2.505,06";"2.657,54"
"08212";"Karlsruhe, Stadtkreis";"Kreise";"1.422,08";"1.487,80";"1.588,54";"1.603,36";"1.729,47";"1.837,54";"2.028,46";"2.182,23"
"08215";"Karlsruhe";"Kreise";"1.388,98";"1.457,65";"1.545,63";"1.620,53";"1.828,11";"1.984,37";"2.165,38";"2.257,90"
"08216";"Rastatt";"Kreise";"1.312,53";"1.395,80";"1.483,08";"1.551,82";"1.767,65";"1.929,88";"2.072,37";"2.196,48"
"08221";"Heidelberg, Stadtkreis";"Kreise";"1.525,88";"1.552,32";"1.672,78";"1.720,94";"1.961,18";"1.923,81";"2.048,77";"2.269,39"
"08222";"Mannheim, Stadtkreis";"Kreise";"1.208,09";"1.286,16";"1.370,97";"1.405,41";"1.621,21";"1.792,05";"1.953,43";"2.088,75"
"08225";"Neckar-Odenwald-Kreis";"Kreise";"1.180,02";"1.254,66";"1.323,73";"1.429,94";"1.677,77";"1.831,34";"2.014,17";"2.098,73"
"08226";"Rhein-Neckar-Kreis";"Kreise";"1.429,64";"1.492,96";"1.586,55";"1.670,93";"1.879,28";"2.036,22";"2.258,55";"2.357,52"
"08231";"Pforzheim, Stadtkreis";"Kreise";"1.534,14";"1.561,78";"1.558,72";"1.581,33";"1.783,94";"1.866,13";"1.888,72";"1.884,09"
"08235";"Calw";"Kreise";"1.361,53";"1.414,95";"1.486,32";"1.576,46";"1.802,37";"1.954,92";"2.099,57";"2.217,75"
"08236";"Enzkreis";"Kreise";"1.462,77";"1.538,55";"1.634,34";"1.717,36";"1.917,20";"2.126,43";"2.213,74";"2.354,98"
"08237";"Freudenstadt";"Kreise";"1.350,68";"1.422,47";"1.531,46";"1.616,31";"1.794,40";"2.026,23";"2.137,47";"2.224,71"
"08311";"Freiburg im Breisgau, Stadtkreis";"Kreise";"1.251,74";"1.299,54";"1.382,48";"1.429,04";"1.637,60";"1.815,86";"1.976,77";"2.098,61"
"08315";"Breisgau-Hochschwarzwald";"Kreise";"1.341,25";"1.415,59";"1.537,44";"1.622,78";"1.854,05";"2.023,71";"2.194,32";"2.296,14"
"08316";"Emmendingen";"Kreise";"1.292,09";"1.368,23";"1.442,43";"1.527,29";"1.745,85";"1.920,37";"2.114,33";"2.241,47"
"08317";"Ortenaukreis";"Kreise";"1.318,12";"1.375,01";"1.489,85";"1.543,22";"1.755,89";"1.926,19";"2.098,90";"2.200,33"
"08325";"Rottweil";"Kreise";"1.363,29";"1.450,84";"1.555,72";"1.622,69";"1.878,83";"2.065,65";"2.192,48";"2.324,40"
"08326";"Schwarzwald-Baar-Kreis";"Kreise";"1.404,60";"1.455,43";"1.579,24";"1.667,70";"1.840,52";"2.038,05";"2.095,42";"2.232,48"
"08327";"Tuttlingen";"Kreise";"1.415,06";"1.497,79";"1.618,16";"1.711,63";"1.932,42";"2.141,11";"2.229,69";"2.360,45"
"08335";"Konstanz";"Kreise";"1.289,52";"1.363,46";"1.470,65";"1.559,44";"1.834,86";"2.052,36";"2.186,90";"2.311,89"
"08336";"Lörrach";"Kreise";"1.322,59";"1.402,35";"1.494,77";"1.637,72";"1.954,60";"2.197,79";"2.348,78";"2.410,80"
"08337";"Waldshut";"Kreise";"1.304,99";"1.375,84";"1.430,59";"1.549,73";"1.858,73";"2.035,36";"2.183,24";"2.307,62"
"08415";"Reutlingen";"Kreise";"1.413,62";"1.495,24";"1.586,86";"1.648,40";"1.856,84";"2.026,07";"2.147,42";"2.262,03"
"08416";"Tübingen";"Kreise";"1.297,49";"1.365,63";"1.477,65";"1.513,39";"1.747,63";"1.932,28";"2.084,26";"2.207,65"
"08417";"Zollernalbkreis";"Kreise";"1.477,86";"1.509,61";"1.575,10";"1.694,23";"1.922,04";"2.089,41";"2.219,54";"2.331,88"
"08421";"Ulm, Stadtkreis";"Kreise";"1.458,32";"1.534,25";"1.694,26";"1.758,71";"2.044,21";"2.310,12";"2.335,41";"2.518,15"
"08425";"Alb-Donau-Kreis";"Kreise";"1.382,57";"1.420,25";"1.463,89";"1.560,34";"1.775,23";"1.941,12";"2.111,09";"2.235,50"
"08426";"Biberach";"Kreise";"1.283,73";"1.355,54";"1.430,06";"1.555,56";"1.792,18";"1.984,49";"2.159,66";"2.271,70"
"08435";"Bodenseekreis";"Kreise";"1.375,23";"1.457,82";"1.592,65";"1.692,59";"1.985,23";"2.159,91";"2.319,54";"2.466,30"
"08436";"Ravensburg";"Kreise";"1.311,01";"1.382,01";"1.489,55";"1.569,23";"1.788,43";"1.974,09";"2.162,99";"2.311,33"
"08437";"Sigmaringen";"Kreise";"1.179,14";"1.249,11";"1.361,63";"1.481,65";"1.695,15";"1.880,31";"2.039,59";"2.149,00"
"09161";"Ingolstadt";"Kreise";"1.347,43";"1.407,44";"1.491,94";"1.580,07";"1.826,07";"1.944,35";"2.103,96";"2.214,64"
"09162";"München, Landeshauptstadt";"Kreise";"1.857,36";"1.906,62";"2.009,63";"1.976,24";"2.165,94";"2.533,13";"2.798,93";"2.974,61"
"09163";"Rosenheim, Stadt";"Kreise";"1.426,98";"1.508,51";"1.738,81";"1.668,85";"1.793,36";"1.875,45";"2.039,06";"2.158,10"
"09171";"Altötting";"Kreise";"1.254,66";"1.319,73";"1.444,47";"1.568,12";"1.781,04";"1.910,38";"2.090,03";"2.232,52"
"09172";"Berchtesgadener Land";"Kreise";"1.320,90";"1.362,79";"1.423,07";"1.524,64";"1.757,39";"1.906,70";"2.080,86";"2.288,31"
"09173";"Bad Tölz-Wolfratshausen";"Kreise";"1.652,99";"1.684,19";"1.758,38";"1.828,04";"2.066,87";"2.163,97";"2.353,12";"2.504,40"
"09174";"Dachau";"Kreise";"1.519,73";"1.594,39";"1.665,47";"1.730,58";"1.912,66";"2.093,17";"2.299,93";"2.534,70"
"09175";"Ebersberg";"Kreise";"1.704,11";"1.748,22";"1.841,32";"1.882,61";"2.098,63";"2.273,50";"2.462,48";"2.678,57"
"09176";"Eichstätt";"Kreise";"1.279,67";"1.332,28";"1.440,87";"1.563,07";"1.865,35";"1.974,03";"2.160,71";"2.302,94"
"09177";"Erding";"Kreise";"1.358,97";"1.447,80";"1.550,38";"1.638,40";"1.890,01";"2.068,74";"2.239,69";"2.438,57"
"09178";"Freising";"Kreise";"1.441,67";"1.495,79";"1.564,42";"1.617,20";"1.829,56";"1.984,22";"2.174,70";"2.322,33"
"09179";"Fürstenfeldbruck";"Kreise";"1.615,61";"1.659,74";"1.741,95";"1.801,30";"1.996,18";"2.135,22";"2.376,39";"2.565,29"
"09180";"Garmisch-Partenkirchen";"Kreise";"1.431,26";"1.476,14";"1.587,70";"1.711,94";"1.863,67";"2.074,84";"2.263,61";"2.409,53"
"09181";"Landsberg am Lech";"Kreise";"1.580,21";"1.553,23";"1.597,82";"1.686,22";"1.915,76";"2.141,54";"2.304,85";"2.516,54"
"09182";"Miesbach";"Kreise";"1.750,51";"1.756,12";"1.898,41";"1.976,25";"2.309,18";"2.797,90";"2.981,70";"3.355,23"
"09183";"Mühldorf a.Inn";"Kreise";"1.323,24";"1.365,91";"1.471,55";"1.565,23";"1.813,68";"1.942,85";"2.117,50";"2.238,90"
"09184";"München";"Kreise";"1.951,55";"1.989,26";"2.144,23";"2.195,64";"2.400,78";"2.541,30";"2.814,41";"3.010,06"
"09185";"Neuburg-Schrobenhausen";"Kreise";"1.266,78";"1.332,53";"1.440,29";"1.540,58";"1.758,54";"1.958,99";"2.103,27";"2.282,35"
"09186";"Pfaffenhofen a.d.Ilm";"Kreise";"1.382,56";"1.474,62";"1.569,48";"1.680,76";"1.903,31";"2.122,22";"2.251,78";"2.445,52"
"09187";"Rosenheim";"Kreise";"1.413,00";"1.461,85";"1.648,95";"1.739,17";"1.928,24";"2.084,13";"2.298,72";"2.558,25"
"09188";"Starnberg";"Kreise";"2.366,47";"2.305,64";"2.444,15";"2.509,97";"2.740,54";"3.033,03";"3.145,90";"3.332,92"
"09189";"Traunstein";"Kreise";"1.321,78";"1.395,12";"1.492,57";"1.612,84";"1.854,42";"2.034,63";"2.203,78";"2.486,38"
"09190";"Weilheim-Schongau";"Kreise";"1.387,81";"1.442,22";"1.572,97";"1.670,46";"1.848,62";"2.089,69";"2.250,98";"2.418,59"
"09261";"Landshut, Stadt";"Kreise";"1.532,44";"1.550,48";"1.628,27";"1.698,28";"2.041,25";"2.054,61";"2.239,17";"2.545,85"
"09262";"Passau, Stadt";"Kreise";"1.331,62";"1.402,65";"1.458,94";"1.441,10";"1.652,23";"1.757,67";"1.884,60";"2.020,11"
"09263";"Straubing";"Kreise";"1.343,82";"1.407,61";"1.537,90";"1.585,96";"1.706,96";"1.970,56";"1.978,15";"2.149,00"
"09271";"Deggendorf";"Kreise";"1.188,52";"1.243,94";"1.343,27";"1.454,94";"1.672,28";"1.935,59";"2.107,44";"2.283,20"
"09272";"Freyung-Grafenau";"Kreise";"1.061,02";"1.120,22";"1.216,14";"1.321,49";"1.543,33";"1.757,13";"1.942,52";"2.102,90"
"09273";"Kelheim";"Kreise";"1.260,66";"1.328,22";"1.451,09";"1.562,27";"1.763,10";"1.924,14";"2.118,15";"2.279,74"
"09274";"Landshut";"Kreise";"1.241,86";"1.316,53";"1.449,47";"1.587,46";"1.821,02";"1.987,96";"2.145,71";"2.358,15"
"09275";"Passau";"Kreise";"1.148,56";"1.201,39";"1.314,80";"1.417,29";"1.636,47";"1.821,02";"1.980,97";"2.151,39"
"09276";"Regen";"Kreise";"1.080,73";"1.144,91";"1.228,94";"1.345,16";"1.578,38";"1.755,58";"1.981,72";"2.123,84"
"09277";"Rottal-Inn";"Kreise";"1.201,47";"1.255,38";"1.383,97";"1.490,67";"1.709,26";"1.912,10";"2.101,02";"2.328,74"
"09278";"Straubing-Bogen";"Kreise";"1.144,03";"1.203,94";"1.336,26";"1.437,60";"1.694,95";"1.935,91";"2.076,08";"2.241,25"
"09279";"Dingolfing-Landau";"Kreise";"1.267,74";"1.326,26";"1.435,48";"1.542,96";"1.799,18";"1.989,12";"2.127,79";"2.263,24"
"09361";"Amberg";"Kreise";"1.310,11";"1.333,82";"1.434,15";"1.516,88";"1.695,44";"1.821,40";"1.962,29";"2.059,98"
"09362";"Regensburg, Stadt";"Kreise";"1.474,66";"1.515,94";"1.573,18";"1.610,98";"1.730,23";"1.856,18";"2.094,36";"2.299,26"
"09363";"Weiden i.d.OPf.";"Kreise";"1.389,78";"1.434,16";"1.453,03";"1.488,36";"1.633,66";"1.780,44";"1.993,50";"2.120,31"
"09371";"Amberg-Sulzbach";"Kreise";"1.128,86";"1.202,61";"1.297,99";"1.394,99";"1.662,62";"1.869,00";"2.069,26";"2.215,54"
"09372";"Cham";"Kreise";"1.112,09";"1.167,56";"1.276,19";"1.401,49";"1.625,85";"1.834,67";"2.066,10";"2.256,85"
"09373";"Neumarkt i.d.OPf.";"Kreise";"1.267,41";"1.342,54";"1.426,77";"1.526,58";"1.776,88";"1.991,54";"2.156,05";"2.310,71"
"09374";"Neustadt a.d.Waldnaab";"Kreise";"1.243,96";"1.290,92";"1.333,30";"1.383,24";"1.598,15";"1.796,71";"1.988,40";"2.115,44"
"09375";"Regensburg";"Kreise";"1.293,16";"1.389,99";"1.464,09";"1.556,34";"1.780,80";"1.980,58";"2.159,37";"2.359,99"
"09376";"Schwandorf";"Kreise";"1.184,03";"1.235,59";"1.324,67";"1.430,50";"1.655,61";"1.806,70";"2.006,44";"2.170,77"
"09377";"Tirschenreuth";"Kreise";"1.149,51";"1.194,89";"1.281,29";"1.422,33";"1.611,89";"1.833,76";"2.042,90";"2.176,36"
"09461";"Bamberg, Stadt";"Kreise";"1.421,71";"1.424,98";"1.475,85";"1.536,20";"1.665,98";"1.800,52";"1.978,13";"2.187,63"
"09462";"Bayreuth, Stadt";"Kreise";"1.300,38";"1.363,97";"1.491,50";"1.560,69";"1.656,13";"1.714,80";"1.910,82";"2.052,37"
"09463";"Coburg, Stadt";"Kreise";"1.464,93";"1.516,17";"1.660,02";"1.743,51";"1.899,34";"2.026,79";"2.236,97";"2.392,74"
"09464";"Hof, Stadt";"Kreise";"1.255,62";"1.297,14";"1.360,73";"1.431,32";"1.586,36";"1.652,99";"1.851,85";"1.908,27"
"09471";"Bamberg";"Kreise";"1.194,65";"1.272,48";"1.380,53";"1.525,54";"1.733,50";"1.864,89";"2.068,86";"2.228,21"
"09472";"Bayreuth";"Kreise";"1.173,99";"1.243,43";"1.343,35";"1.479,49";"1.640,79";"1.837,23";"2.054,22";"2.213,34"
"09473";"Coburg";"Kreise";"1.438,61";"1.449,19";"1.555,13";"1.712,71";"2.045,24";"2.084,94";"2.193,70";"2.406,84"
"09474";"Forchheim";"Kreise";"1.353,90";"1.432,42";"1.484,04";"1.593,70";"1.806,53";"1.987,40";"2.193,89";"2.374,64"
"09475";"Hof";"Kreise";"1.429,02";"1.445,73";"1.439,63";"1.482,11";"1.651,57";"1.806,47";"1.988,95";"2.140,51"
"09476";"Kronach";"Kreise";"1.329,25";"1.403,19";"1.560,50";"1.678,49";"1.707,06";"1.868,68";"2.070,47";"2.245,73"
"09477";"Kulmbach";"Kreise";"1.326,08";"1.380,95";"1.433,04";"1.514,90";"1.748,09";"1.914,87";"2.106,41";"2.247,58"
"09478";"Lichtenfels";"Kreise";"1.283,05";"1.316,61";"1.368,66";"1.480,80";"1.646,00";"1.883,80";"2.010,84";"2.127,38"
"09479";"Wunsiedel i.Fichtelgebirge";"Kreise";"1.231,39";"1.285,35";"1.381,42";"1.529,30";"1.719,44";"1.857,45";"2.189,24";"2.372,36"
"09561";"Ansbach, Stadt";"Kreise";"1.445,99";"1.460,27";"1.480,40";"1.487,87";"1.652,55";"1.771,41";"1.924,33";"2.129,42"
"09562";"Erlangen";"Kreise";"1.525,10";"1.589,58";"1.629,87";"1.696,93";"1.929,04";"2.042,99";"2.187,15";"2.297,01"
"09563";"Fürth, Stadt";"Kreise";"1.524,33";"1.640,37";"1.754,27";"1.758,18";"1.899,85";"1.956,17";"2.030,16";"2.117,98"
"09564";"Nürnberg";"Kreise";"1.444,94";"1.477,78";"1.517,97";"1.579,16";"1.716,00";"1.844,54";"1.992,20";"2.046,90"
"09565";"Schwabach";"Kreise";"1.522,45";"1.574,15";"1.617,66";"1.740,47";"1.956,99";"2.136,94";"2.306,68";"2.495,31"
"09571";"Ansbach";"Kreise";"1.195,87";"1.263,76";"1.355,44";"1.517,48";"1.742,62";"1.952,55";"2.107,81";"2.284,57"
"09572";"Erlangen-Höchstadt";"Kreise";"1.562,91";"1.600,12";"1.820,62";"1.822,92";"1.960,56";"2.133,69";"2.392,30";"2.581,77"
"09573";"Fürth";"Kreise";"1.500,80";"1.552,15";"1.642,51";"1.706,50";"1.890,78";"2.097,28";"2.268,83";"2.457,82"
"09574";"Nürnberger Land";"Kreise";"1.565,88";"1.614,56";"1.713,09";"1.798,10";"1.957,66";"2.101,90";"2.266,06";"2.456,30"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Kreise";"1.213,34";"1.293,18";"1.382,60";"1.505,23";"1.713,92";"1.900,71";"2.055,33";"2.252,09"
"09576";"Roth";"Kreise";"1.362,00";"1.435,40";"1.507,45";"1.626,47";"1.824,26";"2.024,86";"2.216,86";"2.383,96"
"09577";"Weißenburg-Gunzenhausen";"Kreise";"1.267,85";"1.327,36";"1.382,24";"1.506,07";"1.738,90";"1.873,46";"2.013,98";"2.188,79"
"09661";"Aschaffenburg, Stadt";"Kreise";"1.415,21";"1.476,70";"1.626,74";"1.676,87";"1.857,35";"2.049,41";"2.101,30";"2.209,65"
"09662";"Schweinfurt, Stadt";"Kreise";"1.328,73";"1.381,91";"1.367,63";"1.448,50";"1.615,87";"1.727,13";"1.927,34";"2.040,63"
"09663";"Würzburg, Stadt";"Kreise";"1.397,13";"1.422,83";"1.524,37";"1.606,82";"1.848,76";"2.071,57";"2.058,37";"2.100,25"
"09671";"Aschaffenburg";"Kreise";"1.420,14";"1.485,84";"1.580,17";"1.667,87";"1.845,40";"1.994,97";"2.173,34";"2.372,75"
"09672";"Bad Kissingen";"Kreise";"1.215,98";"1.286,84";"1.371,49";"1.472,00";"1.692,41";"1.869,88";"2.095,61";"2.258,06"
"09673";"Rhön-Grabfeld";"Kreise";"1.177,55";"1.238,76";"1.327,08";"1.427,53";"1.652,49";"1.865,73";"2.066,13";"2.224,56"
"09674";"Haßberge";"Kreise";"1.183,86";"1.225,01";"1.309,37";"1.407,13";"1.609,77";"1.810,50";"2.016,99";"2.190,23"
"09675";"Kitzingen";"Kreise";"1.263,88";"1.368,30";"1.519,75";"1.544,31";"1.747,96";"1.935,44";"2.116,67";"2.328,42"
"09676";"Miltenberg";"Kreise";"1.332,39";"1.391,90";"1.469,62";"1.563,48";"1.715,60";"1.909,84";"2.081,68";"2.265,62"
"09677";"Main-Spessart";"Kreise";"1.297,37";"1.356,28";"1.420,12";"1.524,49";"1.726,61";"1.923,11";"2.106,60";"2.263,99"
"09678";"Schweinfurt";"Kreise";"1.234,21";"1.303,55";"1.358,72";"1.500,01";"1.691,07";"1.878,45";"2.036,67";"2.202,70"
"09679";"Würzburg";"Kreise";"1.262,87";"1.338,33";"1.439,95";"1.545,61";"1.759,83";"1.944,54";"2.126,49";"2.324,88"
"09761";"Augsburg, Stadt";"Kreise";"1.305,79";"1.335,55";"1.373,83";"1.422,88";"1.548,16";"1.656,29";"1.834,40";"1.935,22"
"09762";"Kaufbeuren";"Kreise";"1.390,07";"1.431,02";"1.514,19";"1.583,34";"1.744,46";"1.907,30";"2.008,27";"2.120,93"
"09763";"Kempten (Allgäu)";"Kreise";"1.458,17";"1.521,21";"1.608,11";"1.657,34";"1.747,85";"1.828,75";"2.010,23";"2.262,57"
"09764";"Memmingen";"Kreise";"1.453,69";"1.545,47";"1.684,51";"1.769,06";"2.018,22";"2.275,87";"2.188,98";"2.413,55"
"09771";"Aichach-Friedberg";"Kreise";"1.485,55";"1.531,04";"1.602,21";"1.689,74";"1.921,06";"2.149,58";"2.368,09";"2.568,72"
"09772";"Augsburg";"Kreise";"1.450,85";"1.483,61";"1.568,38";"1.668,43";"1.873,84";"2.085,00";"2.218,60";"2.369,13"
"09773";"Dillingen a.d.Donau";"Kreise";"1.319,89";"1.408,72";"1.513,17";"1.593,57";"1.799,48";"2.008,04";"2.162,30";"2.358,11"
"09774";"Günzburg";"Kreise";"1.281,05";"1.360,94";"1.476,34";"1.670,01";"1.818,98";"1.998,05";"2.221,41";"2.417,52"
"09775";"Neu-Ulm";"Kreise";"1.357,91";"1.434,90";"1.548,90";"1.644,79";"1.810,71";"1.998,65";"2.155,49";"2.264,83"
"09776";"Lindau (Bodensee)";"Kreise";"1.378,55";"1.437,25";"1.570,93";"1.646,72";"1.913,50";"2.151,94";"2.228,70";"2.405,31"
"09777";"Ostallgäu";"Kreise";"1.260,90";"1.335,39";"1.460,04";"1.585,79";"1.823,04";"1.982,34";"2.147,34";"2.382,45"
"09778";"Unterallgäu";"Kreise";"1.347,67";"1.402,85";"1.569,36";"1.685,26";"1.927,92";"2.053,56";"2.219,58";"2.490,99"
"09779";"Donau-Ries";"Kreise";"1.284,25";"1.368,85";"1.532,33";"1.641,01";"1.848,17";"2.019,11";"2.320,14";"2.549,18"
"09780";"Oberallgäu";"Kreise";"1.315,26";"1.384,19";"1.494,55";"1.633,06";"1.834,13";"2.037,27";"2.215,02";"2.467,18"
"10041";"Regionalverband Saarbrücken";"Kreise";"1.186,21";"1.233,66";"1.336,69";"1.391,16";"1.499,82";"1.629,08";"1.800,21";"1.874,04"
"10042";"Merzig-Wadern";"Kreise";"1.154,06";"1.224,73";"1.323,50";"1.281,60";"1.421,60";"1.575,86";"1.722,87";"1.727,35"
"10043";"Neunkirchen";"Kreise";"1.170,88";"1.234,36";"1.305,61";"1.386,47";"1.525,24";"1.672,31";"1.863,26";"1.923,24"
"10044";"Saarlouis";"Kreise";"1.173,34";"1.223,00";"1.309,13";"1.384,58";"1.579,10";"1.736,21";"1.928,94";"1.927,86"
"10045";"Saarpfalz-Kreis";"Kreise";"1.260,95";"1.316,11";"1.422,64";"1.514,62";"1.706,59";"1.924,34";"2.093,59";"2.161,62"
"10046";"St. Wendel";"Kreise";"1.438,40";"1.562,23";"1.720,91";"1.799,69";"1.921,66";"1.797,46";"2.064,44";"2.149,88"
"11000";"Berlin, Stadt";"Kreise";"1.232,53";"1.244,25";"1.281,55";"1.373,46";"1.512,75";"1.687,11";"1.888,12";"2.041,89"
"12051";"Brandenburg an der Havel, Stadt";"Kreise";"1.062,76";"1.120,97";"1.151,38";"1.261,40";"1.356,87";"1.529,34";"1.716,61";"1.757,38"
"12052";"Cottbus, Stadt";"Kreise";"1.085,26";"1.161,15";"1.203,60";"1.314,43";"1.439,03";"1.550,49";"1.795,15";"1.963,03"
"12053";"Frankfurt (Oder), Stadt";"Kreise";"1.025,72";"1.087,16";"1.136,08";"1.236,29";"1.327,89";"1.481,39";"1.698,13";"1.780,40"
"12054";"Potsdam, Stadt";"Kreise";"1.135,54";"1.216,83";"1.309,48";"1.438,29";"1.538,75";"1.791,67";"1.915,98";"2.016,21"
"12060";"Barnim";"Kreise";"1.121,43";"1.199,38";"1.253,01";"1.394,65";"1.533,36";"1.708,77";"1.933,74";"2.024,78"
"12061";"Dahme-Spreewald";"Kreise";"1.188,25";"1.256,80";"1.305,39";"1.446,69";"1.560,89";"1.759,82";"1.941,34";"2.069,82"
"12062";"Elbe-Elster";"Kreise";"1.027,52";"1.086,98";"1.149,24";"1.267,90";"1.399,72";"1.571,65";"1.790,14";"1.907,11"
"12063";"Havelland";"Kreise";"1.127,82";"1.181,80";"1.241,58";"1.398,95";"1.520,09";"1.704,47";"1.915,63";"2.002,09"
"12064";"Märkisch-Oderland";"Kreise";"1.121,25";"1.182,75";"1.234,64";"1.361,96";"1.500,13";"1.705,12";"1.925,57";"2.060,59"
"12065";"Oberhavel";"Kreise";"1.162,53";"1.242,92";"1.294,00";"1.413,87";"1.541,02";"1.753,87";"1.981,08";"2.093,21"
"12066";"Oberspreewald-Lausitz";"Kreise";"1.042,38";"1.115,34";"1.169,78";"1.290,77";"1.432,67";"1.620,62";"1.854,57";"1.918,23"
"12067";"Oder-Spree";"Kreise";"1.059,64";"1.130,15";"1.220,45";"1.347,21";"1.497,93";"1.686,43";"1.913,64";"2.018,42"
"12068";"Ostprignitz-Ruppin";"Kreise";"1.013,81";"1.072,29";"1.132,69";"1.254,69";"1.394,92";"1.582,05";"1.794,66";"1.907,37"
"12069";"Potsdam-Mittelmark";"Kreise";"1.209,03";"1.268,32";"1.380,49";"1.542,74";"1.677,82";"1.902,28";"2.105,52";"2.252,35"
"12070";"Prignitz";"Kreise";"1.012,49";"1.077,93";"1.165,88";"1.283,38";"1.430,55";"1.594,99";"1.813,07";"1.918,98"
"12071";"Spree-Neiße";"Kreise";"1.049,31";"1.107,98";"1.185,23";"1.320,28";"1.462,80";"1.661,35";"1.908,79";"2.041,50"
"12072";"Teltow-Fläming";"Kreise";"1.109,19";"1.188,40";"1.304,47";"1.436,73";"1.532,64";"1.690,29";"1.905,96";"1.995,75"
"12073";"Uckermark";"Kreise";"994,96";"1.053,03";"1.095,43";"1.211,32";"1.366,65";"1.520,07";"1.766,10";"1.861,72"
"13003";"Rostock";"Kreise";"1.074,46";"1.143,78";"1.167,38";"1.274,21";"1.363,07";"1.536,55";"1.752,15";"1.882,71"
"13004";"Schwerin";"Kreise";"1.107,57";"1.180,23";"1.208,35";"1.302,49";"1.446,90";"1.590,66";"1.812,38";"1.864,84"
"13071";"Mecklenburgische Seenplatte";"Kreise";"1.013,51";"1.099,51";"1.169,67";"1.260,19";"1.386,15";"1.574,76";"1.828,14";"2.047,12"
"13072";"Landkreis Rostock";"Kreise";"1.016,66";"1.102,56";"1.176,71";"1.320,69";"1.482,54";"1.672,36";"1.931,67";"2.095,04"
"13073";"Vorpommern-Rügen";"Kreise";"1.007,84";"1.081,79";"1.138,60";"1.264,58";"1.393,75";"1.600,38";"1.822,73";"2.051,70"
"13074";"Nordwestmecklenburg";"Kreise";"1.023,62";"1.101,06";"1.156,69";"1.274,08";"1.427,18";"1.620,26";"1.835,75";"1.997,52"
"13075";"Vorpommern-Greifswald";"Kreise";"985,78";"1.055,79";"1.099,35";"1.209,16";"1.319,21";"1.514,20";"1.741,96";"1.945,53"
"13076";"Ludwigslust-Parchim";"Kreise";"1.049,20";"1.137,18";"1.212,85";"1.343,63";"1.491,14";"1.671,02";"1.909,26";"2.108,80"
"14511";"Chemnitz, Stadt";"Kreise";"1.155,46";"1.234,94";"1.286,89";"1.410,99";"1.526,31";"1.644,66";"1.831,07";"1.932,23"
