Kennziffer;Raumeinheit;Aggregat;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen
;;;2000;2002;2005;2009;2013;2017;2021;2022
"03357";"Rotenburg (Wümme)";"Kreise";"1.207,01";"1.248,08";"1.336,70";"1.453,93";"1.673,25";"1.853,79";"2.028,20";"2.205,73"
"03358";"Heidekreis";"Kreise";"1.185,54";"1.230,23";"1.293,40";"1.390,36";"1.579,22";"1.735,55";"1.866,80";"1.980,70"
"03359";"Stade";"Kreise";"1.308,74";"1.359,35";"1.439,61";"1.541,60";"1.706,90";"1.879,20";"2.044,95";"2.192,49"
"03360";"Uelzen";"Kreise";"1.176,47";"1.217,70";"1.280,27";"1.396,70";"1.610,23";"1.727,05";"1.917,05";"2.099,64"
"03361";"Verden";"Kreise";"1.358,70";"1.411,88";"1.503,08";"1.636,45";"1.786,30";"1.916,34";"2.065,24";"2.230,79"
"03401";"Delmenhorst, Stadt";"Kreise";"1.239,90";"1.281,63";"1.322,14";"1.388,56";"1.474,63";"1.568,98";"1.705,59";"1.708,13"
"03402";"Emden, Stadt";"Kreise";"1.140,31";"1.184,20";"1.239,63";"1.310,66";"1.432,61";"1.523,28";"1.671,75";"1.754,45"
"03403";"Oldenburg (Oldenburg), Stadt";"Kreise";"1.174,60";"1.218,47";"1.304,03";"1.393,15";"1.495,63";"1.638,87";"1.819,24";"1.883,03"
"03404";"Osnabrück, Stadt";"Kreise";"1.220,43";"1.271,98";"1.361,13";"1.441,78";"1.636,19";"1.731,05";"1.880,02";"1.993,06"
"03405";"Wilhelmshaven, Stadt";"Kreise";"1.098,21";"1.138,21";"1.182,33";"1.240,16";"1.388,03";"1.503,98";"1.653,79";"1.704,48"
"03451";"Ammerland";"Kreise";"1.218,95";"1.276,30";"1.374,40";"1.500,20";"1.658,63";"1.826,11";"1.983,87";"2.138,95"
"03452";"Aurich";"Kreise";"1.089,87";"1.122,49";"1.181,99";"1.313,65";"1.487,48";"1.677,80";"1.855,00";"2.012,77"
"03453";"Cloppenburg";"Kreise";"1.104,28";"1.157,86";"1.234,60";"1.360,52";"1.553,51";"1.759,33";"1.865,14";"2.037,31"
"03454";"Emsland";"Kreise";"1.100,88";"1.143,59";"1.230,80";"1.372,45";"1.570,22";"1.780,22";"1.946,82";"2.129,96"
"03455";"Friesland";"Kreise";"1.151,13";"1.183,83";"1.239,95";"1.351,35";"1.558,69";"1.730,19";"1.911,96";"2.015,33"
"03456";"Grafschaft Bentheim";"Kreise";"1.144,26";"1.153,69";"1.202,09";"1.303,03";"1.499,04";"1.678,78";"1.863,83";"1.961,68"
"03457";"Leer";"Kreise";"1.065,73";"1.100,19";"1.180,63";"1.284,11";"1.418,72";"1.604,95";"1.773,61";"1.942,24"
"03458";"Oldenburg";"Kreise";"1.214,69";"1.269,57";"1.364,01";"1.498,82";"1.726,78";"1.906,41";"2.061,67";"2.247,78"
"03459";"Osnabrück";"Kreise";"1.242,15";"1.303,81";"1.395,18";"1.498,95";"1.692,01";"1.872,82";"2.020,34";"2.207,84"
"03460";"Vechta";"Kreise";"1.233,18";"1.293,15";"1.418,11";"1.520,68";"1.706,67";"1.899,48";"2.013,88";"2.200,95"
"03461";"Wesermarsch";"Kreise";"1.188,25";"1.226,58";"1.307,02";"1.426,66";"1.614,15";"1.774,84";"1.947,80";"2.062,18"
"03462";"Wittmund";"Kreise";"1.086,89";"1.126,13";"1.227,79";"1.339,63";"1.548,19";"1.748,72";"1.899,07";"2.127,30"
"04011";"Bremen, Stadt";"Kreise";"1.350,92";"1.411,22";"1.490,80";"1.569,02";"1.661,60";"1.787,81";"1.937,66";"2.009,20"
"04012";"Bremerhaven, Stadt";"Kreise";"1.223,67";"1.141,14";"1.203,71";"1.298,08";"1.415,45";"1.462,13";"1.615,84";"1.608,44"
"05111";"Düsseldorf, Stadt";"Kreise";"1.617,20";"1.648,99";"1.752,28";"1.769,37";"1.942,39";"2.136,67";"2.334,50";"2.485,53"
"05112";"Duisburg, Stadt";"Kreise";"1.112,12";"1.156,08";"1.188,37";"1.224,01";"1.309,68";"1.386,62";"1.563,12";"1.600,81"
"05113";"Essen, Stadt";"Kreise";"1.359,58";"1.394,58";"1.429,18";"1.461,54";"1.558,27";"1.654,05";"1.878,49";"1.992,01"
"05114";"Krefeld, Stadt";"Kreise";"1.303,64";"1.332,65";"1.399,50";"1.436,92";"1.613,47";"1.747,93";"1.903,50";"1.970,02"
"05116";"Mönchengladbach, Stadt";"Kreise";"1.346,40";"1.374,35";"1.434,89";"1.468,58";"1.568,28";"1.686,73";"1.878,40";"1.940,19"
"05117";"Mülheim an der Ruhr, Stadt";"Kreise";"1.509,15";"1.524,98";"1.644,65";"1.663,52";"1.771,66";"1.856,18";"2.058,34";"2.150,09"
"05119";"Oberhausen, Stadt";"Kreise";"1.166,61";"1.212,92";"1.236,39";"1.279,44";"1.393,53";"1.501,71";"1.707,43";"1.742,63"
"05120";"Remscheid, Stadt";"Kreise";"1.458,88";"1.486,38";"1.579,49";"1.600,82";"1.708,71";"1.836,69";"1.907,65";"1.979,70"
"05122";"Solingen, Klingenstadt";"Kreise";"1.436,20";"1.503,86";"1.573,71";"1.607,08";"1.782,91";"1.888,38";"2.020,50";"2.057,58"
"05124";"Wuppertal, Stadt";"Kreise";"1.375,82";"1.417,08";"1.486,42";"1.494,45";"1.601,30";"1.715,46";"1.823,72";"1.892,64"
"05154";"Kleve";"Kreise";"1.242,99";"1.260,20";"1.315,91";"1.354,17";"1.542,21";"1.676,13";"1.862,97";"1.986,10"
"05158";"Mettmann";"Kreise";"1.570,18";"1.608,61";"1.674,30";"1.694,71";"1.912,68";"2.047,95";"2.233,60";"2.339,27"
"05162";"Rhein-Kreis Neuss";"Kreise";"1.500,19";"1.550,47";"1.648,38";"1.679,27";"1.866,47";"2.028,38";"2.212,65";"2.324,89"
"05166";"Viersen";"Kreise";"1.320,04";"1.373,04";"1.466,50";"1.521,18";"1.701,49";"1.859,98";"2.078,06";"2.239,41"
"05170";"Wesel";"Kreise";"1.249,56";"1.301,05";"1.373,51";"1.449,44";"1.624,58";"1.783,54";"2.005,72";"2.141,94"
"05314";"Bonn, Stadt";"Kreise";"1.417,24";"1.426,50";"1.547,90";"1.586,61";"1.779,71";"1.877,21";"2.062,22";"2.234,21"
"05315";"Köln, Stadt";"Kreise";"1.390,35";"1.437,81";"1.535,12";"1.546,13";"1.666,75";"1.827,52";"2.040,32";"2.258,92"
"05316";"Leverkusen, Stadt";"Kreise";"1.337,97";"1.401,14";"1.411,88";"1.450,54";"1.612,24";"1.765,24";"1.959,30";"2.010,78"
"05334";"Städteregion Aachen";"Kreise";"1.245,46";"1.288,32";"1.324,42";"1.356,81";"1.507,08";"1.649,65";"1.844,52";"1.864,32"
"05358";"Düren";"Kreise";"1.211,13";"1.254,27";"1.311,07";"1.378,91";"1.554,40";"1.710,49";"1.934,11";"1.977,39"
"05362";"Rhein-Erft-Kreis";"Kreise";"1.339,58";"1.387,38";"1.433,94";"1.497,02";"1.683,82";"1.824,17";"2.041,22";"2.143,26"
"05366";"Euskirchen";"Kreise";"1.225,77";"1.279,18";"1.329,33";"1.401,35";"1.591,69";"1.766,64";"1.964,46";"2.033,36"
"05370";"Heinsberg";"Kreise";"1.137,43";"1.177,49";"1.248,76";"1.302,32";"1.468,36";"1.658,41";"1.873,85";"1.970,38"
"05374";"Oberbergischer Kreis";"Kreise";"1.336,52";"1.370,57";"1.483,86";"1.534,46";"1.721,59";"1.869,79";"2.018,76";"2.128,84"
"05378";"Rheinisch-Bergischer Kreis";"Kreise";"1.584,23";"1.635,65";"1.709,74";"1.751,02";"1.932,06";"2.116,07";"2.326,20";"2.471,44"
"05382";"Rhein-Sieg-Kreis";"Kreise";"1.413,32";"1.452,49";"1.483,39";"1.541,74";"1.762,91";"1.923,82";"2.150,50";"2.269,91"
"05512";"Bottrop, Stadt";"Kreise";"1.201,01";"1.254,70";"1.309,61";"1.379,36";"1.517,31";"1.633,90";"1.874,57";"1.952,71"
"05513";"Gelsenkirchen, Stadt";"Kreise";"1.115,94";"1.148,34";"1.178,54";"1.202,01";"1.264,93";"1.330,89";"1.499,42";"1.525,57"
"05515";"Münster, Stadt";"Kreise";"1.394,88";"1.429,38";"1.592,85";"1.672,85";"1.687,74";"1.873,28";"2.053,10";"2.273,70"
"05554";"Borken";"Kreise";"1.231,62";"1.263,17";"1.336,43";"1.409,92";"1.611,72";"1.818,20";"2.068,27";"2.210,30"
"05558";"Coesfeld";"Kreise";"1.274,08";"1.322,75";"1.398,02";"1.492,52";"1.710,71";"1.946,03";"2.161,31";"2.286,82"
"05562";"Recklinghausen";"Kreise";"1.201,46";"1.256,25";"1.307,70";"1.360,51";"1.503,60";"1.640,10";"1.863,98";"1.927,33"
"05566";"Steinfurt";"Kreise";"1.215,23";"1.261,88";"1.344,84";"1.412,16";"1.637,06";"1.810,92";"2.025,86";"2.179,02"
"05570";"Warendorf";"Kreise";"1.278,56";"1.312,12";"1.411,96";"1.527,62";"1.748,82";"1.910,68";"2.117,52";"2.250,62"
"05711";"Bielefeld, Stadt";"Kreise";"1.376,62";"1.432,69";"1.493,65";"1.522,52";"1.648,07";"1.775,27";"1.953,23";"2.087,99"
"05754";"Gütersloh";"Kreise";"1.462,00";"1.495,28";"1.602,37";"1.655,62";"1.864,17";"1.991,41";"2.188,75";"2.384,83"
"05758";"Herford";"Kreise";"1.436,55";"1.449,85";"1.520,01";"1.568,60";"1.690,04";"1.840,24";"2.081,74";"2.177,04"
"05762";"Höxter";"Kreise";"1.180,13";"1.215,67";"1.295,82";"1.378,74";"1.589,37";"1.785,04";"2.018,65";"2.179,27"
"05766";"Lippe";"Kreise";"1.335,30";"1.373,57";"1.466,87";"1.568,43";"1.687,23";"1.816,89";"1.974,88";"2.083,29"
"05770";"Minden-Lübbecke";"Kreise";"1.356,84";"1.391,07";"1.439,98";"1.514,01";"1.684,05";"1.839,99";"2.043,34";"2.115,91"
"05774";"Paderborn";"Kreise";"1.197,95";"1.232,61";"1.303,92";"1.386,88";"1.589,40";"1.760,82";"1.969,49";"2.075,71"
"05911";"Bochum, Stadt";"Kreise";"1.242,40";"1.294,44";"1.341,72";"1.370,54";"1.500,19";"1.618,33";"1.793,45";"1.912,22"
"05913";"Dortmund, Stadt";"Kreise";"1.194,70";"1.227,61";"1.281,93";"1.329,09";"1.435,09";"1.551,90";"1.758,32";"1.798,44"
"05914";"Hagen, Stadt der FernUniversität";"Kreise";"1.308,18";"1.349,31";"1.411,91";"1.448,98";"1.512,49";"1.607,14";"1.724,70";"1.784,02"
"05915";"Hamm, Stadt";"Kreise";"1.119,11";"1.142,66";"1.183,18";"1.245,40";"1.376,63";"1.489,05";"1.691,83";"1.774,74"
"05916";"Herne, Stadt";"Kreise";"1.119,41";"1.168,42";"1.193,79";"1.234,12";"1.364,41";"1.451,87";"1.629,85";"1.705,32"
"05954";"Ennepe-Ruhr-Kreis";"Kreise";"1.443,51";"1.511,68";"1.619,75";"1.692,83";"1.826,75";"1.953,90";"2.144,89";"2.322,34"
"05958";"Hochsauerlandkreis";"Kreise";"1.317,54";"1.367,75";"1.478,98";"1.565,38";"1.755,44";"1.970,96";"2.163,83";"2.295,17"
"05962";"Märkischer Kreis";"Kreise";"1.436,53";"1.485,65";"1.629,80";"1.707,01";"1.810,77";"1.983,52";"2.048,42";"2.151,55"
"05966";"Olpe";"Kreise";"1.465,69";"1.557,89";"1.764,87";"1.830,27";"1.971,59";"2.411,86";"2.272,27";"2.448,75"
"05970";"Siegen-Wittgenstein";"Kreise";"1.336,32";"1.385,46";"1.512,77";"1.620,60";"1.762,93";"1.922,02";"2.110,33";"2.237,04"
"05974";"Soest";"Kreise";"1.251,70";"1.280,12";"1.355,97";"1.454,31";"1.690,13";"1.829,66";"2.033,81";"2.185,98"
"05978";"Unna";"Kreise";"1.181,67";"1.249,88";"1.318,92";"1.381,63";"1.578,26";"1.732,63";"1.926,61";"2.015,37"
"06411";"Darmstadt, Wissenschaftsstadt";"Kreise";"1.410,45";"1.481,26";"1.549,36";"1.690,49";"1.732,09";"1.911,89";"2.029,92";"2.115,38"
"06412";"Frankfurt am Main, Stadt";"Kreise";"1.386,44";"1.474,47";"1.540,85";"1.599,74";"1.714,85";"1.879,69";"2.064,07";"2.169,28"
"06413";"Offenbach am Main, Stadt";"Kreise";"1.230,82";"1.254,70";"1.298,42";"1.342,25";"1.438,08";"1.543,14";"1.654,24";"1.718,12"
"06414";"Wiesbaden, Landeshauptstadt";"Kreise";"1.483,03";"1.552,80";"1.610,43";"1.649,74";"1.796,20";"2.014,03";"2.114,27";"2.168,36"
"06431";"Bergstraße";"Kreise";"1.358,10";"1.422,73";"1.517,16";"1.637,19";"1.816,84";"2.003,52";"2.165,54";"2.266,06"
"06432";"Darmstadt-Dieburg";"Kreise";"1.380,12";"1.457,69";"1.531,17";"1.658,35";"1.843,39";"1.995,87";"2.194,28";"2.289,86"
"06433";"Groß-Gerau";"Kreise";"1.337,49";"1.395,53";"1.437,35";"1.518,19";"1.643,96";"1.819,69";"1.891,06";"2.038,13"
"06434";"Hochtaunuskreis";"Kreise";"2.168,82";"2.169,18";"2.175,15";"2.249,82";"2.457,33";"2.628,33";"2.830,51";"2.962,19"
"06435";"Main-Kinzig-Kreis";"Kreise";"1.337,31";"1.415,14";"1.480,28";"1.587,76";"1.806,35";"1.979,53";"2.122,97";"2.290,70"
"06436";"Main-Taunus-Kreis";"Kreise";"1.661,72";"1.776,07";"1.850,27";"1.920,73";"2.108,14";"2.296,64";"2.443,52";"2.576,83"
"06437";"Odenwaldkreis";"Kreise";"1.225,55";"1.286,56";"1.371,19";"1.479,94";"1.646,22";"1.788,77";"1.966,22";"2.122,98"
"06438";"Offenbach";"Kreise";"1.544,13";"1.613,13";"1.639,68";"1.716,72";"1.858,50";"2.007,49";"2.135,87";"2.262,42"
"06439";"Rheingau-Taunus-Kreis";"Kreise";"1.429,83";"1.506,75";"1.557,34";"1.714,21";"1.921,53";"2.077,16";"2.247,67";"2.407,51"
"06440";"Wetteraukreis";"Kreise";"1.388,48";"1.447,90";"1.498,84";"1.613,55";"1.800,80";"1.972,37";"2.159,42";"2.300,73"
"06531";"Gießen";"Kreise";"1.233,03";"1.290,55";"1.361,31";"1.444,26";"1.585,62";"1.722,05";"1.843,17";"2.005,77"
"06532";"Lahn-Dill-Kreis";"Kreise";"1.313,82";"1.387,76";"1.475,85";"1.597,36";"1.732,50";"1.915,36";"1.984,37";"2.097,63"
"06533";"Limburg-Weilburg";"Kreise";"1.235,25";"1.309,14";"1.382,70";"1.523,58";"1.652,19";"1.840,73";"2.024,42";"2.144,79"
"06534";"Marburg-Biedenkopf";"Kreise";"1.154,61";"1.206,15";"1.269,79";"1.387,14";"1.586,04";"1.735,00";"1.899,20";"2.046,17"
"06535";"Vogelsbergkreis";"Kreise";"1.171,90";"1.259,07";"1.333,18";"1.442,12";"1.700,77";"1.763,16";"1.951,41";"2.163,14"
"06611";"Kassel, documenta-Stadt";"Kreise";"1.161,19";"1.227,77";"1.284,59";"1.379,05";"1.482,71";"1.601,27";"1.774,92";"1.898,92"
"06631";"Fulda";"Kreise";"1.219,61";"1.291,98";"1.381,65";"1.488,94";"1.668,66";"1.866,17";"2.024,73";"2.189,74"
"06632";"Hersfeld-Rotenburg";"Kreise";"1.195,98";"1.267,42";"1.328,26";"1.460,10";"1.610,00";"1.779,26";"1.946,57";"2.086,13"
"06633";"Kassel";"Kreise";"1.210,22";"1.303,25";"1.398,35";"1.543,61";"1.711,91";"1.838,37";"2.025,27";"2.205,68"
"06634";"Schwalm-Eder-Kreis";"Kreise";"1.179,05";"1.243,63";"1.323,47";"1.449,51";"1.611,95";"1.780,25";"1.972,81";"2.103,67"
"06635";"Waldeck-Frankenberg";"Kreise";"1.211,60";"1.285,88";"1.370,37";"1.460,43";"1.627,92";"1.839,54";"1.991,58";"2.131,04"
"06636";"Werra-Meißner-Kreis";"Kreise";"1.174,80";"1.231,22";"1.283,46";"1.394,98";"1.539,21";"1.674,36";"1.861,05";"1.999,52"
"07111";"Koblenz, kreisfreie Stadt";"Kreise";"1.369,90";"1.400,98";"1.461,40";"1.569,65";"1.612,44";"1.754,36";"1.893,77";"1.997,44"
"07131";"Ahrweiler";"Kreise";"1.311,62";"1.355,15";"1.470,20";"1.629,72";"1.744,66";"1.921,80";"2.147,59";"2.280,23"
"07132";"Altenkirchen (Westerwald)";"Kreise";"1.216,53";"1.263,23";"1.367,38";"1.504,93";"1.600,37";"1.778,86";"1.958,04";"2.040,53"
"07133";"Bad Kreuznach";"Kreise";"1.311,57";"1.368,07";"1.486,69";"1.576,28";"1.644,56";"1.797,03";"1.964,02";"2.016,17"
"07134";"Birkenfeld";"Kreise";"1.257,32";"1.293,24";"1.417,16";"1.546,49";"1.617,70";"1.755,97";"1.841,77";"1.932,04"
"07135";"Cochem-Zell";"Kreise";"1.233,13";"1.287,58";"1.405,29";"1.587,99";"1.653,67";"1.836,31";"1.971,11";"2.103,01"
"07137";"Mayen-Koblenz";"Kreise";"1.291,47";"1.335,25";"1.452,19";"1.579,39";"1.690,33";"1.817,85";"2.020,18";"2.139,87"
"07138";"Neuwied";"Kreise";"1.346,22";"1.389,61";"1.521,33";"1.668,71";"1.709,98";"1.892,87";"2.024,93";"2.120,46"
"07140";"Rhein-Hunsrück-Kreis";"Kreise";"1.234,69";"1.293,27";"1.421,49";"1.579,14";"1.702,63";"1.908,38";"2.093,29";"2.193,88"
"07141";"Rhein-Lahn-Kreis";"Kreise";"1.324,50";"1.371,71";"1.452,82";"1.590,26";"1.676,23";"1.798,70";"1.968,60";"2.043,36"
"07143";"Westerwaldkreis";"Kreise";"1.337,26";"1.389,97";"1.515,36";"1.692,06";"1.882,52";"1.975,30";"2.129,22";"2.238,25"
"07211";"Trier, kreisfreie Stadt";"Kreise";"1.193,20";"1.249,58";"1.400,04";"1.509,70";"1.541,98";"1.693,31";"1.890,90";"2.162,11"
"07231";"Bernkastel-Wittlich";"Kreise";"1.250,15";"1.316,21";"1.475,67";"1.698,13";"1.708,14";"1.803,80";"2.021,05";"2.159,36"
"07232";"Eifelkreis Bitburg-Prüm";"Kreise";"1.161,57";"1.229,19";"1.344,58";"1.517,16";"1.607,79";"1.768,22";"1.967,21";"2.150,43"
"07233";"Vulkaneifel";"Kreise";"1.194,29";"1.252,62";"1.384,38";"1.520,51";"1.603,42";"1.771,63";"1.977,06";"2.160,66"
"07235";"Trier-Saarburg";"Kreise";"1.210,08";"1.291,04";"1.436,48";"1.584,50";"1.680,34";"1.859,66";"2.075,99";"2.264,28"
"07311";"Frankenthal (Pfalz), kreisfreie Stadt";"Kreise";"1.283,86";"1.324,10";"1.401,76";"1.500,57";"1.666,26";"1.764,57";"1.911,20";"2.041,02"
"07312";"Kaiserslautern, kreisfreie Stadt";"Kreise";"1.203,66";"1.243,92";"1.309,92";"1.382,62";"1.457,33";"1.554,66";"1.735,84";"1.802,83"
"07313";"Landau in der Pfalz, kreisfreie Stadt";"Kreise";"1.345,09";"1.410,88";"1.523,14";"1.619,73";"1.667,07";"1.779,85";"1.935,74";"2.022,33"
"07314";"Ludwigshafen am Rhein, kreisfreie Stadt";"Kreise";"1.187,07";"1.229,42";"1.290,34";"1.392,63";"1.505,01";"1.611,74";"1.771,99";"1.837,75"
"07315";"Mainz, kreisfreie Stadt";"Kreise";"1.428,52";"1.472,57";"1.508,08";"1.616,32";"1.658,40";"1.818,85";"2.000,29";"2.034,66"
"07316";"Neustadt an der Weinstraße, kreisfreie Stadt";"Kreise";"1.500,57";"1.546,23";"1.623,68";"1.795,58";"1.932,84";"2.078,94";"2.310,43";"2.481,04"
"07317";"Pirmasens, kreisfreie Stadt";"Kreise";"1.295,23";"1.322,52";"1.385,94";"1.499,90";"1.504,70";"1.604,89";"1.711,98";"1.821,47"
"07318";"Speyer, kreisfreie Stadt";"Kreise";"1.325,76";"1.393,63";"1.578,76";"1.758,50";"1.793,75";"1.961,06";"2.196,16";"2.358,10"
"07319";"Worms, kreisfreie Stadt";"Kreise";"1.235,77";"1.287,07";"1.369,44";"1.459,58";"1.567,93";"1.683,50";"1.834,23";"1.898,88"
"07320";"Zweibrücken, kreisfreie Stadt";"Kreise";"1.215,99";"1.239,90";"1.322,60";"1.482,61";"1.524,09";"1.669,88";"1.829,87";"1.970,02"
"07331";"Alzey-Worms";"Kreise";"1.299,85";"1.354,85";"1.458,23";"1.577,35";"1.718,66";"1.857,67";"2.039,40";"2.195,54"
"07332";"Bad Dürkheim";"Kreise";"1.424,35";"1.469,98";"1.588,15";"1.768,36";"1.945,60";"2.122,53";"2.374,56";"2.511,03"
"07333";"Donnersbergkreis";"Kreise";"1.182,04";"1.242,80";"1.357,18";"1.492,56";"1.594,04";"1.754,11";"1.983,78";"2.118,55"
"07334";"Germersheim";"Kreise";"1.293,26";"1.350,76";"1.448,42";"1.566,37";"1.687,03";"1.854,78";"2.045,88";"2.139,34"
"07335";"Kaiserslautern";"Kreise";"1.208,62";"1.267,03";"1.346,06";"1.479,17";"1.587,01";"1.744,23";"1.890,63";"2.016,74"
"07336";"Kusel";"Kreise";"1.171,91";"1.216,41";"1.285,53";"1.415,91";"1.539,86";"1.693,54";"1.888,18";"1.984,81"
