Kennziffer;Raumeinheit;Aggregat;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo
;;;1998;2002;2005;2009;2013;2017;2021;2023
"01051052";"Hövede";"Gemeinden";"-400,00";"-750,00";"0,00";"-1.800,00";"-200,00";"0,00";;
"01051053";"Hollingstedt";"Gemeinden";"-295,83";"-233,33";"-147,06";"-607,69";"-525,00";"-613,33";"-816,67";"-1.130,00"
"01051054";"Immenstedt";"Gemeinden";"-550,00";"-1.200,00";"-800,00";"-800,00";"-200,00";"-428,57";"0,00";"0,00"
"01051057";"Kaiser-Wilhelm-Koog";"Gemeinden";"-39,06";"-69,70";"8,51";"36,24";"-3,85";"-25,25";"-102,56";"-73,33"
"01051058";"Karolinenkoog";"Gemeinden";"-200,00";"-138,46";"-38,10";"-18,42";"-29,73";"-24,32";"-32,43";"-61,11"
"01051060";"Kleve";"Gemeinden";"-861,54";"-1.028,57";"-807,14";"-531,82";"-201,96";;"-135,00";"-175,00"
"01051061";"Krempel";"Gemeinden";"-278,72";"-1.031,25";"-993,75";"-3.720,00";"-2.066,67";"0,00";"-692,86";"-375,00"
"01051062";"Kronprinzenkoog";"Gemeinden";"-114,75";"-114,52";"-221,69";"-141,59";"-98,65";"-12,37";"-12,46";"-17,24"
"01051063";"Krumstedt";"Gemeinden";"-246,81";"-431,03";"-665,00";"-811,11";"-432,35";"-261,22";"-290,00";"-273,08"
"01051064";"Kuden";"Gemeinden";"-2.614,29";"-3.960,00";"0,00";"-3.880,00";"-204,41";;"-1.264,71";"-1.347,06"
"01051065";"Lehe";"Gemeinden";"-497,87";"-349,28";"-551,06";"-477,78";"-309,88";"-300,00";"-244,35";"-197,76"
"01051067";"Lieth";"Gemeinden";"-147,83";"-140,35";"-114,75";"-82,35";"-202,33";;;
"01051068";"Linden";"Gemeinden";"-354,84";"-407,14";"-255,26";"-346,15";"-248,89";"-385,92";"-327,06";"-360,00"
"01051069";"Lohe-Rickelshof";"Gemeinden";"-146,29";"-120,63";"-178,19";"-156,54";"-150,00";"-174,44";"-151,29";"-115,12"
"01051071";"Lunden";"Gemeinden";"8,54";"8,49";"9,20";"20,71";"-4,56";"-0,40";"-20,29";"-57,65"
"01051072";"Marne, Stadt";"Gemeinden";"0,66";"5,65";"16,41";"17,45";"6,22";"-4,61";"-5,94";"-6,99"
"01051073";"Marnerdeich";"Gemeinden";"-495,45";"-663,64";"0,00";"-647,37";"-367,86";"-283,33";"-333,33";"-585,00"
"01051074";"Meldorf, Stadt";"Gemeinden";"36,94";"33,08";"33,68";"25,50";"36,16";"34,48";"37,61";"31,68"
"01051075";"Neuenkirchen";"Gemeinden";"-361,90";"-415,62";"-433,33";"-226,13";"-189,13";"-152,73";"-145,70";"-145,21"
"01051076";"Neufeld";"Gemeinden";"-2.088,89";"-758,33";"-1.330,77";"-1.533,33";"-570,00";"-369,57";"-252,11";"-350,88"
"01051077";"Neufelderkoog";"Gemeinden";"-600,00";"-300,00";"-333,33";"-271,43";"-237,50";"-200,00";"-164,71";"-153,85"
"01051078";"Nindorf";"Gemeinden";"-26,59";"-19,79";"-74,19";"-79,70";"-86,55";"-82,92";"-68,75";"-47,19"
"01051079";"Norddeich";"Gemeinden";"-545,45";"-373,33";"-96,97";"-69,41";"-177,78";"-217,31";"-122,22";"-164,10"
"01051080";"Norderheistedt";"Gemeinden";"-400,00";"-2.150,00";"-428,57";"-4.400,00";"-200,00";"-194,44";;
"01051081";"Norderwöhrden";"Gemeinden";"-64,71";"-169,57";"-103,57";"-115,15";"-102,33";"-151,52";"-108,33";"-60,87"
"01051082";"Nordhastedt";"Gemeinden";"-315,20";"-276,17";"-371,68";"-381,03";"-357,62";"-373,97";"-411,32";"-384,72"
"01051083";"Odderade";"Gemeinden";"-295,45";"-230,00";"-350,00";"-202,78";"-205,41";;;"-192,31"
"01051084";"Oesterdeichstrich";"Gemeinden";"-640,00";"-464,29";"-590,00";"-554,55";"-335,29";"-203,57";"-262,86";"-239,39"
"01051085";"Offenbüttel";"Gemeinden";"-320,00";"-185,71";"-215,38";"-127,03";"-204,00";"-55,56";"-95,74";"-42,11"
"01051086";"Osterrade";"Gemeinden";"-184,09";"-153,19";"-207,50";"-207,69";"-377,78";"-250,00";"-225,00";"-239,02"
"01051087";"Ostrohe";"Gemeinden";"-212,94";"-378,69";"-400,00";"-614,29";"-560,42";"-266,32";"-304,65";"-341,77"
"01051088";"Pahlen";"Gemeinden";"-160,45";"-127,15";"-111,89";"-112,42";"-56,78";"-63,39";"-70,25";"-59,80"
"01051089";"Quickborn";"Gemeinden";"-1.275,00";"0,00";"0,00";"-5.600,00";"-200,00";;;
"01051090";"Ramhusen";"Gemeinden";"-457,14";"-2.250,00";"-571,43";"-4.500,00";"-700,00";;"-800,00";
"01051092";"Rehm-Flehde-Bargen";"Gemeinden";"22,60";"48,07";"55,18";"60,00";"55,70";;;
"01051093";"Reinsbüttel";"Gemeinden";"-515,79";"-217,50";"-303,45";"-193,33";"-210,64";;"-448,48";"-363,64"
"01051096";"Sankt Annen";"Gemeinden";"-169,44";"-111,36";"-107,50";"-37,70";"-41,18";"-33,33";"-9,57";"-11,32"
"01051097";"Sankt Michaelisdonn";"Gemeinden";"-91,56";"-118,25";"-108,54";"-86,75";"-95,16";"-73,50";"-73,94";"-69,32"
"01051098";"Sarzbüttel";"Gemeinden";"-147,25";"-103,64";"-118,45";"-112,04";"-87,20";"-106,40";"-139,37";"-116,44"
"01051099";"Schafstedt";"Gemeinden";"-351,76";"-307,14";"-360,47";"-292,52";"-244,70";"-235,42";"-227,44";"-213,74"
"01051100";"Schalkholz";"Gemeinden";"-138,16";"-125,00";"-140,28";"-91,58";"-71,19";"-82,81";"-87,02";"-149,48"
"01051102";"Schlichting";"Gemeinden";"-205,56";"-119,23";"-120,00";"-110,71";"-209,52";;;"-1.000,00"
"01051103";"Schmedeswurth";"Gemeinden";"-150,00";"-252,63";"-325,00";"-270,59";"-210,00";"0,00";"-333,33";
"01051104";"Schrum";"Gemeinden";"-266,67";"-2.100,00";"0,00";"0,00";;;"-340,00";
"01051105";"Schülp";"Gemeinden";"-222,50";"-206,67";"-116,67";"-126,15";"-76,47";"-126,76";"-92,47";"-185,07"
"01051107";"Stelle-Wittenwurth";"Gemeinden";"-293,75";"-173,47";"-176,47";"-121,88";"-201,92";"-88,46";"-167,19";"-191,04"
"01051108";"Strübbel";"Gemeinden";"-550,00";"-666,67";"-228,57";"-1.600,00";;;;
"01051109";"Süderdeich";"Gemeinden";"-942,86";"-690,48";"-835,71";"-491,67";"-727,78";"-572,00";"-566,67";"-788,89"
"01051110";"Süderhastedt";"Gemeinden";"-118,63";"-108,62";"-119,81";"-136,89";"-84,51";"-87,42";"-172,64";"-201,89"
"01051113";"Wöhrden";"Gemeinden";"-151,50";"-103,88";"-95,96";"-50,68";"-105,63";"-105,65";"-72,34";"-105,84"
"01051114";"Tellingstedt";"Gemeinden";"-34,76";"-32,45";"-18,75";"-44,51";"-42,86";"-44,53";"-42,28";"-39,62"
"01051117";"Tielenhemme";"Gemeinden";"-500,00";"-4.200,00";"-528,57";"-1.233,33";"-200,00";"0,00";;
"01051118";"Trennewurth";"Gemeinden";"-471,43";"0,00";"0,00";"-1.233,33";"-203,57";;;"-359,09"
"01051119";"Volsemenhusen";"Gemeinden";"-1.171,43";"-1.044,44";"0,00";"-192,86";"-200,00";"-64,62";"-660,00";"-728,57"
"01051120";"Wallen";"Gemeinden";"0,00";"0,00";"0,00";"0,00";"-166,67";;;
"01051121";"Warwerort";"Gemeinden";"-422,22";"-2.450,00";"-400,00";"-387,50";"-392,86";;;"-225,00"
"01051122";"Weddingstedt";"Gemeinden";"-70,11";"-72,11";"-74,87";"-75,00";"-83,15";"-78,12";"-62,75";"-69,23"
"01051125";"Welmbüttel";"Gemeinden";"-202,27";"-1.230,00";"0,00";"-4.200,00";"-1.061,54";"-1.146,15";"-964,71";"-1.157,14"
"01051126";"Wennbüttel";"Gemeinden";"-100,00";"-60,00";"-100,00";"-136,36";"-200,00";;"-383,33";"-257,14"
"01051127";"Wesselburen, Stadt";"Gemeinden";"-52,45";"-57,04";"-55,08";"-56,31";"-46,52";"-65,93";"-103,57";"-104,67"
"01051128";"Wesselburener Deichhausen";"Gemeinden";"-154,55";"23,08";"0,00";"-281,82";"-206,67";"0,00";"-177,78";"-41,94"
"01051129";"Wesselburenerkoog";"Gemeinden";"-76,92";"-51,85";"-20,00";"-100,00";"-55,26";"-37,84";"14,71";"-58,54"
"01051130";"Wesseln";"Gemeinden";"34,76";"27,13";"27,22";"3,92";"-7,58";"-1,80";"1,70";"-0,19"
"01051131";"Westerborstel";"Gemeinden";"-550,00";"-166,67";"-342,86";"-169,23";"-387,50";;;
"01051132";"Westerdeichstrich";"Gemeinden";"-133,66";"-165,79";"-133,73";"-157,32";"-112,61";"-86,21";"-100,00";"-100,00"
"01051133";"Wiemerstedt";"Gemeinden";"-437,50";"-2.200,00";"-528,57";"-1.300,00";"-210,53";;;
"01051134";"Windbergen";"Gemeinden";"-555,56";"-545,95";"-560,00";"-526,32";"-434,62";"-461,11";"-552,94";"-480,00"
"01051135";"Wolmersdorf";"Gemeinden";"-800,00";"-1.212,50";"-1.371,43";"-2.020,00";"-757,14";"0,00";;
"01051136";"Wrohm";"Gemeinden";"-164,00";"-122,34";"-120,41";"-123,16";"-92,44";"-67,76";"-222,99";"-122,40"
"01051137";"Nordermeldorf";"Gemeinden";"-172,73";"-247,06";"-192,31";"-177,97";"-204,69";"-242,42";"-201,27";"-275,76"
"01051138";"Tensbüttel-Röst";"Gemeinden";"-54,70";"-52,25";"-63,64";"-36,00";"-54,26";"-71,11";"-75,00";"-68,03"
"01051139";"Süderdorf";"Gemeinden";"-844,44";"-1.285,71";"-1.516,67";"-444,44";"-257,58";"-219,44";"-210,26";"-228,57"
"01051140";"Oesterwurth";"Gemeinden";"-190,91";"-195,65";"-71,05";"-55,56";"-74,42";"-118,60";"-158,33";"-178,38"
"01051141";"Süderheistedt";"Gemeinden";"-97,40";"-97,53";"-134,25";"-136,84";"-119,54";"-181,82";"-197,26";"-223,53"
"01053001";"Albsfelde";"Gemeinden";"0,00";"0,00";"0,00";"0,00";;;;
"01053002";"Alt-Mölln";"Gemeinden";"-100,78";"-93,53";"-67,06";"-26,94";"-33,05";"-9,74";"15,85";"27,51"
"01053003";"Aumühle";"Gemeinden";"0,13";"-12,11";"-11,38";"-32,89";"-46,90";"-40,51";"-71,11";"-106,39"
"01053004";"Bäk";"Gemeinden";"-302,86";"-524,14";"-155,41";"-129,90";"-116,67";"-107,52";"-293,83";"-409,23"
"01053005";"Bälau";"Gemeinden";"-343,75";"-294,44";"0,00";"-177,78";"-263,64";;;
"01053006";"Basedow";"Gemeinden";"-3.880,00";"-1.233,33";"-1.360,00";"-1.073,68";"-1.176,47";"-1.485,71";"-1.181,25";"-990,48"
"01053007";"Basthorst";"Gemeinden";"-290,00";"-262,50";"-287,88";"-300,00";"-340,00";"-238,30";"-170,49";"-110,26"
"01053008";"Behlendorf";"Gemeinden";"-538,89";"-262,50";"-538,89";"-730,77";"-526,32";"-964,29";"-937,50";"-987,50"
"01053009";"Berkenthin";"Gemeinden";"-79,29";"-74,75";"-89,27";"-143,26";"-77,02";"-71,03";"-102,08";"-108,16"
"01053010";"Besenthal";"Gemeinden";"-166,67";"-228,57";"-283,33";"-450,00";"-280,00";;"0,00";
"01053011";"Bliestorf";"Gemeinden";"-92,19";"-46,25";"-34,73";"-26,20";"-37,64";"-5,71";"-2,31";"-7,33"
"01053012";"Börnsen";"Gemeinden";"-167,12";"-154,20";"-208,10";"-247,88";"-182,94";"-185,65";"-174,11";"-175,45"
"01053013";"Borstorf";"Gemeinden";"-278,26";"-331,82";"-975,00";"-633,33";"-266,67";;"-1.457,14";
"01053014";"Breitenfelde";"Gemeinden";"-136,17";"-151,01";"-105,73";"-180,27";"-94,68";"-109,01";"-74,94";"-80,44"
"01053015";"Bröthen";"Gemeinden";"-1.416,67";"-369,57";"-175,00";"-194,29";"-208,57";;;"-1.023,08"
"01053016";"Brunsmark";"Gemeinden";"0,00";"0,00";"0,00";"-733,33";"-700,00";;;
"01053017";"Brunstorf";"Gemeinden";"-239,62";"-216,90";"-197,22";"-188,57";"-160,92";"-121,05";"-169,60";"-160,45"
"01053018";"Buchholz";"Gemeinden";"-1.575,00";"-728,57";"-458,33";"-150,00";"-127,59";"-238,10";"-311,11";"-283,33"
"01053019";"Buchhorst";"Gemeinden";"-16,13";"-40,91";"-366,67";"-96,15";"-183,33";"0,00";"-20,45";"-28,57"
"01053020";"Büchen";"Gemeinden";"4,92";"1,61";"-3,42";"-3,24";"0,85";"4,50";"0,23";"3,64"
"01053021";"Dahmker";"Gemeinden";"-614,29";"-440,00";"0,00";"-358,33";"-67,74";"-54,05";;
"01053022";"Dalldorf";"Gemeinden";"-1.300,00";"-3.733,33";"-1.400,00";"-4.666,67";"-266,67";;;"0,00"
"01053023";"Dassendorf";"Gemeinden";"-226,91";"-209,90";"-259,45";"-78,52";"-69,82";"-95,75";"-80,54";"-53,46"
"01053024";"Düchelsdorf";"Gemeinden";"0,00";"-4.900,00";"-475,00";"-2.500,00";"-268,75";;;
"01053025";"Duvensee";"Gemeinden";"-191,67";"-260,78";"-242,86";"-144,59";"-115,29";"-164,56";"-181,48";"-148,98"
"01053026";"Einhaus";"Gemeinden";"-1.187,50";"-405,00";"-785,71";"-706,67";"-272,73";;;
"01053027";"Elmenhorst";"Gemeinden";"-153,77";"0,63";"1,81";"45,07";"50,89";"14,16";"43,77";"46,07"
"01053028";"Escheburg";"Gemeinden";"-419,32";"-439,81";"-425,89";"-433,06";"-483,33";"-469,85";"-457,99";"-518,18"
"01053029";"Fitzen";"Gemeinden";"-2.525,00";"-3.400,00";"-1.237,50";"-2.016,67";"-1.412,50";"-1.227,27";"0,00";
"01053030";"Fredeburg";"Gemeinden";"70,37";"72,55";"73,47";"83,33";"-180,00";"0,00";;
"01053031";"Fuhlenhagen";"Gemeinden";"-159,46";"-144,74";"-132,50";"-144,19";"-72,41";"-157,14";"-203,39";"-230,91"
"01053032";"Geesthacht, Stadt";"Gemeinden";"-17,84";"-18,14";"-14,87";"-17,34";"-15,65";"-17,50";"-17,83";"-19,37"
"01053033";"Giesensdorf";"Gemeinden";"-1.150,00";"-440,00";"0,00";"-44,44";"-281,82";;;
"01053034";"Göldenitz";"Gemeinden";"-244,44";"-294,12";"-214,29";"-175,00";"-107,69";"-110,00";"-57,89";"-69,49"
"01053035";"Göttin";"Gemeinden";"0,00";"-420,00";"0,00";"-533,33";"-250,00";;;
"01053036";"Grabau";"Gemeinden";"-1.133,33";"0,00";"0,00";"-1.483,33";"-1.144,44";;;"-604,76"
"01053037";"Grambek";"Gemeinden";"-19,44";"19,86";"14,88";"3,15";"6,83";"33,18";"29,72";"49,14"
"01053038";"Grinau";"Gemeinden";"9,23";"4,55";"0,00";"4,17";"-263,16";;;
"01053039";"Groß Boden";"Gemeinden";"-443,75";"-483,33";"-438,89";"-218,52";"-263,64";;;
"01053040";"Groß Disnack";"Gemeinden";"-1.650,00";"-3.200,00";"0,00";"-442,86";"-255,56";;;
"01053041";"Groß Grönau";"Gemeinden";"-115,57";"-63,03";"-29,83";"-196,75";"-131,96";"-100,16";"-83,97";"-110,06"
"01053042";"Groß Pampau";"Gemeinden";"-100,00";"-40,91";"0,00";"-64,71";"-266,67";"-18,03";;
"01053043";"Groß Sarau";"Gemeinden";"-542,11";"-257,97";"-224,00";"-355,93";"-262,79";"-316,25";"-309,89";"-321,65"
"01053044";"Groß Schenkenberg";"Gemeinden";"-343,18";"-341,86";"-262,00";"-225,00";"-233,33";"-238,46";"-218,92";"-238,03"
"01053045";"Grove";"Gemeinden";"-1.383,33";"-987,50";"0,00";"-1.416,67";"-1.000,00";;"-345,83";
"01053046";"Gudow";"Gemeinden";"-80,08";"-97,93";"-109,83";"-192,43";"-163,72";"-220,29";"-315,96";"-339,57"
"01053047";"Gülzow";"Gemeinden";"-598,31";"-427,91";"-451,22";"-661,67";"-635,82";"-528,92";"-520,88";"-518,48"
"01053048";"Güster";"Gemeinden";"-236,71";"-172,07";"-154,26";"-156,74";"-161,01";"-208,12";"-212,85";"-208,33"
"01053049";"Hamfelde";"Gemeinden";"-872,73";"-1.112,50";"-1.235,71";"-987,50";"-900,00";"-804,55";"-827,27";"-900,00"
"01053050";"Hamwarde";"Gemeinden";"-528,57";"-789,29";"-1.210,53";"-705,71";"-557,69";"-555,36";"-562,07";"-481,82"
"01053051";"Harmsdorf";"Gemeinden";"-53,33";"-61,54";"-48,89";"-77,55";"-86,21";"-207,50";"-132,14";"-116,13"
"01053052";"Havekost";"Gemeinden";"-966,67";"-1.850,00";"-1.200,00";"-828,57";"-265,22";;"-860,00";"-556,25"
"01053053";"Hohenhorn";"Gemeinden";"-202,00";"-208,16";"-226,53";"-208,62";"-233,33";"-160,76";"-201,49";"-46,21"
"01053054";"Hollenbek";"Gemeinden";"-712,50";"-572,22";"-1.512,50";"-1.355,56";"-538,10";"-1.121,43";"-1.307,14";"-1.525,00"
"01053056";"Hornbek";"Gemeinden";"-1.550,00";"-508,33";"-461,54";"-168,00";"-275,00";;;
"01053057";"Horst";"Gemeinden";"-566,67";"-216,67";"-663,64";"-471,43";"-609,09";"-658,33";"-725,00";"-900,00"
"01053058";"Juliusburg";"Gemeinden";"-966,67";"-2.266,67";"-712,50";"-5.300,00";"-264,71";"0,00";;
"01053059";"Kankelau";"Gemeinden";"-1.116,67";"-1.014,29";"-1.875,00";"-1.560,00";;"0,00";;
"01053060";"Kasseburg";"Gemeinden";"-1.020,00";"-868,42";"-1.383,33";"-1.369,23";"-1.446,67";"-700,00";"-1.066,67";"-1.189,47"
"01053061";"Kastorf";"Gemeinden";"-15,71";"-49,43";"-56,50";"-46,49";"-41,60";"-15,35";"-24,36";"-24,63"
"01053062";"Kittlitz";"Gemeinden";"-163,33";"-280,95";"-200,00";"-590,91";"-709,09";"-669,23";"-1.357,14";"-1.287,50"
"01053064";"Klein Pampau";"Gemeinden";"-640,74";"-532,43";"-479,41";"-471,05";"-410,87";"-668,57";"-579,07";"-429,82"
"01053066";"Klein Zecher";"Gemeinden";"-442,86";"-788,89";"-1.160,00";"-1.042,86";"-268,18";"-709,09";"-836,36";"-1.011,11"
"01053067";"Klempau";"Gemeinden";"-539,29";"-358,54";"-394,44";"-536,36";"-522,22";"-437,50";"-585,37";"-477,78"
"01053068";"Klinkrade";"Gemeinden";"-884,21";"-1.960,00";"-1.516,67";"-1.850,00";"-2.075,00";"-2.955,56";"-2.911,11";
"01053069";"Koberg";"Gemeinden";"-764,29";"-495,74";"-425,49";"-396,72";"-403,45";"-524,53";"-653,19";"-594,44"
"01053070";"Köthel";"Gemeinden";"30,77";"-466,67";"0,00";"-412,50";"-500,00";"-63,29";;
"01053071";"Kollow";"Gemeinden";"-365,85";"-494,74";"-484,21";"-323,53";"-292,73";"-349,06";"-367,86";"-304,48"
"01053072";"Kröppelshagen-Fahrendorf";"Gemeinden";"-795,00";"-751,35";"-860,00";"-434,33";"-525,00";"-453,93";"-447,87";"-477,91"
"01053073";"Krüzen";"Gemeinden";"-229,63";"-228,57";"-621,43";"-477,27";"-333,33";"-267,65";;"-197,62"
"01053074";"Krukow";"Gemeinden";"-78,79";"-200,00";"0,00";"-244,44";"-278,57";;"-83,33";"-86,21"
"01053075";"Krummesse";"Gemeinden";"-250,99";"-276,70";"-336,76";"-166,99";"-191,00";"-202,75";"-226,37";"-371,43"
"01053076";"Kuddewörde";"Gemeinden";"-156,80";"-122,22";"-162,66";"-181,88";"-174,85";"-171,67";"-156,67";"-159,29"
"01053077";"Kühsen";"Gemeinden";"-388,89";"-781,25";"-700,00";"-775,00";"-850,00";;"-831,25";"-894,12"
"01053078";"Kulpin";"Gemeinden";"-282,35";"-333,33";"-329,41";"-491,67";"-413,33";"-418,75";"-268,42";"-289,47"
