Kennziffer;Raumeinheit;Aggregat;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo
;;;1998;2002;2005;2009;2013;2017;2021;2023
"05766008";"Bad Salzuflen, Stadt";"Gemeinden";"4,41";"5,11";"3,34";"4,26";"-0,92";"-6,58";"-12,79";"-18,46"
"05766012";"Barntrup, Stadt";"Gemeinden";"-40,35";"-47,17";"-52,52";"-46,10";"-51,28";"-56,10";"-46,19";"-45,77"
"05766016";"Blomberg, Stadt";"Gemeinden";"2,31";"6,84";"7,98";"12,01";"19,77";"21,71";"26,25";"31,63"
"05766020";"Detmold, Stadt";"Gemeinden";"11,84";"10,64";"12,21";"15,97";"17,80";"16,65";"16,64";"17,88"
"05766024";"Dörentrup";"Gemeinden";"-128,64";"-190,34";"-174,83";"-144,44";"-56,20";"-58,11";"-48,89";"-46,44"
"05766028";"Extertal";"Gemeinden";"-26,82";"-24,53";"-31,31";"-36,77";"-40,11";"-51,03";"-56,16";"-50,80"
"05766032";"Horn-Bad Meinberg, Stadt";"Gemeinden";"-16,26";"-20,15";"-21,82";"-38,46";"-58,16";"-83,13";"-97,81";"-108,88"
"05766036";"Kalletal";"Gemeinden";"-79,73";"-81,46";"-92,83";"-113,53";"-115,46";"-129,19";"-117,72";"-121,60"
"05766040";"Lage, Stadt";"Gemeinden";"-51,63";"-64,10";"-76,70";"-98,73";"-104,59";"-93,77";"-84,10";"-83,12"
"05766044";"Lemgo, Stadt";"Gemeinden";"14,99";"13,74";"13,62";"8,80";"10,20";"8,56";"11,55";"10,37"
"05766048";"Leopoldshöhe";"Gemeinden";"-52,30";"-43,94";"-37,92";"-33,08";"-39,03";"-45,03";"-45,64";"-48,33"
"05766052";"Lügde, Stadt der Osterräder";"Gemeinden";"-58,67";"-80,59";"-80,06";"-119,24";"-131,84";"-149,68";"-136,05";"-113,40"
"05766056";"Oerlinghausen, Stadt";"Gemeinden";"-42,42";"-51,13";"-58,10";"-57,83";"-59,76";"-66,88";"-73,98";"-69,84"
"05766060";"Schieder-Schwalenberg, Stadt";"Gemeinden";"-4,18";"-10,95";"-42,69";"-104,71";"-132,48";"-176,42";"-126,26";"-111,90"
"05766064";"Schlangen";"Gemeinden";"-65,28";"-83,90";"-106,25";"-128,69";"-132,00";"-135,50";"-123,94";"-128,17"
"05770004";"Bad Oeynhausen, Stadt";"Gemeinden";"22,43";"27,31";"26,83";"21,03";"22,40";"19,11";"18,41";"17,53"
"05770008";"Espelkamp, Stadt";"Gemeinden";"7,79";"8,43";"9,06";"14,81";"14,11";"13,99";"15,65";"14,59"
"05770012";"Hille";"Gemeinden";"-107,85";"-99,46";"-96,13";"-107,13";"-114,37";"-107,32";"-88,53";"-83,50"
"05770016";"Hüllhorst";"Gemeinden";"-53,33";"-62,50";"-67,70";"-60,65";"-51,33";"-54,13";"-47,68";"-46,74"
"05770020";"Lübbecke, Stadt";"Gemeinden";"23,87";"25,71";"19,59";"19,35";"25,48";"25,13";"20,39";"18,72"
"05770024";"Minden, Stadt";"Gemeinden";"22,30";"22,46";"24,55";"25,27";"24,98";"25,43";"27,03";"26,53"
"05770028";"Petershagen, Stadt";"Gemeinden";"-128,66";"-145,80";"-153,97";"-146,76";"-157,66";"-138,39";"-136,60";"-138,50"
"05770032";"Porta Westfalica, Stadt";"Gemeinden";"-7,23";"-10,34";"-13,51";"-10,49";"-13,95";"-15,78";"-14,58";"-17,27"
"05770036";"Preußisch Oldendorf, Stadt";"Gemeinden";"-54,54";"-53,03";"-55,21";"-65,96";"-74,00";"-59,36";"-66,00";"-95,92"
"05770040";"Rahden, Stadt";"Gemeinden";"-21,84";"-24,46";"-25,28";"-27,47";"-37,56";"-35,47";"-46,15";"-48,03"
"05770044";"Stemwede";"Gemeinden";"-0,56";"8,39";"11,93";"11,94";"8,32";"9,91";"13,84";"13,90"
"05774004";"Altenbeken";"Gemeinden";"-236,59";"-241,24";"-266,08";"-280,02";"-262,35";"-196,37";"-162,36";"-160,11"
"05774008";"Bad Lippspringe, Stadt";"Gemeinden";"-21,01";"-27,66";"-36,92";"-35,07";"-34,98";"-30,96";"-35,92";"-33,08"
"05774012";"Borchen";"Gemeinden";"-182,41";"-153,23";"-140,70";"-130,29";"-120,28";"-107,46";"-94,96";"-99,61"
"05774016";"Büren, Stadt";"Gemeinden";"-37,74";"-31,61";"-34,35";"-36,86";"-26,79";"-40,35";"-39,43";"-35,54"
"05774020";"Delbrück, Stadt";"Gemeinden";"-39,95";"-43,03";"-48,88";"-50,23";"-50,68";"-56,09";"-42,65";"-37,49"
"05774024";"Hövelhof, Sennegemeinde";"Gemeinden";"-48,06";"-38,39";"-35,27";"-27,29";"-21,33";"-14,78";"-12,04";"-12,24"
"05774028";"Lichtenau, Stadt";"Gemeinden";"-89,88";"-94,86";"-113,71";"-115,43";"-122,66";"-107,84";"-104,03";"-87,98"
"05774032";"Paderborn, Stadt";"Gemeinden";"25,07";"26,91";"27,27";"28,16";"25,50";"23,26";"20,33";"20,84"
"05774036";"Salzkotten, Stadt";"Gemeinden";"-39,93";"-44,66";"-45,94";"-36,80";"-42,04";"-28,42";"-26,83";"-23,69"
"05774040";"Bad Wünnenberg, Stadt";"Gemeinden";"-19,27";"-16,18";"-34,39";"-33,69";"-24,13";"-26,79";"-25,61";"-24,72"
"05911000";"Bochum, Stadt";"Gemeinden";"11,07";"10,00";"9,96";"5,91";"6,38";"2,63";"4,42";"4,79"
"05913000";"Dortmund, Stadt";"Gemeinden";"11,49";"10,63";"13,29";"13,32";"11,70";"10,85";"11,89";"13,38"
"05914000";"Hagen, Stadt der FernUniversität";"Gemeinden";"7,56";"6,72";"8,85";"9,14";"6,51";"4,14";"1,20";"-2,80"
"05915000";"Hamm, Stadt";"Gemeinden";"-4,49";"-4,22";"-0,05";"-2,20";"-5,91";"-8,03";"-7,92";"-10,98"
"05916000";"Herne, Stadt";"Gemeinden";"-20,65";"-7,22";"-11,72";"-7,21";"-7,32";"-15,52";"-14,04";"-18,21"
"05954004";"Breckerfeld, Hansestadt";"Gemeinden";"-59,35";"-56,38";"-52,88";"-123,02";"-97,50";"-98,07";"-81,96";"-80,36"
"05954008";"Ennepetal, Stadt der Kluterthöhle";"Gemeinden";"6,77";"11,99";"13,35";"14,65";"15,90";"16,35";"15,95";"13,20"
"05954012";"Gevelsberg, Stadt";"Gemeinden";"-16,53";"-21,67";"-29,97";"-25,81";"-27,01";"-30,28";"-41,36";"-38,45"
"05954016";"Hattingen, Stadt";"Gemeinden";"-37,59";"-37,49";"-44,71";"-51,93";"-62,96";"-59,85";"-58,29";"-60,51"
"05954020";"Herdecke, Stadt";"Gemeinden";"-37,19";"-33,46";"-35,22";"-34,99";"-28,36";"-25,46";"-20,25";"-14,47"
"05954024";"Schwelm, Stadt";"Gemeinden";"-3,26";"-2,32";"-6,40";"-0,99";"3,71";"4,27";"-1,12";"-7,45"
"05954028";"Sprockhövel, Stadt";"Gemeinden";"-31,21";"-40,26";"-34,76";"-38,50";"-35,72";"-34,41";"-36,87";"-42,05"
"05954032";"Wetter (Ruhr), Stadt";"Gemeinden";"5,22";"8,62";"0,62";"5,78";"6,24";"7,85";"8,90";"10,50"
"05954036";"Witten, Stadt";"Gemeinden";"-7,11";"-6,86";"-9,12";"-5,45";"-6,25";"-6,22";"-6,98";"-9,33"
"05958004";"Arnsberg, Stadt";"Gemeinden";"5,82";"5,72";"2,21";"2,70";"6,30";"8,40";"6,22";"5,31"
"05958008";"Bestwig";"Gemeinden";"-39,30";"-39,67";"-37,69";"-27,37";"-25,54";"-18,70";"-28,65";"-26,52"
"05958012";"Brilon, Stadt";"Gemeinden";"4,33";"3,67";"3,26";"6,59";"15,91";"19,62";"22,90";"20,89"
"05958016";"Eslohe (Sauerland)";"Gemeinden";"-27,87";"-27,65";"-38,62";"-28,13";"-23,03";"-25,37";"-29,15";"-32,58"
"05958020";"Hallenberg, Stadt";"Gemeinden";"-6,91";"16,36";"16,60";"14,77";"-0,52";"-6,36";"-3,32";"-7,52"
"05958024";"Marsberg, Stadt";"Gemeinden";"-15,07";"-8,74";"-10,47";"-14,76";"-20,64";"-21,76";"-16,08";"-14,41"
"05958028";"Medebach, Hansestadt";"Gemeinden";"-31,43";"-40,14";"-47,19";"-64,24";"-41,47";"-30,74";"-41,73";"-38,30"
"05958032";"Meschede, Kreis- und  Hochschulstadt";"Gemeinden";"18,64";"17,74";"19,77";"22,47";"14,70";"10,27";"13,92";"17,60"
"05958036";"Olsberg, Stadt";"Gemeinden";"0,85";"-1,27";"-1,82";"1,59";"5,14";"2,93";"1,66";"1,34"
"05958040";"Schmallenberg, Stadt";"Gemeinden";"-9,47";"-10,87";"-12,68";"-11,36";"-11,78";"-6,88";"-5,52";"-6,70"
"05958044";"Sundern (Sauerland), Stadt";"Gemeinden";"-10,46";"-16,34";"-18,47";"-25,07";"-26,01";"-24,61";"-18,99";"-18,25"
"05958048";"Winterberg, Stadt";"Gemeinden";"-30,06";"-30,98";"-28,43";"-27,94";"-33,60";"-27,78";"-33,67";"-32,56"
"05962004";"Altena, Stadt";"Gemeinden";"-23,88";"-26,60";"-22,45";"-21,78";"-25,84";"-30,05";"-14,21";"-13,64"
"05962008";"Balve, Stadt";"Gemeinden";"-58,45";"-49,28";"-54,73";"-52,21";"-59,31";"-69,38";"-68,75";"-65,51"
"05962012";"Halver, Stadt";"Gemeinden";"-14,86";"-7,09";"-7,26";"-8,52";"-8,04";"-4,17";"1,89";"4,19"
"05962016";"Hemer, Stadt";"Gemeinden";"-1,28";"-3,30";"-1,63";"-3,61";"-6,72";"-8,35";"-10,28";"-6,63"
"05962020";"Herscheid";"Gemeinden";"-38,13";"-39,80";"-48,88";"-59,79";"-59,14";"-45,43";"-49,24";"-57,72"
"05962024";"Iserlohn, Stadt";"Gemeinden";"-1,33";"0,50";"-2,83";"-0,74";"5,36";"6,01";"6,05";"3,92"
"05962028";"Kierspe, Stadt";"Gemeinden";"-33,78";"-42,21";"-54,98";"-59,68";"-24,52";"-33,73";"-39,31";"-35,91"
"05962032";"Lüdenscheid, Stadt";"Gemeinden";"18,44";"21,39";"22,77";"21,77";"21,56";"22,94";"22,42";"18,60"
"05962036";"Meinerzhagen, Stadt";"Gemeinden";"6,23";"7,30";"7,19";"3,08";"3,42";"9,52";"7,98";"9,67"
"05962040";"Menden (Sauerland), Stadt";"Gemeinden";"-13,67";"-17,15";"-21,65";"-26,37";"-36,43";"-35,35";"-36,02";"-37,97"
"05962044";"Nachrodt-Wiblingwerde";"Gemeinden";"-72,38";"-108,90";"-125,44";"-115,42";"-127,67";"-129,93";"-139,89";"-150,87"
"05962048";"Neuenrade, Stadt";"Gemeinden";"-22,38";"-23,02";"-25,26";"-19,68";"-21,92";"-24,26";"-23,97";"-22,07"
"05962052";"Plettenberg, Stadt";"Gemeinden";"16,45";"18,25";"18,94";"17,24";"18,18";"18,86";"12,57";"11,85"
"05962056";"Schalksmühle";"Gemeinden";"-0,79";"-0,78";"-1,27";"-0,96";"-5,87";"-4,73";"-7,99";"-6,97"
"05962060";"Werdohl, Stadt";"Gemeinden";"0,57";"0,63";"-0,20";"2,47";"1,24";"1,41";"-3,18";"-6,50"
"05966004";"Attendorn, Hansestadt";"Gemeinden";"17,68";"21,73";"23,91";"23,82";"26,63";"27,34";"28,91";"27,45"
"05966008";"Drolshagen, Stadt";"Gemeinden";"-29,21";"-27,61";"-33,56";"-32,15";"-35,97";"-57,41";"-52,46";"-54,29"
"05966012";"Finnentrop";"Gemeinden";"-19,16";"-21,88";"-24,80";"-35,51";"-38,36";"-38,93";"-38,52";"-37,29"
"05966016";"Kirchhundem";"Gemeinden";"-36,86";"-29,06";"-35,98";"-35,11";"-44,54";"-37,45";"-28,26";"-27,72"
"05966020";"Lennestadt, Stadt";"Gemeinden";"-15,36";"-11,67";"-11,16";"-13,47";"-10,96";"-8,32";"-12,47";"-14,14"
"05966024";"Olpe, Stadt";"Gemeinden";"17,93";"20,19";"22,38";"29,94";"35,22";"32,73";"36,54";"36,76"
"05966028";"Wenden";"Gemeinden";"-45,30";"-59,39";"-55,88";"-42,55";"-48,45";"-26,06";"-21,14";"-16,76"
"05970004";"Bad Berleburg, Stadt";"Gemeinden";"-9,73";"-10,53";"-14,79";"-25,93";"-16,57";"-7,41";"-4,23";"6,15"
"05970008";"Burbach";"Gemeinden";"16,77";"14,56";"9,86";"17,23";"19,26";"24,91";"20,98";"23,96"
"05970012";"Erndtebrück";"Gemeinden";"-2,82";"-1,51";"-1,37";"5,62";"14,59";"15,41";"15,62";"12,63"
"05970016";"Freudenberg, Stadt";"Gemeinden";"-12,78";"-9,58";"-16,74";"-19,43";"-25,87";"-19,00";"-13,19";"-15,18"
"05970020";"Hilchenbach, Stadt";"Gemeinden";"2,56";"2,74";"0,98";"-3,06";"-6,64";"-22,47";"-32,42";"-28,83"
"05970024";"Kreuztal, Stadt";"Gemeinden";"0,87";"-5,30";"-7,40";"-4,64";"-8,33";"-4,62";"-11,89";"-14,97"
"05970028";"Bad Laasphe, Stadt";"Gemeinden";"-18,60";"-14,56";"-12,25";"-14,31";"-37,88";"-42,36";"-52,66";"-64,91"
"05970032";"Netphen, Stadt";"Gemeinden";"-41,21";"-32,04";"-44,66";"-42,89";"-32,18";"-31,86";"-26,47";"-25,18"
"05970036";"Neunkirchen";"Gemeinden";"26,18";"26,93";"23,53";"20,37";"17,32";"18,33";"20,67";"15,99"
"05970040";"Siegen, Universitätsstadt";"Gemeinden";"25,26";"22,31";"23,83";"23,08";"22,98";"21,09";"20,95";"19,09"
"05970044";"Wilnsdorf";"Gemeinden";"-77,94";"-32,55";"-28,05";"-21,18";"-25,01";"-30,97";"-32,65";"-33,68"
"05974004";"Anröchte";"Gemeinden";"-58,02";"-68,49";"-72,54";"-70,71";"-54,25";"-35,87";"-27,18";"-29,73"
"05974008";"Bad Sassendorf";"Gemeinden";"-43,98";"-25,35";"-25,29";"-26,37";"-30,14";"-41,77";"-42,50";"-54,42"
"05974012";"Ense";"Gemeinden";"-33,43";"-30,83";"-41,46";"-40,68";"-32,08";"-22,62";"-26,96";"-21,29"
"05974016";"Erwitte, Stadt";"Gemeinden";"-26,20";"-10,74";"-16,69";"-25,41";"-35,64";"-34,55";"-41,68";"-42,77"
"05974020";"Geseke, Stadt";"Gemeinden";"-25,41";"-46,58";"-66,77";"-70,16";"-72,54";"-65,30";"-69,74";"-66,08"
"05974024";"Lippetal";"Gemeinden";"-146,42";"-148,57";"-148,73";"-160,46";"-128,67";"-129,31";"-122,16";"-116,48"
"05974028";"Lippstadt, Stadt";"Gemeinden";"14,14";"17,52";"18,60";"19,77";"24,16";"20,79";"17,81";"14,72"
"05974032";"Möhnesee";"Gemeinden";"-24,95";"-35,71";"-44,39";"-47,60";"-53,31";"-64,19";"-60,27";"-65,38"
"05974036";"Rüthen, Stadt";"Gemeinden";"-77,76";"-71,94";"-73,13";"-72,48";"-61,27";"-62,34";"-64,87";"-74,30"
"05974040";"Soest, Stadt";"Gemeinden";"23,51";"21,75";"23,35";"22,05";"19,11";"20,45";"22,67";"21,91"
"05974044";"Warstein, Stadt";"Gemeinden";"-2,83";"-2,63";"-4,94";"-1,97";"-1,14";"-6,60";"-6,07";"-3,45"
"05974048";"Welver";"Gemeinden";"-343,88";"-324,63";"-341,90";"-335,50";"-283,61";"-258,29";"-266,29";"-282,99"
"05974052";"Werl, Stadt";"Gemeinden";"0,26";"0,81";"-2,39";"-4,68";"-11,96";"-22,59";"-25,66";"-20,91"
"05974056";"Wickede (Ruhr)";"Gemeinden";"-1,83";"7,68";"7,34";"5,86";"-3,08";"6,06";"2,59";"1,35"
"05978004";"Bergkamen, Stadt";"Gemeinden";"-51,14";"-73,52";"-80,40";"-84,66";"-68,45";"-80,06";"-74,07";"-78,73"
"05978008";"Bönen";"Gemeinden";"-118,22";"-30,76";"-5,53";"12,22";"12,69";"18,27";"16,98";"19,12"
"05978012";"Fröndenberg/Ruhr, Stadt";"Gemeinden";"-69,89";"-94,89";"-113,59";"-97,94";"-90,79";"-79,91";"-83,16";"-86,35"
"05978016";"Holzwickede";"Gemeinden";"-45,57";"-29,59";"15,46";"32,30";"36,99";"42,61";"36,17";"33,69"
"05978020";"Kamen, Stadt";"Gemeinden";"-29,20";"-37,91";"-40,01";"-41,60";"-37,73";"-28,88";"-28,70";"-30,23"
"05978024";"Lünen, Stadt";"Gemeinden";"-32,02";"-30,67";"-34,85";"-32,55";"-28,62";"-26,00";"-24,30";"-23,69"
"05978028";"Schwerte, Hansestadt an der Ruhr";"Gemeinden";"-20,78";"-18,53";"-19,01";"-24,94";"-26,83";"-23,73";"-29,05";"-30,80"
"05978032";"Selm, Stadt";"Gemeinden";"-99,44";"-101,61";"-100,46";"-104,40";"-102,32";"-93,98";"-83,55";"-78,09"
"05978036";"Unna, Stadt";"Gemeinden";"14,71";"16,16";"15,96";"14,32";"15,98";"20,87";"19,90";"21,64"
"05978040";"Werne, Stadt";"Gemeinden";"-16,58";"-12,82";"-21,30";"-32,36";"-10,25";"-8,19";"-1,11";"0,28"
"06411000";"Darmstadt, Wissenschaftsstadt";"Gemeinden";"46,50";"44,56";"45,38";"43,94";"43,14";"40,00";"39,82";"39,28"
"06412000";"Frankfurt am Main, Stadt";"Gemeinden";"51,90";"52,60";"52,86";"52,65";"50,16";"47,34";"46,84";"46,94"
"06413000";"Offenbach am Main, Stadt";"Gemeinden";"12,17";"12,75";"17,28";"14,15";"4,67";"-7,81";"-18,79";"-22,76"
"06414000";"Wiesbaden, Landeshauptstadt";"Gemeinden";"23,28";"24,03";"26,37";"25,93";"21,79";"20,40";"20,77";"21,92"
"06431001";"Abtsteinach";"Gemeinden";"-214,71";"-193,46";"-155,10";"-138,71";"-122,22";"-104,55";"-93,40";"-87,07"
"06431002";"Bensheim, Stadt";"Gemeinden";"1,46";"6,43";"12,07";"13,46";"17,40";"19,33";"19,39";"18,56"
"06431003";"Biblis";"Gemeinden";"-85,62";"-97,15";"-94,89";"-95,81";"-113,43";"-142,49";"-126,89";"-119,86"
"06431004";"Birkenau";"Gemeinden";"-220,84";"-263,22";"-279,03";"-273,44";"-238,36";"-208,77";"-224,87";"-208,16"
"06431005";"Bürstadt, Stadt";"Gemeinden";"-82,89";"-102,05";"-117,31";"-122,10";"-91,99";"-86,22";"-50,50";"-52,92"
"06431006";"Einhausen";"Gemeinden";"-164,59";"-176,21";"-181,82";"-196,24";"-247,44";"-198,72";"-151,08";"-159,09"
"06431007";"Fürth";"Gemeinden";"-118,55";"-130,83";"-125,51";"-109,97";"-106,59";"-85,45";"-86,81";"-84,38"
"06431008";"Gorxheimertal";"Gemeinden";"-323,21";"-368,34";"-403,48";"-496,64";"-470,66";"-382,66";"-521,62";"-584,13"
"06431009";"Grasellenbach";"Gemeinden";"-50,36";"-50,36";"-53,57";"-67,55";"-86,49";"-99,22";"-105,49";"-95,76"
"06431010";"Groß-Rohrheim";"Gemeinden";"-73,69";"-32,44";"-47,95";"-62,84";"-52,03";"-46,70";"-18,09";"-15,88"
"06431011";"Heppenheim (Bergstraße), Kreisstadt";"Gemeinden";"12,17";"14,79";"18,07";"18,34";"9,96";"5,77";"4,02";"0,56"
"06431012";"Hirschhorn (Neckar), Stadt";"Gemeinden";"19,41";"3,43";"-9,92";"-9,05";"-9,11";"-9,70";"-22,75";"-19,78"
"06431013";"Lampertheim, Stadt";"Gemeinden";"-49,59";"-41,25";"-41,77";"-57,88";"-53,21";"-54,75";"-57,25";"-57,47"
"06431014";"Lautertal (Odenwald)";"Gemeinden";"-151,25";"-193,97";"-189,44";"-194,28";"-178,22";"-149,50";"-165,98";"-179,77"
"06431015";"Lindenfels, Stadt";"Gemeinden";"-49,53";"-48,09";"-65,85";"-65,71";"-90,61";"-153,04";"-163,95";"-171,43"
"06431016";"Lorsch, Karolingerstadt";"Gemeinden";"-61,32";"-72,20";"-68,34";"-86,93";"-57,46";"-40,85";"-37,71";"-35,81"
"06431017";"Mörlenbach";"Gemeinden";"-107,54";"-142,86";"-134,99";"-144,29";"-138,51";"-125,06";"-129,88";"-133,26"
"06431018";"Neckarsteinach, Stadt";"Gemeinden";"-60,84";"-70,20";"-53,84";"-78,35";"-76,50";"-69,99";"-79,76";"-94,11"
"06431019";"Rimbach";"Gemeinden";"-149,80";"-124,55";"-132,22";"-125,98";"-129,71";"-130,88";"-114,62";"-114,28"
"06431020";"Viernheim, Stadt";"Gemeinden";"-35,24";"-27,95";"-24,69";"-29,95";"-39,73";"-38,59";"-43,28";"-43,09"
"06431021";"Wald-Michelbach";"Gemeinden";"-60,23";"-64,64";"-86,60";"-122,05";"-113,03";"-94,77";"-90,85";"-93,61"
"06431022";"Zwingenberg, Stadt";"Gemeinden";"-198,21";"-154,66";"-156,78";"-118,80";"-103,00";"-91,76";"-115,64";"-162,08"
"06431200";"Michelbuch, gemfr. Gebiet";"Gemeinden";"0,00";"0,00";"0,00";"0,00";;;;
"06432001";"Alsbach-Hähnlein";"Gemeinden";"-17,69";"-23,00";"-55,22";"-14,81";"-15,45";"-44,77";"-45,02";"-48,38"
"06432002";"Babenhausen, Stadt";"Gemeinden";"-18,36";"-8,69";"3,48";"-3,68";"-8,35";"-2,53";"-10,17";"-25,20"
"06432003";"Bickenbach";"Gemeinden";"-182,50";"-134,69";"-135,53";"-117,48";"-55,44";"-38,87";"-80,93";"-83,07"
"06432004";"Dieburg, Stadt";"Gemeinden";"23,09";"21,26";"19,87";"21,88";"26,86";"27,73";"27,32";"27,54"
"06432005";"Eppertshausen";"Gemeinden";"-95,08";"-87,06";"-87,61";"-78,54";"-81,15";"-65,74";"-50,63";"-35,59"
"06432006";"Erzhausen";"Gemeinden";"-353,21";"-274,37";"-305,68";"-318,82";"-262,77";"-284,39";"-249,32";"-247,87"
"06432007";"Fischbachtal";"Gemeinden";"-272,52";"-223,05";"-205,80";"-275,41";"-346,54";"-301,56";"-390,18";"-406,02"
"06432008";"Griesheim, Stadt";"Gemeinden";"-48,51";"-92,03";"-91,94";"-96,20";"-89,37";"-78,99";"-71,42";"-63,97"
"06432009";"Groß-Bieberau, Stadt";"Gemeinden";"7,64";"-3,28";"-33,66";"-36,84";"-43,02";"-40,51";"-31,81";"-37,48"
"06432010";"Groß-Umstadt, Stadt";"Gemeinden";"-58,49";"-51,06";"-47,47";"-42,11";"-29,58";"-25,67";"-21,99";"-34,46"
"06432011";"Groß-Zimmern";"Gemeinden";"-143,37";"-169,44";"-175,72";"-187,64";"-150,98";"-114,57";"-116,20";"-128,13"
"06432012";"Messel";"Gemeinden";"-139,43";"-95,34";"-94,53";"-117,67";"-123,31";"-133,68";"-152,28";"-166,25"
"06432013";"Modautal";"Gemeinden";"-193,59";"-178,60";"-153,99";"-161,14";"-128,17";"-115,64";"-121,78";"-123,78"
"06432014";"Mühltal";"Gemeinden";"-68,71";"-51,78";"-43,64";"-42,26";"-23,82";"-15,30";"8,43";"18,78"
"06432015";"Münster (Hessen)";"Gemeinden";"-301,18";"-278,60";"-294,79";"-293,97";"-275,36";"-261,56";"-254,13";"-220,40"
"06432016";"Ober-Ramstadt, Stadt";"Gemeinden";"-55,73";"-54,99";"-51,52";"-42,13";"-40,73";"-42,86";"-31,50";"-30,92"
"06432017";"Otzberg";"Gemeinden";"-344,81";"-304,30";"-221,25";"-216,44";"-193,71";"-191,18";"-159,54";"-195,19"
"06432018";"Pfungstadt, Stadt";"Gemeinden";"-44,56";"-48,09";"-58,60";"-45,86";"-84,49";"-87,79";"-91,12";"-67,77"
"06432019";"Reinheim, Stadt";"Gemeinden";"-111,00";"-107,70";"-142,18";"-159,11";"-158,32";"-175,01";"-176,44";"-160,78"
"06432020";"Roßdorf";"Gemeinden";"-89,41";"-76,75";"-93,04";"-99,31";"-95,48";"-81,74";"-68,93";"-62,86"
"06432021";"Schaafheim";"Gemeinden";"-212,40";"-301,42";"-270,29";"-256,77";"-261,88";"-255,44";"-228,64";"-229,36"
"06432022";"Seeheim-Jugenheim";"Gemeinden";"-121,71";"-98,96";"-110,73";"-105,05";"-109,69";"-108,31";"-99,90";"-122,86"
"06432023";"Weiterstadt, Stadt";"Gemeinden";"-31,99";"-19,94";"-7,62";"-13,00";"-8,83";"-8,79";"-13,81";"-9,96"
"06433001";"Biebesheim am Rhein";"Gemeinden";"-12,88";"-17,87";"-22,05";"-27,17";"-18,91";"-23,13";"-10,59";"-6,52"
"06433002";"Bischofsheim";"Gemeinden";"-131,62";"-111,12";"-124,50";"-147,80";"-140,09";"-141,65";"-106,50";"-87,96"
"06433003";"Büttelborn";"Gemeinden";"-335,56";"-238,56";"-232,81";"-241,79";"-194,52";"-139,51";"-106,76";"-98,64"
"06433004";"Gernsheim, Schöfferstadt";"Gemeinden";"-17,05";"-7,67";"-8,30";"-11,48";"-19,73";"-2,88";"7,41";"-3,83"
"06433005";"Ginsheim-Gustavsburg, Stadt";"Gemeinden";"-66,05";"-44,77";"-33,11";"-27,88";"-19,46";"-21,20";"-31,41";"-43,18"
"06433006";"Groß-Gerau, Stadt";"Gemeinden";"4,81";"2,27";"5,85";"11,00";"11,50";"10,21";"12,10";"11,72"
"06433007";"Kelsterbach, Stadt";"Gemeinden";"42,58";"48,31";"56,69";"45,93";"8,70";"0,47";"12,12";"14,37"
"06433008";"Mörfelden-Walldorf, Stadt";"Gemeinden";"-44,65";"-17,54";"-21,31";"-11,84";"-4,28";"-4,90";"-20,91";"-22,95"
"06433009";"Nauheim";"Gemeinden";"-183,86";"-167,35";"-191,60";"-167,98";"-193,54";"-182,20";"-181,09";"-188,61"
"06433010";"Raunheim, Stadt";"Gemeinden";"-39,67";"-21,65";"-29,66";"-24,97";"-21,68";"-6,99";"18,28";"31,20"
"06433011";"Riedstadt, Büchnerstadt";"Gemeinden";"-140,51";"-153,10";"-148,50";"-153,06";"-121,57";"-103,85";"-86,02";"-78,84"
"06433012";"Rüsselsheim am Main, Stadt";"Gemeinden";"44,31";"42,40";"42,14";"36,56";"32,87";"28,33";"12,10";"6,46"
"06433013";"Stockstadt am Rhein";"Gemeinden";"-128,20";"-88,33";"-139,91";"-113,33";"-119,10";"-113,22";"-96,03";"-98,39"
"06433014";"Trebur";"Gemeinden";"-143,99";"-203,17";"-187,24";"-253,48";"-223,48";"-186,58";"-174,85";"-165,71"
"06434001";"Bad Homburg v. d. Höhe, Stadt";"Gemeinden";"26,97";"35,61";"39,42";"40,24";"41,70";"44,80";"42,31";"40,54"
"06434002";"Friedrichsdorf, Stadt";"Gemeinden";"-27,68";"-31,55";"-30,96";"-27,22";"-25,63";"-22,25";"-31,31";"-35,02"
"06434003";"Glashütten";"Gemeinden";"-391,67";"-366,10";"-348,32";"-277,40";"-259,14";"-231,88";"-212,87";"-241,42"
"06434004";"Grävenwiesbach";"Gemeinden";"-172,34";"-204,31";"-211,24";"-186,60";"-160,05";"-138,83";"-177,04";"-184,66"
"06434005";"Königstein im Taunus, Stadt";"Gemeinden";"-50,77";"-29,85";"-14,54";"-2,25";"-1,08";"-3,71";"-2,43";"-6,50"
"06434006";"Kronberg im Taunus, Stadt";"Gemeinden";"4,46";"21,00";"48,74";"47,69";"44,30";"50,90";"60,77";"67,42"
"06434007";"Neu-Anspach, Stadt";"Gemeinden";"-170,14";"-174,09";"-185,81";"-178,88";"-151,89";"-127,71";"-113,80";"-105,08"
"06434008";"Oberursel (Taunus), Stadt";"Gemeinden";"15,16";"12,16";"10,57";"11,88";"16,11";"13,93";"6,21";"1,26"
"06434009";"Schmitten im Taunus";"Gemeinden";"-123,89";"-133,05";"-148,28";"-147,89";"-146,01";"-177,96";"-177,29";"-202,45"
