Kennziffer;Raumeinheit;Aggregat;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"08127";"Schwäbisch Hall";"Kreise";"7,84";"7,38";"6,78";"6,75";"6,81";"7,11";"10,58";"12,86";"14,83"
"08128";"Main-Tauber-Kreis";"Kreise";"5,97";"5,62";"4,94";"4,80";"4,81";"5,02";"8,68";"10,40";"12,25"
"08135";"Heidenheim";"Kreise";"11,99";"11,64";"10,57";"10,15";"9,86";"10,09";"14,60";"16,72";"18,62"
"08136";"Ostalbkreis";"Kreise";"9,64";"9,13";"8,25";"8,10";"7,99";"8,12";"10,48";"11,65";"12,95"
"08211";"Baden-Baden, Stadtkreis";"Kreise";"11,34";"11,41";"11,58";"11,94";"12,77";"14,40";"18,82";"21,03";"24,21"
"08212";"Karlsruhe, Stadtkreis";"Kreise";"12,60";"13,77";"14,97";"15,23";"15,06";"15,87";"18,55";"18,88";"20,01"
"08215";"Karlsruhe";"Kreise";"9,82";"9,33";"8,96";"8,76";"8,67";"9,70";"12,83";"14,30";"15,65"
"08216";"Rastatt";"Kreise";"25,85";"8,96";"8,82";"8,80";"8,77";"9,64";"13,29";"15,17";"16,75"
"08221";"Heidelberg, Stadtkreis";"Kreise";"16,03";"15,90";"16,79";"16,67";"17,30";"17,73";"20,55";"19,11";"21,52"
"08222";"Mannheim, Stadtkreis";"Kreise";"20,03";"21,22";"22,53";"22,53";"23,30";"20,33";"23,26";"24,58";"27,31"
"08225";"Neckar-Odenwald-Kreis";"Kreise";"7,68";"7,09";"6,46";"6,17";"6,12";"6,42";"9,47";"10,86";"12,38"
"08226";"Rhein-Neckar-Kreis";"Kreise";"10,68";"10,55";"10,02";"9,84";"9,79";"9,71";"12,27";"13,20";"14,56"
"08231";"Pforzheim, Stadtkreis";"Kreise";"17,48";"17,36";"17,65";"17,87";"18,43";"19,90";"25,29";"28,17";"30,60"
"08235";"Calw";"Kreise";"13,46";"12,39";"11,51";"10,91";"10,59";"11,10";"14,58";"16,13";"17,21"
"08236";"Enzkreis";"Kreise";"10,98";"10,56";"10,39";"9,52";"9,19";"10,06";"12,78";"13,68";"14,79"
"08237";"Freudenstadt";"Kreise";"9,05";"9,33";"9,07";"8,80";"8,89";"7,86";"11,28";"13,03";"15,00"
"08311";"Freiburg im Breisgau, Stadtkreis";"Kreise";"12,64";"12,98";"13,72";"14,11";"14,07";"14,25";"17,13";"17,24";"18,06"
"08315";"Breisgau-Hochschwarzwald";"Kreise";"7,52";"7,31";"7,17";"7,02";"7,10";"7,95";"11,57";"12,54";"14,11"
"08316";"Emmendingen";"Kreise";"5,89";"5,88";"6,17";"6,32";"6,37";"7,03";"10,03";"11,50";"13,17"
"08317";"Ortenaukreis";"Kreise";"7,54";"7,30";"7,13";"7,14";"7,46";"7,68";"10,98";"13,01";"14,90"
"08325";"Rottweil";"Kreise";"8,54";"8,12";"7,87";"7,79";"7,87";"7,49";"11,01";"12,63";"14,36"
"08326";"Schwarzwald-Baar-Kreis";"Kreise";"11,89";"11,72";"11,04";"10,65";"10,41";"10,98";"14,68";"16,81";"18,85"
"08327";"Tuttlingen";"Kreise";"11,83";"11,46";"11,03";"10,78";"10,75";"11,08";"15,75";"18,10";"19,75"
"08335";"Konstanz";"Kreise";"12,06";"11,93";"11,84";"11,61";"11,52";"11,30";"14,61";"15,97";"17,35"
"08336";"Lörrach";"Kreise";"11,42";"11,22";"11,12";"11,16";"11,20";"11,60";"14,57";"16,30";"18,29"
"08337";"Waldshut";"Kreise";"11,20";"10,84";"10,69";"10,65";"10,63";"11,46";"15,04";"16,67";"18,31"
"08415";"Reutlingen";"Kreise";"13,45";"13,22";"12,67";"12,28";"11,89";"12,04";"15,26";"16,45";"17,72"
"08416";"Tübingen";"Kreise";"13,42";"12,92";"12,49";"12,03";"11,40";"10,70";"13,28";"13,92";"15,06"
"08417";"Zollernalbkreis";"Kreise";"10,84";"10,42";"9,60";"9,16";"8,97";"9,31";"12,14";"13,92";"15,06"
"08421";"Ulm, Stadtkreis";"Kreise";"17,88";"17,95";"17,72";"17,17";"16,91";"16,10";"19,31";"20,97";"23,70"
"08425";"Alb-Donau-Kreis";"Kreise";"10,52";"9,78";"9,19";"8,92";"8,74";"9,16";"12,61";"14,35";"15,45"
"08426";"Biberach";"Kreise";"6,35";"5,91";"5,67";"5,59";"5,72";"6,34";"10,02";"11,43";"13,05"
"08435";"Bodenseekreis";"Kreise";"10,67";"10,25";"9,58";"9,42";"9,47";"9,88";"12,86";"14,34";"16,18"
"08436";"Ravensburg";"Kreise";"9,21";"8,91";"8,24";"8,23";"8,16";"7,73";"10,73";"11,97";"13,55"
"08437";"Sigmaringen";"Kreise";"8,57";"8,21";"7,63";"7,47";"7,51";"7,04";"10,29";"11,73";"12,94"
"09161";"Ingolstadt";"Kreise";"16,03";"15,70";"15,41";"15,27";"14,78";"14,34";"17,61";"20,07";"23,11"
"09162";"München, Landeshauptstadt";"Kreise";"24,58";"22,59";"23,78";"24,02";"22,95";"23,02";"25,53";"26,59";"27,95"
"09163";"Rosenheim, Stadt";"Kreise";"16,06";"15,85";"15,69";"15,66";"16,03";"16,81";"20,48";"22,47";"23,78"
"09171";"Altötting";"Kreise";"6,68";"6,52";"6,56";"6,49";"6,79";"7,27";"10,77";"12,66";"13,97"
"09172";"Berchtesgadener Land";"Kreise";"10,06";"10,18";"10,90";"11,36";"11,61";"12,66";"15,66";"17,12";"17,74"
"09173";"Bad Tölz-Wolfratshausen";"Kreise";"8,32";"7,86";"8,12";"8,25";"8,08";"8,82";"12,23";"12,96";"13,89"
"09174";"Dachau";"Kreise";"10,68";"10,79";"11,22";"11,26";"11,18";"12,24";"15,36";"16,50";"16,97"
"09175";"Ebersberg";"Kreise";"8,63";"8,27";"8,72";"8,42";"8,65";"9,51";"12,91";"14,69";"15,63"
"09176";"Eichstätt";"Kreise";"5,36";"5,38";"5,89";"5,36";"5,56";"5,73";"8,91";"9,37";"10,55"
"09177";"Erding";"Kreise";"7,72";"7,38";"7,38";"7,04";"6,78";"8,14";"11,15";"12,72";"13,81"
"09178";"Freising";"Kreise";"12,10";"12,34";"12,53";"12,00";"11,36";"12,71";"16,78";"18,66";"19,97"
"09179";"Fürstenfeldbruck";"Kreise";"9,08";"8,94";"9,48";"9,43";"9,15";"10,22";"14,30";"15,79";"17,48"
"09180";"Garmisch-Partenkirchen";"Kreise";"9,54";"9,14";"9,16";"8,73";"8,56";"9,17";"12,71";"13,46";"14,32"
"09181";"Landsberg am Lech";"Kreise";"6,34";"6,18";"6,37";"6,03";"5,88";"5,73";"8,33";"9,26";"10,26"
"09182";"Miesbach";"Kreise";"8,06";"7,80";"7,92";"7,76";"7,72";"9,48";"12,08";"12,57";"13,47"
"09183";"Mühldorf a.Inn";"Kreise";"6,95";"6,29";"6,56";"6,46";"6,64";"7,55";"11,47";"13,29";"14,60"
"09184";"München";"Kreise";"12,63";"12,46";"12,89";"12,65";"12,18";"13,48";"17,11";"18,49";"20,21"
"09185";"Neuburg-Schrobenhausen";"Kreise";"6,33";"6,21";"6,81";"6,85";"6,99";"7,02";"9,97";"11,24";"12,65"
"09186";"Pfaffenhofen a.d.Ilm";"Kreise";"6,83";"6,37";"6,50";"6,46";"6,62";"7,54";"10,84";"12,19";"13,20"
"09187";"Rosenheim";"Kreise";"7,18";"6,83";"7,03";"6,92";"7,00";"7,37";"10,00";"10,50";"11,45"
"09188";"Starnberg";"Kreise";"10,09";"9,95";"10,68";"10,43";"10,21";"10,74";"13,93";"14,72";"16,00"
"09189";"Traunstein";"Kreise";"6,17";"5,99";"6,19";"6,28";"6,39";"6,64";"9,69";"10,47";"11,27"
"09190";"Weilheim-Schongau";"Kreise";"7,17";"7,06";"7,22";"7,02";"6,70";"6,78";"9,21";"9,72";"10,88"
"09261";"Landshut, Stadt";"Kreise";"10,93";"11,13";"11,39";"11,16";"10,87";"12,46";"17,49";"20,97";"22,04"
"09262";"Passau, Stadt";"Kreise";"8,21";"7,97";"8,98";"9,42";"9,92";"9,09";"14,15";"18,23";"21,55"
"09263";"Straubing";"Kreise";"9,50";"10,30";"10,77";"10,77";"10,48";"9,81";"15,40";"18,86";"21,90"
"09271";"Deggendorf";"Kreise";"4,38";"4,32";"4,59";"4,68";"4,91";"5,15";"8,43";"10,78";"12,20"
"09272";"Freyung-Grafenau";"Kreise";"2,20";"2,28";"2,50";"2,40";"2,52";"2,64";"4,52";"5,83";"6,99"
"09273";"Kelheim";"Kreise";"6,92";"6,93";"6,50";"6,49";"6,23";"7,25";"11,70";"13,32";"14,40"
"09274";"Landshut";"Kreise";"4,58";"4,50";"4,88";"4,83";"4,72";"5,88";"9,31";"10,81";"11,44"
"09275";"Passau";"Kreise";"4,00";"3,69";"4,06";"4,31";"4,32";"4,30";"7,29";"9,12";"10,36"
"09276";"Regen";"Kreise";"4,20";"4,47";"4,86";"4,82";"5,01";"2,91";"5,92";"6,95";"8,14"
"09277";"Rottal-Inn";"Kreise";"4,25";"4,15";"4,58";"4,56";"4,80";"6,25";"9,49";"11,36";"11,76"
"09278";"Straubing-Bogen";"Kreise";"3,46";"3,38";"3,19";"3,15";"3,56";"4,19";"6,88";"8,19";"9,08"
"09279";"Dingolfing-Landau";"Kreise";"6,26";"6,30";"6,74";"6,66";"6,85";"7,04";"11,53";"13,30";"15,25"
"09361";"Amberg";"Kreise";"6,85";"5,64";"6,60";"6,87";"7,07";"6,56";"10,49";"12,58";"13,76"
"09362";"Regensburg, Stadt";"Kreise";"10,06";"10,05";"11,08";"11,17";"10,71";"11,56";"15,84";"17,75";"20,50"
"09363";"Weiden i.d.OPf.";"Kreise";"6,73";"5,46";"6,05";"6,43";"6,62";"6,67";"10,82";"14,11";"15,98"
"09371";"Amberg-Sulzbach";"Kreise";"3,41";"3,44";"3,77";"3,62";"3,74";"3,45";"5,42";"7,01";"7,82"
"09372";"Cham";"Kreise";"2,78";"2,73";"2,95";"2,97";"3,07";"2,97";"5,40";"6,62";"8,20"
"09373";"Neumarkt i.d.OPf.";"Kreise";"4,37";"4,12";"4,27";"4,32";"4,36";"5,20";"8,19";"9,80";"10,83"
"09374";"Neustadt a.d.Waldnaab";"Kreise";"3,06";"3,14";"3,30";"3,09";"2,99";"3,06";"4,46";"6,10";"6,83"
"09375";"Regensburg";"Kreise";"3,76";"3,76";"4,04";"4,06";"4,01";"5,02";"8,07";"9,40";"10,46"
"09376";"Schwandorf";"Kreise";"3,06";"3,28";"3,66";"3,81";"4,08";"4,34";"7,50";"9,35";"10,58"
"09377";"Tirschenreuth";"Kreise";"2,50";"2,67";"2,69";"2,71";"2,87";"2,44";"4,15";"5,10";"6,23"
"09461";"Bamberg, Stadt";"Kreise";"7,80";"8,14";"8,64";"8,93";"8,25";"8,42";"14,20";"16,22";"17,63"
"09462";"Bayreuth, Stadt";"Kreise";"7,58";"8,18";"8,40";"8,93";"8,57";"7,96";"11,09";"13,75";"15,17"
"09463";"Coburg, Stadt";"Kreise";"8,69";"8,53";"8,76";"8,58";"8,42";"7,00";"10,65";"12,36";"14,45"
"09464";"Hof, Stadt";"Kreise";"11,29";"11,65";"11,58";"11,32";"10,54";"10,66";"16,37";"19,06";"22,77"
"09471";"Bamberg";"Kreise";"2,87";"2,76";"3,12";"3,04";"2,94";"2,79";"4,70";"5,51";"6,69"
"09472";"Bayreuth";"Kreise";"4,45";"4,11";"3,90";"3,83";"3,81";"2,47";"3,65";"4,24";"5,73"
"09473";"Coburg";"Kreise";"4,15";"4,09";"3,96";"3,87";"3,72";"3,32";"5,26";"5,83";"6,89"
"09474";"Forchheim";"Kreise";"5,32";"5,24";"5,14";"4,97";"4,85";"4,47";"6,50";"7,16";"9,01"
"09475";"Hof";"Kreise";"4,34";"4,12";"3,96";"3,93";"3,82";"3,63";"5,54";"6,46";"7,72"
"09476";"Kronach";"Kreise";"3,46";"3,55";"3,66";"3,70";"3,63";"2,76";"4,69";"5,70";"7,40"
"09477";"Kulmbach";"Kreise";"3,97";"3,71";"3,51";"3,32";"3,12";"2,66";"4,54";"5,85";"7,60"
"09478";"Lichtenfels";"Kreise";"4,51";"4,33";"4,17";"4,02";"3,81";"3,05";"5,31";"6,93";"8,82"
"09479";"Wunsiedel i.Fichtelgebirge";"Kreise";"6,66";"6,91";"6,83";"6,50";"6,39";"5,02";"8,08";"8,96";"10,31"
"09561";"Ansbach, Stadt";"Kreise";"10,30";"10,06";"10,49";"10,65";"9,93";"7,37";"12,87";"15,54";"16,99"
"09562";"Erlangen";"Kreise";"14,78";"14,60";"15,09";"15,03";"14,71";"12,97";"17,20";"19,99";"22,92"
"09563";"Fürth, Stadt";"Kreise";"15,48";"14,37";"15,09";"14,23";"12,65";"14,75";"18,72";"20,15";"21,39"
"09564";"Nürnberg";"Kreise";"16,86";"17,79";"18,00";"17,76";"16,42";"17,81";"21,91";"23,94";"25,71"
"09565";"Schwabach";"Kreise";"9,93";"9,81";"10,00";"9,63";"9,06";"9,05";"12,11";"14,22";"14,23"
"09571";"Ansbach";"Kreise";"5,13";"5,03";"5,13";"5,01";"4,97";"5,21";"8,13";"9,49";"10,32"
"09572";"Erlangen-Höchstadt";"Kreise";"5,37";"5,61";"5,77";"5,82";"5,62";"5,99";"8,24";"9,41";"10,30"
"09573";"Fürth";"Kreise";"7,26";"7,79";"4,55";"4,51";"4,57";"5,62";"6,46";"8,19";"9,39"
"09574";"Nürnberger Land";"Kreise";"8,04";"7,66";"7,69";"7,47";"7,25";"5,99";"8,57";"9,35";"10,09"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Kreise";"4,00";"3,89";"4,25";"4,24";"4,19";"4,23";"7,49";"9,13";"10,07"
"09576";"Roth";"Kreise";"4,36";"4,23";"4,22";"4,29";"4,10";"4,35";"6,86";"7,53";"8,28"
"09577";"Weißenburg-Gunzenhausen";"Kreise";"6,12";"6,05";"5,85";"5,73";"5,64";"5,69";"8,81";"10,28";"11,00"
"09661";"Aschaffenburg, Stadt";"Kreise";"13,73";"14,22";"14,65";"14,67";"15,19";"12,81";"15,93";"18,21";"19,42"
"09662";"Schweinfurt, Stadt";"Kreise";"13,77";"14,99";"15,07";"15,24";"14,89";"11,75";"17,71";"20,21";"22,05"
"09663";"Würzburg, Stadt";"Kreise";"10,36";"11,58";"13,09";"13,25";"12,52";"8,64";"11,25";"12,83";"14,93"
"09671";"Aschaffenburg";"Kreise";"7,19";"7,29";"7,36";"7,15";"6,85";"6,98";"9,05";"10,02";"10,77"
"09672";"Bad Kissingen";"Kreise";"3,19";"3,02";"3,46";"3,43";"3,25";"3,00";"5,28";"6,60";"8,23"
"09673";"Rhön-Grabfeld";"Kreise";"2,76";"2,87";"3,38";"3,50";"3,24";"2,61";"4,64";"5,73";"7,21"
"09674";"Haßberge";"Kreise";"2,63";"2,62";"2,55";"2,76";"2,68";"2,50";"4,49";"5,02";"6,28"
"09675";"Kitzingen";"Kreise";"5,30";"4,99";"5,08";"5,20";"4,72";"5,28";"8,60";"10,25";"11,23"
"09676";"Miltenberg";"Kreise";"11,08";"10,86";"10,34";"9,91";"9,34";"8,76";"10,81";"11,78";"12,37"
"09677";"Main-Spessart";"Kreise";"5,16";"4,99";"5,33";"5,50";"5,35";"4,59";"6,60";"7,80";"8,89"
"09678";"Schweinfurt";"Kreise";"3,29";"3,48";"3,85";"3,74";"3,67";"3,25";"5,55";"7,26";"7,62"
"09679";"Würzburg";"Kreise";"4,05";"3,93";"4,04";"4,01";"4,01";"3,97";"6,01";"7,10";"8,19"
"09761";"Augsburg, Stadt";"Kreise";"17,35";"17,77";"18,03";"17,66";"17,14";"17,39";"20,97";"23,21";"24,69"
"09762";"Kaufbeuren";"Kreise";"10,05";"9,87";"9,49";"9,12";"9,35";"10,52";"14,74";"17,87";"19,24"
"09763";"Kempten (Allgäu)";"Kreise";"12,69";"12,97";"12,43";"11,65";"11,07";"12,26";"15,93";"17,39";"18,54"
"09764";"Memmingen";"Kreise";"14,42";"13,96";"13,62";"13,39";"13,39";"13,31";"17,78";"20,89";"21,49"
"09771";"Aichach-Friedberg";"Kreise";"5,86";"5,44";"5,44";"5,44";"5,38";"5,70";"8,00";"9,11";"10,53"
"09772";"Augsburg";"Kreise";"7,34";"7,05";"6,86";"6,50";"6,25";"6,64";"9,25";"10,77";"11,69"
"09773";"Dillingen a.d.Donau";"Kreise";"6,14";"5,86";"6,20";"6,29";"6,36";"5,98";"8,94";"10,85";"11,99"
"09774";"Günzburg";"Kreise";"10,05";"9,96";"9,58";"9,39";"9,13";"9,36";"12,38";"14,80";"15,63"
"09775";"Neu-Ulm";"Kreise";"12,31";"11,85";"11,66";"11,81";"11,93";"10,99";"14,10";"15,97";"16,80"
"09776";"Lindau (Bodensee)";"Kreise";"10,30";"10,66";"11,06";"11,12";"11,10";"9,95";"12,89";"13,91";"15,03"
"09777";"Ostallgäu";"Kreise";"5,91";"5,58";"5,66";"5,63";"5,69";"6,11";"8,41";"9,40";"10,12"
"09778";"Unterallgäu";"Kreise";"5,76";"5,38";"5,44";"5,46";"5,47";"5,78";"8,75";"10,44";"11,63"
"09779";"Donau-Ries";"Kreise";"5,62";"5,50";"5,39";"5,29";"5,23";"5,96";"9,21";"10,60";"11,79"
"09780";"Oberallgäu";"Kreise";"7,71";"7,25";"7,14";"7,13";"7,03";"6,30";"8,42";"9,08";"9,65"
"10041";"Regionalverband Saarbrücken";"Kreise";"10,22";"10,81";"11,72";"11,36";"11,09";"10,16";"13,92";"16,28";"19,27"
"10042";"Merzig-Wadern";"Kreise";"6,06";"5,84";"5,68";"6,09";"7,50";"7,80";"11,08";"13,02";"15,04"
"10043";"Neunkirchen";"Kreise";"6,56";"6,82";"7,13";"6,94";"6,73";"5,44";"9,17";"10,81";"12,99"
"10044";"Saarlouis";"Kreise";"8,62";"8,26";"8,51";"8,48";"8,22";"7,17";"9,79";"10,88";"13,02"
"10045";"Saarpfalz-Kreis";"Kreise";"6,62";"6,73";"6,98";"6,89";"6,77";"5,98";"8,75";"10,09";"12,09"
"10046";"St. Wendel";"Kreise";"4,36";"4,16";"4,07";"4,15";"4,07";"2,80";"5,11";"5,92";"8,04"
"11000";"Berlin, Stadt";"Kreise";"12,25";"12,70";"13,11";"13,74";"13,75";"13,42";"17,65";"20,18";"21,86"
"12051";"Brandenburg an der Havel, Stadt";"Kreise";"2,31";"2,49";"2,80";"2,79";"2,70";"2,13";"4,78";"6,36";"8,32"
"12052";"Cottbus, Stadt";"Kreise";"2,83";"3,65";"3,91";"4,23";"3,64";"3,74";"8,08";"9,26";"11,56"
"12053";"Frankfurt (Oder), Stadt";"Kreise";"2,23";"3,26";"5,17";"4,77";"4,78";"5,27";"9,81";"12,22";"15,52"
"12054";"Potsdam, Stadt";"Kreise";"3,23";"3,99";"5,07";"5,57";"5,19";"4,55";"8,02";"10,05";"11,65"
"12060";"Barnim";"Kreise";"2,19";"2,13";"2,29";"2,42";"2,45";"2,21";"3,83";"5,15";"5,77"
"12061";"Dahme-Spreewald";"Kreise";"2,25";"2,14";"2,38";"2,64";"2,69";"2,41";"4,36";"5,40";"6,78"
"12062";"Elbe-Elster";"Kreise";"1,34";"1,71";"1,67";"1,76";"1,60";"0,87";"2,83";"3,02";"3,99"
"12063";"Havelland";"Kreise";"1,65";"1,59";"1,77";"1,64";"1,67";"1,91";"4,04";"5,30";"6,83"
"12064";"Märkisch-Oderland";"Kreise";"2,00";"2,08";"2,12";"2,17";"2,21";"1,58";"2,84";"3,91";"4,87"
"12065";"Oberhavel";"Kreise";"1,33";"1,34";"1,67";"1,78";"1,78";"1,92";"3,63";"4,49";"5,56"
"12066";"Oberspreewald-Lausitz";"Kreise";"2,33";"2,28";"2,83";"2,58";"2,47";"1,39";"3,22";"3,79";"5,30"
"12067";"Oder-Spree";"Kreise";"2,58";"3,11";"3,28";"3,26";"3,30";"2,36";"3,90";"4,68";"7,23"
"12068";"Ostprignitz-Ruppin";"Kreise";"1,25";"1,87";"1,99";"2,03";"1,94";"1,35";"3,48";"4,22";"5,31"
"12069";"Potsdam-Mittelmark";"Kreise";"2,63";"2,57";"2,58";"2,33";"2,17";"2,46";"3,98";"4,93";"5,84"
"12070";"Prignitz";"Kreise";"1,15";"1,08";"1,33";"1,19";"1,25";"1,50";"4,17";"4,83";"6,34"
"12071";"Spree-Neiße";"Kreise";"2,39";"2,58";"2,61";"2,68";"2,71";"1,60";"3,20";"3,84";"4,60"
"12072";"Teltow-Fläming";"Kreise";"1,73";"1,92";"2,13";"2,14";"2,21";"2,38";"4,79";"6,28";"7,86"
"12073";"Uckermark";"Kreise";"1,87";"2,14";"2,45";"2,51";"2,82";"2,01";"4,04";"4,31";"5,75"
"13003";"Rostock";"Kreise";"2,86";"2,38";"3,61";"3,72";"3,48";"3,66";"5,85";"7,03";"7,83"
"13004";"Schwerin";"Kreise";"1,85";"2,47";"4,05";"4,48";"3,77";"3,80";"8,79";"9,61";"9,74"
"13071";"Mecklenburgische Seenplatte";"Kreise";"0,96";"1,42";"1,68";"1,75";"1,72";"1,30";"3,10";"3,50";"4,72"
"13072";"Landkreis Rostock";"Kreise";"1,30";"1,19";"1,60";"1,82";"1,69";"1,38";"3,02";"3,59";"4,83"
"13073";"Vorpommern-Rügen";"Kreise";"1,09";"1,18";"1,38";"1,48";"1,50";"1,51";"3,94";"4,65";"5,77"
"13074";"Nordwestmecklenburg";"Kreise";"2,56";"1,74";"2,18";"2,41";"2,37";"1,86";"3,39";"4,02";"4,95"
"13075";"Vorpommern-Greifswald";"Kreise";"1,72";"1,88";"2,47";"2,66";"3,01";"2,56";"4,11";"4,82";"5,95"
"13076";"Ludwigslust-Parchim";"Kreise";"1,22";"1,41";"1,71";"1,76";"2,08";"2,35";"4,61";"5,65";"6,31"
"14511";"Chemnitz, Stadt";"Kreise";"3,19";"3,60";"4,34";"4,50";"4,69";"3,82";"7,42";"9,28";"12,95"
"14521";"Erzgebirgskreis";"Kreise";"0,95";"1,04";"1,13";"1,11";"1,02";"1,00";"1,87";"2,46";"3,79"
"14522";"Mittelsachsen";"Kreise";"1,11";"1,57";"1,74";"1,64";"1,57";"1,57";"3,13";"3,83";"5,37"
"14523";"Vogtlandkreis";"Kreise";"1,24";"1,48";"1,61";"1,61";"1,45";"1,42";"3,33";"4,15";"6,13"
"14524";"Zwickau";"Kreise";"1,37";"1,47";"1,65";"1,66";"1,56";"1,51";"3,10";"4,16";"6,40"
"14612";"Dresden, Stadt";"Kreise";"3,29";"3,41";"4,29";"5,22";"4,57";"4,25";"6,97";"8,74";"11,05"
"14625";"Bautzen";"Kreise";"1,17";"1,35";"1,52";"1,64";"1,56";"1,09";"1,98";"2,55";"3,95"
"14626";"Görlitz";"Kreise";"1,79";"1,96";"1,80";"1,87";"2,13";"2,19";"4,18";"5,23";"6,91"
"14627";"Meißen";"Kreise";"2,16";"2,42";"2,44";"2,54";"2,41";"1,39";"2,87";"3,48";"5,10"
"14628";"Sächsische Schweiz-Osterzgebirge";"Kreise";"1,51";"1,63";"1,76";"1,62";"1,55";"1,51";"2,55";"3,14";"4,59"
"14713";"Leipzig, Stadt";"Kreise";"3,96";"4,66";"6,28";"6,32";"6,22";"5,43";"8,97";"10,61";"13,45"
"14729";"Leipzig";"Kreise";"1,66";"1,58";"1,61";"1,48";"1,41";"1,14";"2,29";"2,82";"4,58"
"14730";"Nordsachsen";"Kreise";"1,86";"1,96";"2,01";"2,06";"1,83";"1,63";"3,75";"4,57";"6,24"
"15001";"Dessau-Roßlau, Stadt";"Kreise";"1,38";"1,81";"2,10";"2,30";"2,34";"2,61";"5,51";"6,31";"8,60"
"15002";"Halle (Saale), Stadt";"Kreise";"2,48";"3,26";"3,75";"3,96";"3,83";"4,39";"9,08";"11,12";"12,96"
"15003";"Magdeburg, Landeshauptstadt";"Kreise";"2,93";"2,65";"3,20";"3,43";"3,44";"4,37";"8,63";"11,05";"12,78"
"15081";"Altmarkkreis Salzwedel";"Kreise";"3,64";"1,75";"1,54";"1,40";"1,17";"1,78";"3,56";"3,86";"4,94"
"15082";"Anhalt-Bitterfeld";"Kreise";"1,35";"1,53";"1,96";"1,64";"1,54";"2,01";"3,51";"4,30";"6,21"
"15083";"Börde";"Kreise";"0,64";"0,95";"1,37";"1,38";"1,04";"1,35";"3,12";"3,69";"4,86"
"15084";"Burgenlandkreis";"Kreise";"0,90";"1,09";"1,36";"1,40";"1,53";"2,43";"5,12";"6,05";"7,95"
"15085";"Harz";"Kreise";"0,94";"1,25";"1,32";"1,36";"1,17";"1,45";"3,00";"3,31";"4,66"
"15086";"Jerichower Land";"Kreise";"2,40";"1,37";"1,60";"1,25";"1,05";"1,43";"3,43";"3,82";"5,33"
"15087";"Mansfeld-Südharz";"Kreise";"0,62";"0,75";"1,20";"1,23";"1,04";"1,43";"2,85";"3,21";"4,08"
"15088";"Saalekreis";"Kreise";"1,95";"1,35";"1,69";"1,51";"1,45";"1,81";"3,50";"4,07";"5,48"
"15089";"Salzlandkreis";"Kreise";"0,86";"1,27";"1,78";"1,50";"1,30";"1,50";"3,09";"3,69";"5,15"
"15090";"Stendal";"Kreise";"0,82";"0,95";"1,58";"1,61";"1,59";"1,79";"3,65";"4,00";"5,02"
"15091";"Wittenberg";"Kreise";"1,39";"1,22";"1,44";"1,37";"1,14";"1,42";"3,23";"4,08";"5,03"
"16051";"Erfurt, Stadt";"Kreise";"1,47";"2,07";"2,67";"3,19";"3,34";"3,76";"7,44";"9,71";"11,72"
"16052";"Gera, Stadt";"Kreise";"0,49";"0,79";"1,37";"1,42";"1,43";"1,89";"5,83";"7,86";"13,13"
"16053";"Jena, Stadt";"Kreise";"2,00";"4,11";"5,47";"5,38";"6,27";"5,24";"8,94";"10,57";"12,22"
"16054";"Suhl, Stadt";"Kreise";"1,92";"2,31";"2,31";"2,43";"2,66";"2,23";"6,87";"9,23";"13,23"
"16055";"Weimar, Stadt";"Kreise";"1,33";"2,16";"2,78";"3,32";"3,87";"5,04";"8,17";"9,64";"11,02"
"16061";"Eichsfeld";"Kreise";"0,82";"1,17";"1,24";"1,18";"1,12";"1,18";"3,25";"3,95";"5,07"
"16062";"Nordhausen";"Kreise";"1,79";"1,94";"2,18";"2,35";"2,43";"1,91";"4,19";"5,07";"7,66"
"16063";"Wartburgkreis";"Kreise";"0,95";"1,44";"1,79";"1,85";"1,81";"1,71";"4,12";"5,22";"7,14"
"16064";"Unstrut-Hainich-Kreis";"Kreise";"1,26";"1,91";"2,22";"2,11";"2,03";"1,12";"3,51";"4,27";"6,26"
"16065";"Kyffhäuserkreis";"Kreise";"0,83";"1,18";"1,58";"1,70";"1,24";"1,07";"2,76";"3,16";"5,37"
"16066";"Schmalkalden-Meiningen";"Kreise";"0,53";"0,81";"1,20";"1,22";"1,26";"1,37";"3,20";"4,61";"6,35"
"16067";"Gotha";"Kreise";"0,60";"1,27";"1,56";"1,74";"1,72";"2,23";"5,43";"7,47";"9,42"
"16068";"Sömmerda";"Kreise";"0,12";"0,46";"0,84";"0,74";"0,75";"1,02";"2,56";"3,51";"5,51"
"16069";"Hildburghausen";"Kreise";"1,16";"1,55";"1,68";"1,90";"1,81";"1,10";"2,88";"3,93";"5,16"
"16070";"Ilm-Kreis";"Kreise";"1,41";"1,90";"2,77";"2,73";"2,58";"2,59";"5,30";"6,79";"9,29"
"16071";"Weimarer Land";"Kreise";"0,72";"1,03";"1,21";"1,30";"1,37";"1,55";"3,53";"4,65";"6,32"
"16072";"Sonneberg";"Kreise";"1,39";"2,02";"2,33";"2,44";"2,74";"1,28";"4,09";"6,25";"8,38"
