Kennziffer;Raumeinheit;Aggregat;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"01051050";"Hillgroven";"Gemeinden";"253,01";"287,50";"261,90";"188,24";"296,30";"342,47";"663,60";"748,75";"967,16"
"01051051";"Hochdonn";"Gemeinden";"195,63";"205,34";"186,14";"150,63";"223,38";"253,83";"304,64";"414,38";"454,27"
"01051052";"Hövede";"Gemeinden";"208,96";"157,14";"114,29";"169,49";"292,31";"393,44";"512,92";"568,70";"668,46"
"01051053";"Hollingstedt";"Gemeinden";"151,79";"192,88";"185,29";"167,66";"214,06";"276,32";"367,82";"348,63";"375,72"
"01051054";"Immenstedt";"Gemeinden";"318,18";"229,89";"195,88";"163,27";"281,55";"395,83";"544,07";"642,57";"678,36"
"01051057";"Kaiser-Wilhelm-Koog";"Gemeinden";"229,81";"229,92";"150,65";"143,24";"223,40";"339,18";"430,03";"452,60";"519,78"
"01051058";"Karolinenkoog";"Gemeinden";"224,49";"205,67";"222,22";"178,57";"203,25";"333,33";"417,38";"448,88";"476,51"
"01051060";"Kleve";"Gemeinden";"220,38";"190,59";"172,57";"181,02";"268,07";"322,51";"442,64";"489,01";"531,46"
"01051061";"Krempel";"Gemeinden";"183,77";"191,04";"154,53";"132,10";"159,47";"182,72";"275,91";"297,58";"332,83"
"01051062";"Kronprinzenkoog";"Gemeinden";"202,28";"219,39";"191,13";"172,63";"237,61";"355,50";"499,95";"527,88";"590,82"
"01051063";"Krumstedt";"Gemeinden";"191,94";"185,53";"177,33";"145,91";"232,65";"310,89";"401,67";"473,99";"484,41"
"01051064";"Kuden";"Gemeinden";"262,09";"207,15";"191,78";"200,00";"233,28";"307,95";"387,76";"454,01";"467,54"
"01051065";"Lehe";"Gemeinden";"201,74";"184,36";"161,01";"131,08";"196,10";"220,56";"283,43";"353,83";"397,67"
"01051067";"Lieth";"Gemeinden";"246,88";"261,21";"175,61";"153,06";"275,18";"305,21";"440,54";"475,13";"523,48"
"01051068";"Linden";"Gemeinden";"186,60";"202,96";"229,34";"199,55";"317,76";"340,99";"440,92";"500,79";"570,25"
"01051069";"Lohe-Rickelshof";"Gemeinden";"312,23";"278,15";"269,33";"252,83";"278,86";"339,29";"473,27";"550,61";"630,41"
"01051071";"Lunden";"Gemeinden";"191,76";"221,48";"186,01";"142,60";"141,73";"164,29";"205,75";"228,58";"249,95"
"01051072";"Marne, Stadt";"Gemeinden";"256,47";"274,04";"232,81";"195,24";"221,48";"278,89";"325,96";"356,15";"426,83"
"01051073";"Marnerdeich";"Gemeinden";"184,57";"170,40";"179,22";"176,64";"247,13";"252,55";"307,55";"403,92";"460,21"
"01051074";"Meldorf, Stadt";"Gemeinden";"272,87";"291,46";"239,99";"200,52";"254,01";"294,76";"376,63";"397,17";"449,28"
"01051075";"Neuenkirchen";"Gemeinden";"192,35";"181,17";"178,46";"156,70";"240,58";"326,35";"445,24";"511,55";"589,82"
"01051076";"Neufeld";"Gemeinden";"233,79";"233,53";"217,46";"190,55";"232,67";"320,20";"460,74";"509,38";"580,12"
"01051077";"Neufelderkoog";"Gemeinden";"194,63";"243,75";"260,00";"201,39";"281,48";"544,72";"510,81";"597,79";"750,96"
"01051078";"Nindorf";"Gemeinden";"251,62";"257,74";"236,12";"185,89";"240,69";"297,95";"428,78";"524,78";"595,45"
"01051079";"Norddeich";"Gemeinden";"189,12";"189,90";"174,31";"172,49";"191,04";"261,61";"347,42";"392,47";"429,06"
"01051080";"Norderheistedt";"Gemeinden";"185,19";"176,00";"119,21";"86,33";"122,45";"208,05";"289,71";"389,36";"544,39"
"01051081";"Norderwöhrden";"Gemeinden";"261,44";"287,13";"219,67";"176,47";"272,40";"373,33";"500,08";"686,23";"823,00"
"01051082";"Nordhastedt";"Gemeinden";"234,90";"221,06";"207,26";"187,52";"262,08";"299,20";"362,41";"426,60";"484,54"
"01051083";"Odderade";"Gemeinden";"252,63";"235,29";"202,61";"169,75";"248,41";"314,64";"437,04";"523,09";"548,79"
"01051084";"Oesterdeichstrich";"Gemeinden";"178,86";"174,90";"214,29";"166,67";"145,83";"216,54";"219,70";"253,23";"425,42"
"01051085";"Offenbüttel";"Gemeinden";"159,01";"159,86";"151,72";"136,84";"197,95";"283,02";"370,84";"427,56";"477,42"
"01051086";"Osterrade";"Gemeinden";"170,63";"177,42";"162,11";"150,21";"195,23";"292,93";"364,65";"394,41";"474,29"
"01051087";"Ostrohe";"Gemeinden";"329,37";"280,30";"244,77";"229,49";"329,41";"389,18";"493,50";"606,10";"719,57"
"01051088";"Pahlen";"Gemeinden";"193,22";"196,48";"192,69";"156,95";"170,59";"223,18";"277,30";"332,29";"369,44"
"01051089";"Quickborn";"Gemeinden";"197,67";"158,65";"208,53";"147,21";"255,43";"358,70";"482,17";"533,79";"557,58"
"01051090";"Ramhusen";"Gemeinden";"217,39";"208,59";"211,18";"159,51";"229,81";"401,27";"387,89";"500,03";"525,11"
