Kennziffer;Raumeinheit;Aggregat;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"01058175";"Ahlefeld-Bistensee";"Gemeinden";"296,12";"269,59";"287,38";"247,14";"278,01";"373,49";"506,06";"544,68";"624,11"
"01059001";"Alt Bennebek";"Gemeinden";"160,88";"185,90";"136,63";"119,11";"147,63";"225,52";"336,68";"396,00";"431,56"
"01059002";"Arnis, Stadt";"Gemeinden";"281,17";"264,37";"249,17";"204,55";"329,82";"431,10";"561,47";"591,70";"683,65"
"01059005";"Bergenhusen";"Gemeinden";"190,80";"189,08";"175,91";"175,95";"225,71";"229,69";"343,35";"365,16";"414,58"
"01059006";"Böel";"Gemeinden";"150,28";"167,13";"175,46";"155,56";"213,42";"253,01";"321,08";"388,91";"432,44"
"01059008";"Böklund";"Gemeinden";"253,56";"230,98";"206,55";"180,14";"226,89";"267,17";"308,38";"341,14";"380,24"
"01059009";"Börm";"Gemeinden";"160,76";"167,71";"171,22";"163,61";"205,19";"260,64";"351,84";"375,32";"449,68"
"01059010";"Bollingstedt";"Gemeinden";"252,68";"226,74";"218,98";"191,22";"251,49";"305,86";"405,89";"476,23";"524,28"
"01059012";"Borgwedel";"Gemeinden";"275,92";"248,06";"216,41";"234,64";"325,14";"492,18";"603,89";"561,97";"656,58"
"01059018";"Busdorf";"Gemeinden";"320,65";"313,43";"216,95";"194,39";"303,45";"321,60";"431,95";"509,20";"586,39"
"01059019";"Dannewerk";"Gemeinden";"262,95";"222,43";"215,15";"188,84";"254,10";"315,55";"379,23";"416,96";"470,93"
"01059020";"Dörpstedt";"Gemeinden";"190,23";"213,52";"186,81";"135,23";"184,78";"232,56";"289,06";"307,46";"338,62"
"01059023";"Ellingstedt";"Gemeinden";"200,97";"182,03";"184,52";"183,12";"257,39";"323,64";"423,72";"458,94";"500,18"
"01059024";"Erfde";"Gemeinden";"200,50";"192,81";"174,56";"151,49";"203,24";"268,68";"352,62";"363,65";"370,72"
"01059026";"Fahrdorf";"Gemeinden";"343,10";"288,01";"251,70";"241,10";"373,78";"442,63";"588,75";"613,99";"661,98"
"01059032";"Geltorf";"Gemeinden";"211,01";"178,08";"158,15";"179,25";"258,54";"400,56";"503,19";"562,78";"631,94"
"01059034";"Grödersby";"Gemeinden";"197,03";"204,30";"183,75";"177,78";"285,71";"409,30";"443,69";"340,33";"361,36"
"01059035";"Groß Rheide";"Gemeinden";"209,57";"209,17";"153,62";"135,00";"215,20";"269,62";"362,06";"394,71";"443,11"
"01059037";"Havetoft";"Gemeinden";"220,66";"200,90";"182,97";"162,34";"196,74";"228,38";"310,95";"387,78";"411,51"
"01059039";"Hollingstedt";"Gemeinden";"195,09";"186,70";"163,41";"131,96";"206,55";"248,74";"329,17";"348,74";"382,64"
"01059041";"Hüsby";"Gemeinden";"237,80";"224,62";"216,25";"186,42";"278,35";"361,08";"482,32";"555,39";"596,33"
"01059042";"Idstedt";"Gemeinden";"294,27";"308,64";"236,49";"213,27";"251,46";"295,99";"383,99";"434,27";"482,78"
"01059043";"Jagel";"Gemeinden";"280,98";"260,04";"223,28";"191,53";"255,25";"287,18";"390,54";"413,39";"464,01"
"01059044";"Jübek";"Gemeinden";"202,66";"205,56";"189,33";"165,69";"226,82";"258,81";"322,83";"393,90";"444,53"
"01059045";"Kappeln, Stadt";"Gemeinden";"279,13";"247,94";"211,47";"182,93";"208,84";"251,37";"316,32";"344,03";"382,90"
"01059049";"Klappholz";"Gemeinden";"162,16";"155,34";"164,18";"146,79";"204,12";"254,00";"322,71";"368,65";"412,51"
"01059050";"Klein Bennebek";"Gemeinden";"157,80";"149,47";"164,13";"125,00";"197,49";"250,00";"321,41";"376,13";"418,40"
"01059051";"Klein Rheide";"Gemeinden";"179,49";"149,05";"193,35";"164,80";"265,49";"292,99";"378,52";"438,78";"470,99"
"01059053";"Kropp";"Gemeinden";"274,38";"211,54";"189,86";"175,92";"234,68";"285,80";"354,28";"391,50";"436,56"
"01059055";"Loit";"Gemeinden";"241,11";"198,44";"183,82";"145,52";"216,42";"300,81";"361,41";"430,10";"473,11"
"01059056";"Lottorf";"Gemeinden";"258,24";"191,18";"155,66";"150,75";"231,13";"295,15";"325,71";"413,81";"460,10"
"01059057";"Lürschau";"Gemeinden";"293,33";"285,56";"210,01";"190,73";"255,14";"347,07";"483,25";"556,91";"613,34"
"01059058";"Meggerdorf";"Gemeinden";"170,42";"169,79";"165,95";"144,49";"189,46";"255,47";"342,67";"362,89";"381,17"
"01059060";"Mohrkirch";"Gemeinden";"201,56";"179,61";"190,71";"172,79";"238,24";"273,00";"370,68";"423,59";"475,43"
"01059062";"Neuberend";"Gemeinden";"298,28";"262,88";"264,18";"257,12";"325,99";"378,58";"462,30";"488,76";"550,99"
"01059063";"Norderbrarup";"Gemeinden";"186,51";"165,88";"130,68";"140,76";"185,91";"230,30";"325,95";"427,31";"474,29"
"01059065";"Nottfeld";"Gemeinden";"242,19";"173,33";"190,48";"198,63";"236,11";"321,43";"408,07";"546,29";"574,42"
"01059067";"Oersberg";"Gemeinden";"156,92";"172,80";"177,57";"155,17";"206,90";"254,97";"324,45";"347,79";"383,20"
"01059068";"Rabenkirchen-Faulück";"Gemeinden";"220,52";"195,01";"183,86";"156,34";"249,23";"311,11";"399,94";"394,06";"442,11"
"01059070";"Rügge";"Gemeinden";"116,88";"134,62";"150,00";"108,23";"186,51";"258,20";"356,30";"454,75";"485,17"
"01059072";"Saustrup";"Gemeinden";"218,27";"213,27";"229,07";"166,67";"230,05";"291,87";"325,56";"467,51";"549,22"
"01059073";"Schaalby";"Gemeinden";"282,31";"236,59";"219,15";"197,05";"250,00";"313,98";"441,38";"484,03";"571,84"
"01059074";"Scheggerott";"Gemeinden";"169,67";"147,78";"142,50";"126,90";"180,41";"284,92";"312,40";"352,98";"432,25"
"01059075";"Schleswig, Stadt";"Gemeinden";"289,11";"285,11";"262,36";"213,78";"247,04";"276,84";"334,81";"358,47";"404,62"
"01059076";"Schnarup-Thumby";"Gemeinden";"175,04";"200,70";"162,21";"153,47";"236,30";"281,69";"381,04";"419,01";"469,60"
"01059077";"Schuby";"Gemeinden";"317,15";"246,07";"217,34";"210,14";"308,20";"362,31";"424,80";"490,41";"538,52"
"01059078";"Selk";"Gemeinden";"383,18";"324,36";"307,20";"281,67";"357,14";"408,99";"526,92";"635,22";"737,84"
"01059079";"Silberstedt";"Gemeinden";"222,40";"186,33";"169,91";"172,07";"234,44";"267,68";"332,94";"379,64";"416,63"
"01059080";"Steinfeld";"Gemeinden";"210,94";"204,98";"173,97";"152,93";"174,54";"253,32";"291,96";"338,87";"377,00"
"01059081";"Stolk";"Gemeinden";"228,94";"211,74";"202,08";"189,00";"241,04";"312,42";"384,96";"356,97";"399,07"
"01059082";"Struxdorf";"Gemeinden";"247,45";"230,11";"213,33";"193,36";"235,38";"311,04";"404,58";"380,34";"417,32"
"01059083";"Süderbrarup";"Gemeinden";"234,58";"225,23";"193,06";"166,78";"217,91";"248,48";"302,95";"320,23";"360,74"
"01059084";"Süderfahrenstedt";"Gemeinden";"175,61";"167,73";"137,48";"126,87";"246,58";"267,49";"405,66";"445,20";"495,01"
"01059086";"Taarstedt";"Gemeinden";"188,79";"180,40";"172,68";"158,66";"234,82";"295,51";"347,62";"407,04";"450,13"
"01059087";"Tetenhusen";"Gemeinden";"230,68";"230,58";"204,31";"165,10";"216,93";"286,16";"345,99";"429,05";"483,63"
"01059088";"Tielen";"Gemeinden";"151,23";"137,83";"142,86";"132,45";"163,40";"204,08";"292,14";"310,91";"339,15"
"01059090";"Tolk";"Gemeinden";"225,30";"209,76";"196,41";"159,77";"246,12";"309,32";"383,10";"397,61";"426,77"
"01059092";"Treia";"Gemeinden";"240,81";"225,74";"204,55";"178,22";"255,64";"288,35";"368,18";"441,89";"494,96"
"01059093";"Uelsby";"Gemeinden";"176,84";"193,09";"176,35";"149,25";"198,22";"223,50";"298,46";"400,49";"478,66"
"01059094";"Ulsnis";"Gemeinden";"248,45";"217,26";"223,10";"194,98";"313,70";"347,24";"434,94";"442,27";"466,06"
"01059095";"Wagersrott";"Gemeinden";"181,47";"170,45";"186,72";"160,17";"127,49";"200,00";"288,17";"273,81";"318,36"
"01059096";"Wohlde";"Gemeinden";"210,83";"177,90";"176,25";"166,35";"207,92";"251,98";"295,28";"278,65";"303,27"
"01059097";"Twedt";"Gemeinden";"230,28";"261,70";"199,60";"185,26";"281,57";"332,67";"416,99";"429,52";"504,59"
"01059098";"Nübel";"Gemeinden";"219,59";"221,47";"212,59";"184,59";"261,82";"313,19";"408,48";"503,68";"570,33"
"01059102";"Ahneby";"Gemeinden";"225,66";"167,36";"147,06";"117,65";"211,54";"257,01";"319,63";"404,43";"429,56"
"01059103";"Ausacker";"Gemeinden";"232,65";"201,10";"191,15";"186,26";"305,02";"337,64";"395,02";"510,62";"592,70"
"01059105";"Böxlund";"Gemeinden";"190,48";"175,93";"109,24";"113,04";"128,44";"169,81";"277,21";"426,02";"433,15"
"01059106";"Dollerup";"Gemeinden";"200,20";"185,84";"179,68";"158,85";"221,56";"283,70";"369,22";"408,26";"451,98"
"01059107";"Eggebek";"Gemeinden";"194,57";"195,07";"180,05";"164,23";"189,77";"248,24";"298,78";"323,76";"374,89"
"01059109";"Esgrus";"Gemeinden";"232,72";"218,64";"212,09";"196,86";"236,57";"287,58";"357,35";"371,46";"410,57"
"01059112";"Gelting";"Gemeinden";"237,79";"228,03";"210,10";"176,99";"213,48";"240,10";"315,64";"325,30";"332,31"
"01059113";"Glücksburg (Ostsee), Stadt";"Gemeinden";"351,33";"330,43";"302,34";"273,53";"331,08";"403,50";"503,11";"496,40";"562,28"
"01059115";"Großenwiehe";"Gemeinden";"262,83";"219,85";"201,02";"191,04";"243,33";"294,16";"371,48";"407,07";"443,70"
"01059116";"Großsolt";"Gemeinden";"254,57";"222,52";"208,18";"201,36";"257,77";"329,21";"424,30";"455,22";"521,29"
"01059118";"Grundhof";"Gemeinden";"255,74";"243,45";"225,60";"213,60";"284,77";"395,02";"462,87";"466,64";"506,52"
"01059120";"Harrislee";"Gemeinden";"328,43";"308,38";"268,04";"229,62";"291,33";"357,97";"401,68";"418,60";"465,71"
"01059121";"Hasselberg";"Gemeinden";"190,07";"181,26";"143,53";"135,22";"182,02";"225,92";"329,65";"356,49";"371,50"
"01059123";"Hörup";"Gemeinden";"246,48";"210,44";"174,53";"174,80";"227,91";"309,45";"385,41";"473,66";"513,68"
"01059124";"Holt";"Gemeinden";"184,36";"140,62";"131,71";"142,11";"180,79";"252,53";"250,97";"558,93";"620,06"
"01059126";"Hürup";"Gemeinden";"290,68";"265,08";"253,39";"230,67";"319,67";"379,50";"484,94";"509,32";"567,51"
"01059127";"Husby";"Gemeinden";"288,53";"238,21";"212,81";"207,20";"294,60";"334,33";"416,96";"449,22";"510,58"
"01059128";"Janneby";"Gemeinden";"200,00";"168,14";"147,65";"166,67";"188,64";"275,18";"327,10";"378,47";"422,60"
"01059129";"Jardelund";"Gemeinden";"205,48";"155,69";"142,39";"129,75";"206,35";"225,61";"283,92";"388,05";"464,86"
"01059131";"Jerrishoe";"Gemeinden";"216,85";"183,83";"169,63";"159,02";"231,79";"300,94";"394,42";"450,23";"498,32"
"01059132";"Jörl";"Gemeinden";"250,70";"227,04";"201,95";"191,94";"233,01";"323,65";"391,77";"454,77";"471,90"
"01059136";"Kronsgaard";"Gemeinden";"126,71";"141,22";"163,79";"106,30";"202,48";"282,70";"326,59";"391,51";"401,41"
"01059137";"Langballig";"Gemeinden";"227,51";"203,46";"172,01";"172,76";"277,33";"335,49";"422,82";"491,42";"559,59"
"01059138";"Langstedt";"Gemeinden";"237,93";"217,30";"188,91";"178,15";"244,19";"287,85";"341,37";"394,67";"442,82"
"01059142";"Maasholm";"Gemeinden";"228,05";"220,39";"203,68";"171,34";"222,22";"251,22";"292,53";"349,33";"385,04"
"01059143";"Medelby";"Gemeinden";"248,84";"240,00";"227,17";"199,33";"237,19";"271,44";"334,80";"424,61";"443,52"
"01059144";"Meyn";"Gemeinden";"314,92";"258,24";"264,01";"199,03";"285,93";"349,51";"426,13";"481,80";"534,41"
"01059145";"Munkbrarup";"Gemeinden";"308,93";"254,75";"242,19";"230,99";"315,84";"389,09";"490,92";"567,45";"622,25"
"01059147";"Nieby";"Gemeinden";"134,10";"139,34";"130,25";"103,45";"172,57";"294,96";"403,24";"408,63";"412,67"
"01059148";"Niesgrau";"Gemeinden";"235,29";"227,59";"181,37";"172,19";"273,34";"331,61";"424,87";"504,33";"544,16"
"01059149";"Nordhackstedt";"Gemeinden";"290,70";"241,86";"156,86";"134,39";"198,33";"311,40";"374,54";"491,41";"580,24"
"01059151";"Osterby";"Gemeinden";"179,15";"164,13";"156,52";"167,15";"256,56";"370,13";"417,31";"585,99";"658,48"
"01059152";"Pommerby";"Gemeinden";"150,44";"193,55";"213,54";"185,19";"303,57";"387,10";"389,51";"415,61";"446,79"
"01059154";"Rabel";"Gemeinden";"214,54";"200,34";"207,13";"182,97";"247,69";"272,87";"332,00";"387,28";"435,20"
"01059155";"Rabenholz";"Gemeinden";"240,74";"202,75";"208,86";"185,53";"244,90";"297,40";"338,79";"345,87";"370,34"
"01059157";"Ringsberg";"Gemeinden";"271,39";"227,68";"190,00";"186,79";"287,11";"346,57";"437,73";"463,89";"504,88"
"01059158";"Schafflund";"Gemeinden";"294,32";"218,07";"190,64";"175,96";"261,96";"316,43";"364,40";"415,91";"437,70"
"01059159";"Sieverstedt";"Gemeinden";"248,90";"230,63";"229,15";"216,44";"288,92";"344,42";"398,75";"430,35";"477,34"
"01059161";"Sörup";"Gemeinden";"248,28";"223,11";"200,91";"181,69";"228,87";"282,58";"350,55";"402,42";"475,10"
"01059162";"Sollerup";"Gemeinden";"219,26";"233,46";"185,04";"184,37";"178,22";"252,02";"266,24";"319,09";"347,55"
"01059163";"Stangheck";"Gemeinden";"170,54";"155,56";"166,67";"113,36";"233,33";"300,85";"324,56";"329,14";"369,12"
"01059164";"Steinberg";"Gemeinden";"177,37";"203,96";"193,74";"179,04";"235,94";"310,67";"401,01";"439,25";"473,92"
"01059167";"Sterup";"Gemeinden";"196,91";"187,59";"187,58";"176,63";"224,43";"269,37";"347,88";"386,41";"406,27"
"01059168";"Stoltebüll";"Gemeinden";"172,55";"160,29";"183,22";"169,83";"196,43";"276,65";"328,20";"365,45";"404,48"
"01059169";"Süderhackstedt";"Gemeinden";"160,88";"153,37";"148,94";"124,28";"175,14";"226,59";"322,99";"289,87";"313,47"
"01059171";"Tarp";"Gemeinden";"277,21";"240,15";"203,21";"182,34";"241,24";"288,75";"352,40";"379,04";"430,16"
"01059173";"Wallsbüll";"Gemeinden";"276,70";"245,10";"238,98";"174,43";"238,36";"270,67";"339,08";"394,52";"438,65"
"01059174";"Wanderup";"Gemeinden";"262,61";"244,91";"227,54";"196,48";"261,51";"334,71";"396,53";"469,13";"508,65"
"01059176";"Wees";"Gemeinden";"264,79";"225,84";"235,37";"235,37";"342,32";"442,53";"508,01";"560,48";"632,45"
"01059177";"Weesby";"Gemeinden";"217,11";"209,50";"170,73";"160,08";"239,84";"304,05";"381,76";"453,01";"510,52"
"01059178";"Westerholz";"Gemeinden";"284,07";"218,35";"203,68";"201,61";"287,94";"399,45";"500,47";"519,33";"577,59"
"01059179";"Lindewitt";"Gemeinden";"188,37";"188,45";"173,49";"163,77";"208,67";"269,52";"344,38";"405,32";"446,68"
"01059182";"Freienwill";"Gemeinden";"280,27";"231,27";"207,08";"202,98";"261,30";"340,78";"381,05";"467,53";"533,88"
"01059183";"Handewitt";"Gemeinden";"276,94";"257,84";"234,10";"214,38";"287,26";"358,03";"440,98";"489,51";"538,69"
"01059184";"Oeversee";"Gemeinden";"309,28";"268,54";"254,49";"233,08";"288,28";"362,58";"445,73";"495,32";"533,13"
"01059185";"Mittelangeln";"Gemeinden";"250,18";"225,89";"186,44";"166,29";"231,70";"275,42";"343,08";"370,29";"411,85"
"01059186";"Steinbergkirche";"Gemeinden";"242,07";"238,11";"208,44";"186,27";"253,47";"268,58";"358,71";"397,75";"415,42"
"01059187";"Boren";"Gemeinden";"218,01";"211,51";"205,23";"188,32";"267,06";"336,20";"421,86";"421,54";"467,85"
"01059188";"Stapel";"Gemeinden";"163,90";"161,41";"161,61";"139,86";"193,20";"246,81";"302,35";"331,30";"354,19"
"01059189";"Brodersby-Goltoft";"Gemeinden";"227,33";"250,35";"230,47";"226,85";"267,31";"298,51";"428,39";"458,31";"519,49"
"01060002";"Alveslohe";"Gemeinden";"342,83";"316,96";"292,97";"280,11";"391,46";"463,82";"549,32";"573,40";"637,07"
"01060003";"Armstedt";"Gemeinden";"256,68";"259,16";"229,43";"215,31";"324,19";"378,38";"457,77";"633,94";"686,03"
"01060004";"Bad Bramstedt, Stadt";"Gemeinden";"269,98";"243,40";"231,11";"205,84";"295,12";"355,77";"447,13";"468,66";"513,75"
"01060005";"Bad Segeberg, Stadt";"Gemeinden";"338,38";"341,94";"299,55";"266,68";"319,26";"341,32";"413,46";"453,46";"466,72"
"01060006";"Bahrenhof";"Gemeinden";"285,71";"214,66";"175,36";"182,69";"287,74";"393,52";"493,77";"487,22";"552,15"
"01060007";"Bark";"Gemeinden";"252,18";"244,70";"246,88";"215,01";"281,03";"316,57";"421,42";"484,05";"532,96"
"01060008";"Bebensee";"Gemeinden";"362,64";"349,90";"347,90";"289,38";"357,84";"425,90";"568,99";"603,09";"700,13"
"01060009";"Bimöhlen";"Gemeinden";"269,90";"244,12";"212,39";"187,37";"250,26";"309,95";"372,14";"476,95";"514,90"
"01060010";"Blunk";"Gemeinden";"254,24";"231,97";"207,65";"221,84";"274,41";"335,59";"430,71";"521,69";"593,91"
"01060011";"Boostedt";"Gemeinden";"354,69";"290,64";"284,63";"255,34";"329,71";"384,48";"321,73";"398,87";"480,10"
"01060012";"Bornhöved";"Gemeinden";"284,56";"244,04";"215,81";"191,43";"263,56";"315,11";"421,84";"436,65";"484,83"
"01060013";"Borstel";"Gemeinden";"357,14";"468,53";"357,66";"283,46";"418,60";"416,67";"413,01";"532,02";"612,62"
"01060014";"Buchholz (Forstgutsbez.),gemfr. Gebiet";"Gemeinden";"0,00";"0,00";"0,00";"0,00";"0,00";;;;
"01060015";"Bühnsdorf";"Gemeinden";"239,90";"235,15";"238,48";"235,62";"318,97";"347,95";"414,77";"544,62";"627,02"
"01060016";"Daldorf";"Gemeinden";"264,37";"246,15";"192,31";"174,09";"266,57";"328,81";"422,57";"483,84";"542,83"
"01060017";"Damsdorf";"Gemeinden";"194,76";"287,40";"248,98";"201,61";"302,90";"283,84";"415,98";"482,27";"473,04"
"01060018";"Dreggers";"Gemeinden";"192,31";"264,15";"200,00";"250,00";"250,00";"355,93";"489,29";"400,13";"411,06"
"01060019";"Ellerau";"Gemeinden";"458,63";"444,38";"356,28";"288,23";"388,11";"476,06";"565,18";"587,32";"674,75"
"01060020";"Fahrenkrug";"Gemeinden";"261,01";"244,65";"250,45";"243,86";"306,08";"387,12";"444,15";"530,19";"601,81"
"01060021";"Föhrden-Barl";"Gemeinden";"218,11";"194,66";"180,89";"166,08";"265,31";"349,15";"450,65";"507,78";"553,85"
"01060022";"Fredesdorf";"Gemeinden";"239,88";"253,05";"228,17";"201,68";"218,67";"285,33";"305,08";"361,25";"433,11"
"01060023";"Fuhlendorf";"Gemeinden";"362,86";"303,62";"280,65";"235,29";"279,01";"319,35";"418,92";"497,45";"533,29"
"01060024";"Geschendorf";"Gemeinden";"255,36";"224,53";"217,48";"201,90";"314,75";"334,59";"362,88";"480,35";"566,00"
"01060025";"Glasau";"Gemeinden";"192,98";"192,39";"177,24";"167,35";"238,90";"315,85";"427,30";"469,24";"556,51"
"01060026";"Gönnebek";"Gemeinden";"290,32";"270,61";"225,21";"228,63";"318,66";"420,72";"512,60";"480,39";"477,33"
"01060027";"Großenaspe";"Gemeinden";"259,07";"215,32";"190,44";"179,83";"257,28";"297,87";"387,16";"418,26";"456,80"
"01060028";"Groß Kummerfeld";"Gemeinden";"279,01";"288,30";"253,40";"215,67";"287,88";"336,98";"415,78";"523,74";"593,99"
"01060029";"Groß Niendorf";"Gemeinden";"399,34";"344,94";"277,69";"194,10";"270,80";"353,03";"420,72";"485,70";"564,04"
"01060030";"Groß Rönnau";"Gemeinden";"328,98";"278,00";"225,00";"203,05";"270,49";"399,65";"471,46";"577,60";"635,76"
"01060031";"Hagen";"Gemeinden";"296,84";"312,09";"329,05";"314,36";"528,02";"414,80";"462,00";"475,51";"572,96"
"01060033";"Hardebek";"Gemeinden";"319,47";"255,62";"236,11";"224,45";"344,02";"363,83";"448,36";"553,55";"598,44"
"01060034";"Hartenholm";"Gemeinden";"306,30";"281,88";"243,49";"213,20";"331,07";"413,68";"497,72";"493,57";"573,40"
"01060035";"Hasenkrug";"Gemeinden";"222,55";"221,92";"230,77";"222,22";"323,03";"385,76";"488,04";"527,44";"592,20"
"01060036";"Hasenmoor";"Gemeinden";"326,59";"262,60";"238,03";"231,65";"324,71";"383,98";"511,59";"516,60";"607,94"
"01060037";"Heidmoor";"Gemeinden";"273,47";"258,18";"216,98";"187,69";"325,88";"366,15";"494,91";"616,54";"688,43"
"01060038";"Heidmühlen";"Gemeinden";"266,56";"231,22";"256,64";"229,32";"296,45";"369,78";"491,53";"584,54";"654,66"
"01060039";"Henstedt-Ulzburg";"Gemeinden";"414,66";"375,43";"350,94";"323,98";"419,34";"486,78";"610,27";"628,23";"702,49"
"01060040";"Hitzhusen";"Gemeinden";"341,12";"283,95";"278,56";"278,12";"323,91";"422,89";"538,40";"601,20";"674,55"
"01060041";"Högersdorf";"Gemeinden";"286,74";"272,73";"181,32";"121,95";"260,98";"279,52";"419,72";"480,20";"556,77"
"01060042";"Hüttblek";"Gemeinden";"324,68";"318,89";"294,99";"358,76";"426,63";"562,84";"661,31";"684,83";"711,43"
"01060043";"Itzstedt";"Gemeinden";"404,57";"294,73";"213,27";"232,29";"417,71";"462,35";"580,83";"595,82";"663,16"
"01060044";"Kaltenkirchen, Stadt";"Gemeinden";"304,10";"301,97";"267,69";"227,39";"321,52";"370,12";"435,51";"437,77";"488,99"
"01060045";"Kattendorf";"Gemeinden";"463,25";"330,21";"283,81";"270,93";"352,59";"410,44";"530,38";"559,00";"676,80"
"01060046";"Kayhude";"Gemeinden";"456,40";"352,64";"318,40";"275,99";"416,67";"458,19";"563,30";"618,54";"722,89"
"01060047";"Kisdorf";"Gemeinden";"424,99";"339,50";"313,83";"298,25";"360,19";"468,12";"564,65";"578,53";"645,50"
"01060048";"Klein Gladebrügge";"Gemeinden";"466,12";"224,81";"230,77";"233,39";"336,16";"401,04";"545,26";"564,04";"544,47"
"01060049";"Klein Rönnau";"Gemeinden";"361,77";"294,37";"281,55";"298,82";"383,24";"434,78";"522,16";"523,06";"551,68"
"01060050";"Krems II";"Gemeinden";"174,93";"194,81";"163,46";"151,16";"260,67";"299,76";"466,26";"572,54";"627,98"
"01060051";"Kükels";"Gemeinden";"355,07";"309,30";"295,19";"252,82";"369,77";"434,09";"578,67";"586,70";"649,28"
"01060052";"Latendorf";"Gemeinden";"331,30";"247,35";"263,61";"191,99";"305,98";"314,09";"495,39";"524,00";"595,64"
"01060053";"Leezen";"Gemeinden";"314,89";"277,18";"249,85";"230,77";"295,20";"355,77";"487,79";"535,95";"555,57"
"01060054";"Lentföhrden";"Gemeinden";"280,96";"240,13";"219,91";"212,02";"305,33";"341,89";"428,07";"528,31";"603,12"
"01060056";"Mönkloh";"Gemeinden";"382,35";"343,22";"286,26";"305,34";"398,34";"426,88";"505,13";"619,14";"677,46"
"01060057";"Mözen";"Gemeinden";"300,49";"307,33";"270,69";"234,14";"298,67";"363,01";"487,56";"538,46";"611,96"
"01060058";"Nahe";"Gemeinden";"390,09";"348,00";"308,02";"286,07";"367,92";"458,44";"576,89";"572,85";"649,10"
"01060059";"Negernbötel";"Gemeinden";"276,02";"227,72";"203,92";"156,49";"247,41";"294,87";"415,43";"500,66";"579,68"
"01060060";"Nehms";"Gemeinden";"274,03";"227,83";"209,88";"190,95";"256,18";"360,86";"383,97";"464,90";"537,58"
"01060061";"Neuengörs";"Gemeinden";"239,10";"225,56";"201,64";"173,54";"304,35";"397,17";"462,08";"530,64";"596,94"
"01060062";"Neversdorf";"Gemeinden";"358,64";"326,56";"260,87";"247,89";"360,37";"460,11";"539,93";"595,62";"644,98"
"01060063";"Norderstedt, Stadt";"Gemeinden";"476,31";"451,29";"375,55";"334,08";"417,92";"472,70";"576,02";"602,18";"660,78"
"01060064";"Nützen";"Gemeinden";"186,09";"227,97";"188,42";"185,44";"271,56";"360,97";"483,47";"495,66";"556,60"
"01060065";"Oering";"Gemeinden";"310,47";"277,07";"273,08";"226,54";"335,68";"393,52";"490,19";"533,58";"604,73"
"01060066";"Oersdorf";"Gemeinden";"420,92";"367,54";"349,66";"348,33";"431,76";"509,24";"638,07";"634,10";"708,84"
"01060067";"Pronstorf";"Gemeinden";"214,34";"185,68";"192,87";"184,16";"246,16";"322,60";"429,24";"483,62";"575,02"
"01060068";"Rickling";"Gemeinden";"205,39";"194,24";"187,61";"164,60";"236,73";"280,87";"352,65";"376,98";"421,74"
"01060069";"Rohlstorf";"Gemeinden";"212,46";"212,55";"187,85";"171,23";"266,84";"313,76";"409,14";"486,50";"566,59"
"01060070";"Schackendorf";"Gemeinden";"288,74";"256,51";"258,75";"233,73";"304,56";"344,79";"442,95";"508,70";"590,90"
"01060071";"Schieren";"Gemeinden";"335,88";"278,39";"247,19";"234,04";"329,79";"345,20";"446,81";"540,59";"617,67"
"01060072";"Schmalensee";"Gemeinden";"209,02";"205,77";"208,75";"229,21";"318,47";"410,71";"455,73";"471,76";"546,45"
"01060073";"Schmalfeld";"Gemeinden";"302,71";"271,31";"274,56";"222,22";"310,34";"372,19";"459,95";"544,97";"609,15"
"01060074";"Schwissel";"Gemeinden";"272,73";"233,87";"225,81";"196,58";"306,20";"372,09";"487,34";"509,93";"528,13"
"01060075";"Seedorf";"Gemeinden";"195,60";"196,92";"174,59";"175,23";"238,42";"282,53";"352,01";"430,45";"483,93"
"01060076";"Seth";"Gemeinden";"303,75";"298,39";"277,66";"222,39";"305,91";"352,64";"450,71";"535,76";"661,17"
"01060077";"Sievershütten";"Gemeinden";"360,99";"280,49";"265,37";"268,87";"389,93";"478,93";"582,90";"583,54";"646,86"
"01060079";"Stipsdorf";"Gemeinden";"381,40";"348,42";"369,86";"313,64";"370,19";"372,88";"419,71";"530,23";"609,32"
"01060080";"Stocksee";"Gemeinden";"252,45";"218,18";"206,65";"203,86";"347,29";"376,59";"451,30";"515,45";"597,47"
"01060081";"Strukdorf";"Gemeinden";"267,80";"275,00";"272,39";"227,45";"400,00";"420,07";"536,07";"538,97";"637,36"
"01060082";"Struvenhütten";"Gemeinden";"307,95";"268,79";"257,94";"259,06";"328,07";"429,84";"517,26";"571,52";"673,09"
"01060084";"Stuvenborn";"Gemeinden";"292,68";"272,43";"282,73";"239,82";"307,09";"386,44";"516,69";"575,43";"630,75"
"01060085";"Sülfeld";"Gemeinden";"301,96";"264,42";"240,97";"229,24";"324,47";"433,29";"549,57";"557,94";"617,93"
"01060086";"Tarbek";"Gemeinden";"164,71";"211,54";"149,17";"139,53";"194,97";"300,00";"412,36";"353,11";"382,75"
"01060087";"Tensfeld";"Gemeinden";"283,69";"257,70";"182,91";"172,27";"246,56";"300,29";"384,78";"440,02";"460,07"
"01060088";"Todesfelde";"Gemeinden";"218,42";"217,57";"223,79";"174,37";"214,01";"284,89";"362,97";"440,56";"481,79"
